title,url,press,summary,date
"새해에 모인 경제인들, 정부 정책 비판 나오자 ""브라보""",/news/news_read.nhn?article_id=0003497955&office_id=023&mode=search&query=삼성전자&page=2,조선일보,"경제계에선 윤부근 삼성전자 부회장, 공영운 현대자동차 사장, 장동현 SK 사장, 권영수 LG 부회장, 황각규 롯데지주 부회장, 현정은 현대그룹 ...",2020-01-04 01:39
기업이 국가다 이낙연 총리에 건배사 제의한 상공회의소 인사,/news/news_read.nhn?article_id=0003262358&office_id=020&mode=search&query=삼성전자&page=2,동아일보,"이날 행사는 경제계에서 윤부근 삼성전자 부회장, 공영운 현대자동차 사장, 장동현 SK 사장, 권영수 LG 부회장 등이 참석했다. 문재인 대통령은...",2020-01-04 03:02
기업인들 산안법 시행땐 툭하면 공장 멈출 판,/news/news_read.nhn?article_id=0003262366&office_id=020&mode=search&query=삼성전자&page=2,동아일보,이 자리에는 삼성전자 삼성디스플레이 현대제철 LG디스플레이 SK하이닉스 포스코 LG화학의 안전보건관리 책임자들이 참석했다. 2018년 12월 충...,2020-01-04 03:02
"김현석 삼성전자 사장 새로운 10년, ‘경험의 시대’ 될 것",/news/news_read.nhn?article_id=0003427306&office_id=022&mode=search&query=삼성전자&page=2,세계일보,삼성전자 소비자가전(CE) 부문장 김현석 사장. 삼삼성전자 뉴스룸 제공 삼성전자 소비자가전(CE) 부분장인 김현석 사장은 3일 “새로운 10년의...,2020-01-04 03:02
"삼성전자, CES2020서 게이밍 모니터 ‘오디세이’ 신모델 첫 공개",/news/news_read.nhn?article_id=0003427328&office_id=022&mode=search&query=삼성전자&page=2,세계일보,삼성전자는 오는 7일 미국 라스베이거스에서 진행되는 세계 최대 IT·가전 전시회인 CES 2020에서 게이밍 모니터 오디세이 (Odyssey) ...,2020-01-04 03:06
"삼성전자, 새로운 라이프스타일 가전 CES서 대거 공개",/news/news_read.nhn?article_id=0003427332&office_id=022&mode=search&query=삼성전자&page=2,세계일보,삼성전자는 7일부터 10일까지 미국 라스베이거스에서 열리는 세계 최대 전자 전시회 ‘CES 2020’에서 새로운 콘셉트의 라이프스타일 가전을 대...,2020-01-04 03:08
삼성은 왜 준법감시위원회를 만들까,/news/news_read.nhn?article_id=0003308114&office_id=079&mode=search&query=삼성전자&page=2,노컷뉴스,김 전 대법관이 2018년 삼성전자 백혈병 문제 관련 조정위원장을 맡아 피해보상 합의를 이끌어 낼 때 경험과 인연도 작용한 것으로 분석된다. 김...,2020-01-04 04:11
올해 스마트폰 키워드는 '폴더블폰'...뜨거운 폼팩터 경쟁 예고,/news/news_read.nhn?article_id=0001384328&office_id=052&mode=search&query=삼성전자&page=2,YTN,삼성전자가 갤럭시 폴드를 선보이며 '접는 스마트폰 시대'를 열었는데요. 새해에는 조개껍데기 모양의 새 폴더블폰과 중국 업체들의 제품이 잇따라 출...,2020-01-04 05:47
"[미리보는 CES 2020-중] Beyond Electronics…車, 석화 등 ...",/news/news_read.nhn?article_id=0002374745&office_id=119&mode=search&query=삼성전자&page=2,데일리안,먼저 삼성전자는 와인·비어·뷰티 등 큐브 형태의 소형 냉장고를 선보인다. 단독으로 설치하거나 위아래로 쌓을 수 있다. 기존 제품에서 볼 수 없었...,2020-01-04 06:01
게이밍 모니터 고사양화…올해 출하량 첫 1천만대 돌파할 듯,/news/news_read.nhn?article_id=0000520622&office_id=031&mode=search&query=삼성전자&page=2,아이뉴스24,"위츠뷰는 ""필립스·삼성전자·MSI 등은 지난해 커브드 게이밍 모니터를 바탕으로 게이밍 하드웨어 시장 확대를 적극적으로 추진했다""며 ""전체 게이밍...",2020-01-04 06:01
박용만 민간 역동성 회복… 수출·투자 길 터줘야,/news/news_read.nhn?article_id=0003427338&office_id=022&mode=search&query=삼성전자&page=2,세계일보,"재계에서는 윤부근 삼성전자 부회장, 권영수 LG 부회장, 황각규 롯데지주 부회장, 현정은 현대그룹 회장, 공영운 현대자동차 사장, 장동현 SK ...",2020-01-04 06:02
"삼성·LG, ‘CES 2020’서 신가전 경쟁..신발관리기·식물재배기 등 대거 공...",/news/news_read.nhn?article_id=0004548689&office_id=018&mode=search&query=삼성전자&page=2,이데일리,"삼성전자가 세계 최대 가전 전시회 ‘CES 2020’에서 선보일 큐브 형태의 소형 냉장고. 와인과 맥주, 화장품을 각각 최적의 온도에서 보관할 ...",2020-01-04 06:12
[자막뉴스] 새해 스마트폰 키워드 '폴더블폰'...이젠 위아래로 접힌다,/news/news_read.nhn?article_id=0001384338&office_id=052&mode=search&query=삼성전자&page=2,YTN,"그리고 12년 뒤인 2019년, 삼성전자가 선보인 접히는 스마트폰 갤럭시 폴드는 아이폰 이후 가장 큰 형태의 변화, 즉 새로운 '폼팩터'의 등장...",2020-01-04 06:46
"""겜덕후, 땡큐!"" 게이밍 모니터 시장…올해 1000만대 돌파",/news/news_read.nhn?article_id=0004391236&office_id=421&mode=search&query=삼성전자&page=2,뉴스1,국내 대표 가전기업인 삼성전자와 LG전자도 오는 7일 미국 라스베이거스에서 개막하는 세계 최대 가전전시회 'CES 2020'에서 게이밍 모니터 ...,2020-01-04 08:00
대기업 CEO의 '하늘 위 집무실'…1년 운영비는?,/news/news_read.nhn?article_id=0004352425&office_id=014&mode=search&query=삼성전자&page=2,파이낸셜뉴스,"매각 이후 삼성전자 소속이던 조종사와 승무원, 유지보수 인력도 모두 대한항공 소속으로 변경됐다. 삼성을 제외한 대다수 대기업들은 대부분 전용기를...",2020-01-04 08:01
CES에서도 불꽃튀길 삼성·LG ‘TV 맞대결’,/news/news_read.nhn?article_id=0003056096&office_id=081&mode=search&query=삼성전자&page=2,서울신문,삼성전자와 LG전자가 오는 7일부터 나흘간 미국 라스베이거스에서 펼쳐지는 세계 최대의 가전·IT(정보기술) 박람회인 ‘CES 2020’에 참가해...,2020-01-04 08:01
