head,text,url
뉴욕증시 상승세에 투심완화..개인·기관 '사자'삼성電·삼성바이오·셀트리온 등 시총상위株 '동반상승',"[이데일리 오희나 기자] 코스피 지수가 1% 이상 상승 출발했다. 기관과 개인의 매수세가 유입되면서 하루만에 1900선을 회복했다. 6일 마켓포인트에 따르면 오전 9시8분 현재 코스피 지수는 전 거래일 대비 20.20포인트(1.07%) 오른 1915.57을 기록중이다. 이날 코스피는 1919.45로 상승 출발했다. 지난주말 2.68% 하락세를 기록하면서 1894선까지 밀렸지만 하루만에 반등에 성공하면서 1910선을 상회하고 있다.
 미국 뉴욕증시는 신종 코로나바이러스 감염증(코로나19) 확산 차단을 위해 취했던 제한조치를 완화하면서 경제 정상화에 대한 기대감으로 상승세를 기록했다. 국제유가는 20%대의 폭등세를 보였다. 5일(현지시간) 다우존스30 산업평균지수는 전날보다 133.33포인트(0.56%) 오른 2만3883.09에 장을 마쳤다. 스탠더드앤드푸어스(S&P)500지수는 25.70포인트(0.90%) 상승한 2868.44를, 기술주 중심의 나스닥지수는 98.41포인트(1.13%) 오른 8809.12를 각각 기록했다.수급별로는 기관이 28억원, 개인이 719억원 ‘사자’에 나섰다. 외국인은 735억원 순매도를 보이고 있다. 프로그램은 차익이 120억원 순매도, 비차익이 477억원 순매도를 보이면서 597억원 매도우위를 보이고 있다. 업종별로는 대부분이 오르고 있는 가운데 증권과 운수장비 업종이 2% 이상 오름세를 보이고 있다. 화학, 유통업, 운수창고, 서비스업, 금융업, 보험, 은행, 건설업, 음식료품, 제조업, 섬유의복, 철강및 금속, 전기전자 등의 업종도 1% 이상 상승세다.시가총액 상위 종목 대부분이 상승세를 보이는 가운데 삼성전자(005930)는 전날보다 450원(0.93%) 오른 4만8950원에 거래되고 있다. SK하이닉스(000660) 삼성바이오로직스(207940) NAVER(035420) 셀트리온(068270) LG화학(051910) LG생활건강(051900) 현대차(005380) 삼성SDI(006400) 삼성물산(028260) SK텔레콤(017670) 카카오(035720) 등도 상승세를 보이고 있다.오희나 (hnoh@edaily.co.kr)＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞",/news/news_read.nhn?article_id=0004633699&office_id=018&mode=search&query=LG생활건강&page=1
,"(서울=연합뉴스) 김아람 기자 = 코스피가 6일 상승세로 출발했다.

이날 오전 9시 22분 현재 코스피는 전 거래일보다 17.64포인트(0.93%) 오른 1,913.01을 가리켰다.

지수는 전장보다 24.08포인트(1.27%) 오른 1,919.45에서 출발해 강세 흐름을 이어가며 장중 한때 1,923.68까지 올랐다.

유가증권시장에서는 개인과 기관이 각각 790억원, 109억원어치를 순매수했다. 외국인은 893억원을 순매도했다.

지난 5일(현지시간) 뉴욕증시에서는 다우존스30 산업평균지수(0.56%), 스탠더드앤드푸어스(S&P)500 지수(0.90%), 나스닥 지수(1.13%)가 일제히 이틀째 상승했다.

미국을 비롯한 세계 각국의 경제 정상화 기대와 국제 유가 상승세 등이 투자 심리에 긍정적으로 작용했다.

수요 회복 기대에 국제유가는 5거래일 연속 올랐다. 같은 날 뉴욕상업거래소(NYMEX)에서 6월 인도분 서부 텍사스산 원유(WTI)는 전날보다 배럴당 20.5%(4.17달러) 뛴 24.56달러에 장을 마쳤다.

이영곤 하나금융투자 연구원은 ""국내 휴장 기간에 글로벌 시장에서 유가가 큰 폭으로 반등하면서 전체적으로 투자 심리가 개선됐다""며 ""기업 실적에 대한 우려도 완화하면서 지수가 상승세를 보이고 있다""고 설명했다.

시가총액 상위 종목은 삼성전자(0.52%), SK하이닉스(0.99%), 삼성바이오로직스(1.98%), 네이버(2.01%), 셀트리온(0.49%), LG화학(0.97%), LG생활건강(0.51%), 현대차(2.73%), 삼성SDI(1.62%), 삼성물산(1.60%) 등 10위권 내 모든 종목이 올랐다.

업종별로는 증권(3.89%), 운송장비(2.06%), 화학(1.73%), 의료정밀(1.59%), 금융(1.44%) 등 대부분 강세를 보이고 통신(-0.34%)만 약세다.

같은 시각 코스닥지수는 전장보다 8.55포인트(1.33%) 오른 650.46을 나타냈다.

지수는 전장보다 8.24포인트(1.28%) 오른 650.15로 개장해 상승세를 지속하고 있다.

코스닥시장에서는 개인이 355억원을 순매수했다. 외국인과 기관은 각각 218억원, 55억원을 순매도했다.

시총 상위주 중에는 셀트리온헬스케어(1.09%), 에이치엘비(0.21%), CJ ENM(1.30%), 셀트리온제약(0.56%), 펄어비스(1.20%), 케이엠더블유(3.19%), 스튜디오드래곤(0.52%), 알테오젠(2.27%), 휴젤(1.99%) 등이 올랐다.

10위권 안에서는 씨젠(-2.15%)만 내렸다.

rice@yna.co.kr",/news/news_read.nhn?article_id=0011589247&office_id=001&mode=search&query=LG생활건강&page=1
,"손희연 기자 son90@mt.co.kr
<저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스' 머니S, 무단전재 및 재배포 금지>",/news/news_read.nhn?article_id=0000538734&office_id=417&mode=search&query=LG생활건강&page=1
,"[머니투데이 오정은 기자] [신용·체크카드 기준 연 매출 10억원 미만 가맹점 사용 가능…아동돌봄쿠폰과 동일 ] ""긴급재난지원금으로 나이키, 아디다스, 휠라 운동화 살 수 있나요?""긴급재난지원금으로 운동화, 의류, 화장품을 살 수 있는지에 대한 시민들의 궁금증이 폭발하고 있다. 정부가 4일부터 긴급재난지원금 지급을 시작하면서 지원금 사용처에 대한 문의가 폭주하고 있다. 재난지원금으로 생필품뿐 아니라 옷, 신발, 화장품 등을 사고 싶은데 정확한 사용처에 대한 부정확한 정보가 난립해서다. 6일 행정안전부에 따르면 신용·체크카드에 포인트로 지급된 재난지원금은 백화점, 대형마트, 온라인쇼핑몰, 유흥업소에서 사용이 불가능하다. 또 대기업의 프랜차이즈의 본사 직영점과 온라인 쇼핑몰도 안 된다. 7세 미만 아동 1인당 40만원씩 지급된 아동돌본쿠폰과 기본적으로 사용처가 동일하다는 설명이다. 하지만 대기업 계열 프랜차이즈 중 연 매출 10억원 미만의 가맹점·대리점에서는 재난지원금 사용이 가능하다. 앞서 4월10일 긴급재난지원금을 먼저 지급한 경기도에서도 연매출 10억원 미만의 패션·뷰티 대리점(가맹점)에서 지원금 사용이 가능한 것이 확인됐다. 가맹점과 대리점은 자영업자들이 본사와 계약을 맺고 운영하는 매장으로, 소상공인에 해당된다. 스포츠 패션업체 휠라(FILA)의 예를 들면, 휠라코리아는 국내에 직영점을 1곳(이태원점)만 운영하고 있다. 즉 이태원점을 제외한 전국의 모든 매장이 대리점인 것이다. 하지만 연 매출 100억원이 넘는 명동점 등 대형 매장은 매출 기준을 충족하지 못하므로 긴급재난지원금 사용이 불가능하다. 휠라 운동화를 사고 싶다면 연매출이 작은 매장을 찾아야 한다. 긴급재난지원금 사용이 이미 이뤄졌던 경기도의 경우, 대부분의 휠라 매장 연 매출이 10억원 미만이었기에 재난지원금 사용이 가능했다. 긴급재난지원금은 자신이 거주하는 지방자치단체 내에서 사용 가능하므로 타 지역에서 쓰면 안 된다. 서울 시민이라면 서울에 존재하는 연 매출 10억 미만 휠라 매장을 찾아서 쇼핑을 해야 하는 것이다.휠라뿐 아니라 다른 오프라인 패션 매장도 마찬가지다. 오프라인 가두점 중에서 대기업 본사 직영점이 아닌, 연 매출 10억원 미만 가맹점 또는 대리점을 찾으면 긴급재난지원금을 쓸 수 있다. 긴급 재난지원금으로 화장품도 살 수 있다. 아모레퍼시픽의 프랜차이즈 매장인 아리따움, 이니스프리, 에뛰드하우스 중에서 본사 직영이 아니면서 연 매출 10억원 미만인 매장에서 지원금 쇼핑이 가능하다. 아모레퍼시픽은 직영보다 가맹점 비율이 높아, 절반 이상의 매장이 가맹점이다. LG생활건강의 더페이스샵·네이처컬렉션도 가맹점 가운데 연 매출 10억원 미만인 곳에서 쇼핑이 가능하다. 더페이스샵은 직영점이 80%에 달해 가맹점을 잘 구분해 매장을 찾아야 한다. 네이처컬렉션은 86%가 가맹점으로 사용 가능한 곳이 많다. 에이블씨엔씨의 미샤 매장도 가맹점에서는 재난지원금을 쓸 수 있다. 미샤도 가맹점 비율이 33% 수준으로 가맹점과 본사 직영점을 잘 구분해 찾아야 한다. 올리브영의 경우 전체 매장 가운데 80%가 직영점이기 때문에 연 매출 10억원 미만의 가맹점을 찾아야 화장품 쇼핑이 가능하겠다. 논란이 된 다이소는 지방의 일부 매장이 연 매출 10억 미만의 가맹점으로 확인돼, 사용이 가능한 매장도 있었다.한편 긴급재난지원금은 1인가구 40만원, 2인가구 60만원, 3인가구 80만원, 4인가구 이상 100만원을 지원한다. 전국민은 11일 온라인 신청, 18일부터는 오프라인 신청을 받는다. 사용 기한은 8월 31일이며 잔액은 환급되지 않는다.긴급재난지원금의 주 사용처는 전통시장을 비롯해 농협하나로마트를 포함한 동네 마트 및 슈퍼, 주유소, 정육점, 과일가게, 편의점, 음식점, 카페, 빵집, 병원, 한의원, 약국, 미용실, 안경점, 서점, 문방구, 학원 등이다. 긴급재난지원금을 신용·체크카드가 아닌 지역사랑상품권으로 받을 경우 해당 지자체 홈페이지에서 사용처(상호명)를 확인 가능하다. 오정은 기자 agentlittle@mt.co.kr
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>",/news/news_read.nhn?article_id=0004404207&office_id=008&mode=search&query=LG생활건강&page=1
,"[이데일리 오희나 기자] 코스피 지수가 기관과 개인의 매수세에 힘입어 상승세를 이어가고 있다. 6일 마켓포인트에 따르면 오전 11시13분 현재 코스피 지수는 전 거래일 대비 14.85포인트(0.78%) 오른 1910.22를 기록중이다. 이날 코스피는 1919.45로 상승 출발했다. 하루만에 반등에 성공하면서 1910선을 상회하고 있다. 장중 한때 1920선까지 올랐지만 외국인 매도세에 상승폭은 다소 축소된 상태다. 신종 코로나바이러스 감염증(코로나19) 완화에 ‘생활속 거리두기’로 전환하면서 경제 정상화에 대한 기대감으로 투자심리가 완화된 것으로 풀이된다. 수급별로는 기관이 612억원, 개인이 1637억원 순매수를 기록중이다. 외국인은 2171억원 순매도를 보이고 있다. 프로그램은 차익이 35억원 순매수, 비차익이 1477억원 순매도를 보이면서 1442억원 매도우위를 보이고 있다. 업종별로는 대부분이 오르고 있는 가운데 증권업종, 서비스업, 의료정밀 등이 2% 이상 오르고 있다. 운수장비, 음식료품, 기계, 종이목재, 건설업, 화학, 보럼, 유통업, 철강및 금속, 금융업 등도 오름세를 보이고 있다. 반면 전기가스, 통신업, 은행업종은 하락세를 보이고 있다. 시가총액 상위 종목중에서는 삼성전자(005930) SK하이닉스(000660) 삼성바이오로직스(207940) NAVER(035420) LG생활건강(051900) 현대차(005380) 삼성SDI(006400) 삼성물산(028260) 카카오(035720) 현대모비스(012330) POSCO(005490) 엔씨소프트(036570) 등이 상승세를 보이고 있다. 반면 LG화학(051910) SK텔레콤(017670) 한국전력(015760) 신한지주(055550) KB금융(105560) 등은 하락세다. 개별종목중에서는 유진투자증권(001200)이 세종텔레콤이 5% 이상 주주로 등장한 가운데 경영권 분쟁 가능성이 제기되면서 10% 이상 오르고 있다. 카카오(035720)는 장중 19만4500원까지 오르면서 ‘52주 신고가’를 경신했다. 비대면접촉 소비가 증가하고 카카오뱅크 등의 자회사 실적성장이 이어지면서 기대감이 반영된 것으로 풀이된다.오희나 (hnoh@edaily.co.kr)＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞",/news/news_read.nhn?article_id=0004633916&office_id=018&mode=search&query=LG생활건강&page=1
,"[머니투데이 강민수 기자] 개인이 지난 4일 하루에만 1조7000억원을 사들이는 등 역대급 순매수 기록을 보이는데도 외국인 투자자는 여전히 매도 행렬을 이어가고 있다. 그러나 이런 상황에서도 외국인은 NHN한국사이버결제는 500억원 가까이 사들여 투자자들의 관심을 받고 있다. 6일 한국거래소에 따르면 지난달 1일부터 지난 4일까지 한 달여간 외국인은 코스닥시장에서 NHN한국사이버결제 주식 480억원어치를 사들였다. 그러나 같은 기간 코스닥시장에서는 7537억원을 순매도했다. 코스피와 비교하면 격차가 더 크다. 이 기간 외국인은 5조463억원어치를 팔아치웠는데, 이는 같은 기간 5조5124억원어치를 사들인 개인과 엇갈린 투자 행태를 보인 것이다. 개인이 1조7000원이 순매수하며 역대 최고 기록을 갈아치운 4일에도 외국인은 9462억원을 순매도했다. NHN한국사이버결제 이외 외국인이 많이 사들인 종목(ETF 제외)은 한진칼(731억원), 펄어비스(596억원), LG생활건강(568억원), 삼성바이오로직스(520억원) 등이다. 삼성바이오로직스와 LG생활건강은 시가총액 2~30조에 달하는 코스피 대형주고, 한진칼과 펄어비스의 시총도 각각 5조원과 2조원을 넘는다. 이에 비해 시총 1조원도 채 못 미치는 NHN한국사이버결제를 대형 업체와 엇비슷하게 순매수했다는 점은 눈여겨볼 만하다. 다만, 같은 기간 개인은 이 주식 263억원어치를 순매도했다. NHN한국사이버결제는 코로나19(COVID-19) 수혜 대장주로 꼽히는 업체다. 바이러스 확산으로 인한 재택근무, 사회적 거리두기가 도입되면서 온라인 쇼핑 건수가 급격히 늘어난 덕분이다. 정부가 이날부터 '생활 속 거리두기'로 방역 지침을 전환했지만 아직 사태가 완전히 종식되지는 않은 데다, 이번 기회로 자리잡은 언택트(비대면) 트렌드는 앞으로 확산될 전망이다. 국내 PG(전자결제) 시장 점유율 1위 사업자인 NHN한국사이버결제의 수혜가 더욱 커질 것으로 기대되는 부분이다. 최재호 DS투자증권 연구원은 ""국내 이커머스 1위인 '쿠팡'을 비롯해 대형 이커머스 기업 '티몬', '위메프'가 고객사인 데다, 음식 배달서비스 시장의 대부분을 차지하는 '배달의 민족'과 '요기요'까지 고객사로 두고 있어 국내 PG사 중 가장 큰 수혜주""라며 ""지난 3월 거래액은 2조원을 훌쩍 넘어 창립 사상 역대 최대치를 기록했고, 올해 연간 거래액은 24조원을 뛰어넘을 것""이라고 전망했다.국내뿐만 아니라 해외 고객사 유치로 사업을 확대한다는 점도 호재다. NHN한국사이버결제는 지난해 애플 앱스토어 마스터 PG 지위(단독 전자지급결제 대행사)에 이어 글로벌 온라인 여행 예약대행사(OTA) 1위 '익스피디아' 국내 결제서비스 독점 지위를 획득했다. 올해 하반기부터는 캐나다 최대 전자상거래 플랫폼 '쇼피파이' 국내 서비스에 원화결제를 제공할 예정이다. 최 연구원은 ""지난해 1조원으로 전체 거래액의 5% 수준을 차지했던 해외 결제 거래액은 올해 2조원 이상 달성 가능할 것""이라고 예상했다.이에 주가도 고공행진 중이다. NHN한국사이버결제의 주가는 올해 들어서만 두 배 가까이 올랐는데, 특히 국내 코로나19 확산이 본격화된 지난 2월 이후 지난 4일까지 74.8% 상승했다. 강민수 기자 fullwater7@mt.co.kr
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>",/news/news_read.nhn?article_id=0004404304&office_id=008&mode=search&query=LG생활건강&page=1
,"SK바이오랜드가 네이버 실시감 검색어에 오르면서 주가가 20% 넘게 급등 중이다.SK바이오랜드는 6일 오후 1시 50분 현재 전 거래일대비 22.02%(5450원) 오른 3만200원에 거래되고 있다.이날 SK바이오랜드는 장중 한때 3만1400원까지 치솟았다. 이는 최근 3년 내 최고가 기록이다.SK바이오랜드는 천연물을 이용한 의약품, 화장품, 기능성 식품 등의 원료 제조 및 판매를 주요 사업으로 진행 중이다. 바이오셀룰로스 생산력 강화를 위해 안산공장, 중국 해문공장에 생산시설을 증설하고 원스톱 공정으로 바이오셀룰로스 마스크팩을 공급하고 있다. 경쟁업체로는 LG생활건강, 아모레퍼시픽 등이 있다.송창범 기자
 <저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스' 머니S, 무단전재 및 재배포 금지>",/news/news_read.nhn?article_id=0000538891&office_id=417&mode=search&query=LG생활건강&page=1
"기관, 3078억원 순매수 나서..개인, 장막판 차익실현서비스업·의료정밀·음식료품 3~4% 올라삼성물산, 대국민사과로 불확실성 제거 기대감 '상승'","[이데일리 오희나 기자] 코스피 지수가 기관 매수세에 힘입어 상승 마감했다. 삼성전자를 비롯한 시가총액 상위 종목 대부분이 오르면서 1930선에 바짝 다가섰다. 6일 마켓포인트에 따르면 코스피 지수는 전 거래일 대비 33.39포인트(1.76%) 오른 1928.76으로 마감했다. 이날 코스피는 1919.45로 상승 출발했다. 하루만에 반등에 성공하면서 1930선에 바짝 다가섰다.
신종 코로나바이러스 감염증(코로나19) 완화에 ‘생활속 거리두기’로 전환하면서 경제 정상화에 대한 기대감으로 투자심리가 완화된 것으로 풀이된다. 글로벌 증시가 상승세를 보인 것도 영향을 미쳤다. 미국 뉴욕증시는 신종 코로나바이러스 감염증(코로나19) 확산 차단을 위해 취했던 제한조치를 완화하면서 경제 정상화에 대한 기대감으로 상승세를 기록했다. 국제유가는 20%대의 폭등세를 보였다. 5일(현지시간) 다우존스30 산업평균지수는 전날보다 133.33포인트(0.56%) 오른 2만3883.09에 장을 마쳤다. 스탠더드앤드푸어스(S&P)500지수는 25.70포인트(0.90%) 상승한 2868.44를, 기술주 중심의 나스닥지수는 98.41포인트(1.13%) 오른 8809.12를 각각 기록했다.수급별로는 기관이 3078억원, 개인이 8억원 순매수를 기록했다. 특히 개인은 장중 ‘사자’세를 이어가면서 지수 상승을 주도하는 듯했지만 장 막판 차익실현에 나서면서 소폭 매수에 그쳤다. 외국인은 3149억원 순매도를 기록했다. 2거래일 연속 ‘팔자’세를 이어가며 1조2569억원 가량 팔아치우면서 지수의 발목을 잡았다.
프로그램은 차익이 643억원 순매수, 비차익이 3426억원 순매도를 보이면서 2783억원 매도우위를 나타냈다. 업종별로는 대부분이 오른 가운데 서비스업이 4% 이상 올랐고, 의료정밀, 음식료품 업종이 3% 이상 올랐다. 유통업, 증권, 의약품, 운수장비, 기계, 제조업, 종이목재, 보험, 건설업, 화학, 전기전자, 금융 등이 1% 이상 상승세를 보였다. 반면 전기가스, 통신업종은 내렸다.
시가총액 상위 종목중에서는 삼성전자(005930) SK하이닉스(000660) 삼성바이오로직스(207940) NAVER(035420) 셀트리온(068270) LG화학(051910) LG생활건강(051900) 현대차(005380) 삼성SDI(006400) 삼성물산(028260) 카카오(035720) 현대모비스(012330) POSCO(005490) 엔씨소프트(036570) 등이 상승세를 보였다.
반면 SK텔레콤(017670) 한국전력(015760) KB금융(105560) 등은 하락세를 보였다. 개별종목중에서는 카카오(035720)는 장중 20만원까지 오르면서 ‘52주 신고가’를 경신했다. 비대면접촉 소비가 증가하고 카카오뱅크 등의 자회사 실적성장이 이어지면서 기대감이 반영된 것으로 풀이된다. 삼성물산(028260)은 이재용 삼성전자 부회장이 대국민 사과에 나서면서 6% 이상 올랐다. 대국민 사과 후 삼성그룹을 둘러싼 불확실성이 해소될 수도 있다는 기대감이 반영된 것으로 풀이된다. 이날 거래량은 10억6363만주, 거래대금은 8조4270억원으로 집계됐다. 상한가 종목은 없고 695개 종목이 상승했다. 하한가 종목 없이 146개 종목이 하락했다. 55개 종목은 보합권에서 거래를 마쳤다.오희나 (hnoh@edaily.co.kr)＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞",/news/news_read.nhn?article_id=0004634235&office_id=018&mode=search&query=LG생활건강&page=1
,"[머니투데이 김사무엘 기자]
예상보다 선전한 상장사들의 1분기 실적에도 증권가의 표정은 밝지 않다. 코로나19(COVID-19)로 인한 실적 충격은 1분기보다 2분기가 더 클 것으로 예상되기 때문이다.상장사들의 실적 전망치 하향 조정이 지속되고 있는데, 최근에는 추정치가 반등한 기업들이 속속 등장하고 있어 이제는 바닥이 가까워졌다는 분석도 나온다. 6일 금융정보업체 에프앤가이드에 따르면 지난 4일까지 1분기 실적을 발표한 코스피·코스닥 상장사 중 컨센서스(실적 전망치)가 집계된 120개 기업의 영업이익은 총 18조6593억원으로 컨센서스보다 5.7% 높았다. 코로나19 영향으로 기업들의 실적 전망이 크게 낮아졌지만 실제 실적은 우려했던 것보다 크게 나쁘진 않았던 것이다.125개 기업 중 컨센서스 대비 10% 이상 '어닝 서프라이즈'를 실현한 기업이 57곳, 10% 이상 하회한 '어닝 쇼크' 기업은 41곳으로 깜짝 실적을 기록한 곳이 더 많았다. 반도체 대장주인 SK하이닉스를 비롯해 LG이노텍, LG생활건강, 메리츠증권, 미래에셋대우, 한국조선해양, 효성화학 등이 전망치를 훌쩍 뛰어넘는 실적으로 시장을 깜짝 놀라게 했다.1분기 실적이 예상보다 선전했던 이유로는 코로나19 영향이 아직 본격 반영되지 않았고, 수출 위주 기업의 경우 환율이 상승(원화 약세)하면서 이익이 개선된 효과를 본 것으로 분석된다.1분기 호실적이 이어지고 있음에도 기업들의 실적 전망치는 여전히 내리막길이다. 코로나19로 인한 경제 위기는 1분기보다 2분기가 '진짜'라는 분석때문이다. 국내에선 3월초부터 코로나19가 급격히 확산됐고, 미국과 유럽 등에서는 3월중순부터 확산이 시작돼 지난달 경제 '셧다운'이 본격화했다. 한국 경제의 수출 의존도가 높다는 점을 감안하면 2분기 실적이 악화할 것은 불보듯 뻔한 일이다. 산업통상자원부에 따르면 지난 3월 우리나라 전체 수출은 496억달러로 전년 동월대비 0.2% 감소에 그쳤지만 지난달 수출은 24% 감소한 369억달러를 기록했다. 무역수지는 9억5000만달러 적자로 99개월만에 적자전환했다. 2분기 실적 전망도 계속 조정 중이다. 컨센서스가 집계된 216개 상장사의 2분기 영업이익 추정치는 총 26조5646억원으로 한달 전보다 16.7% 줄었고, 1주일 동안에도 4% 하향 조정됐다. 코로나19가 장기화할 수 있다는 우려가 나오며 연간 추정치 하향 조정도 계속된다. 컨센서스 집계 270개 상장사의 올해 연간 영업이익 추정치는 총 132조9596억원으로 1주일 전보다 1.95% 감소했다.하지만 주가는 실적과 정 반대로 움직이면서 밸류에이션(실적 대비 주가 수준) 부담은 여느 때보다 높아진 상황이다. 주가는 이미 쇼크를 경험했기 때문에 향후 경기가 회복될 것을 먼저 반영하고 있는 것이다. 현재 코스피는 1900선을 웃돌고 있는데, 12개월 전망 PER(주가순수익비율)는 역대급 고점인 11배에 육박했다. 미국 대형주 지수인 S&P(스탠다드앤드푸어스)500 지수 역시 12개월 전망 PER 20배 수준으로 평소 16배보다 고평가 상태다.'거품' 우려를 불식시키려면 실제 실적 개선이 뒤따라야 한다. 이에 시장에서는 실적 추정치가 반등한 기업에 주목한다. 실적 전망이 바닥을 지나 상승세로 돌아서면 주가 상승에 따른 부담이 사라지고 추가 상승 동력을 얻을 수도 있기 때문이다.현재 연간 영업이익 전망이 최근 일주일 동안 반등한 기업은 삼성생명, 메리츠증권, 두산인프라코어, 한국항공우주, 한국조선해양, HDC현대산업개발, 효성화학 등 15곳이다.삼성생명은 현재 연간 영업이익 전망이 1달 전 1914억원에서 1주일 전 533억원으로 급락했지만 현재는 654억원으로 다시 상향 조정됐다. 증권업계에서는 저금리 등으로 인한 생명보험 업계의 어려움을 감안하더라도 높은 자본적정성과 다양한 비이자 수익원 등을 고려할 때 현재 삼성생명 주가는 과도한 저평가 수준이라고 보고 있다.모회사 두산중공업의 유동성 위기로 어려움을 겪고 있는 두산인프라코어도 최근 실적 추정치 하향을 멈췄다. 1분기 영업이익이 1810억원으로 추정치를 13% 웃도는 '어닝 서프라이즈' 실현하면서 올해 실적 기대감도 커졌다. 시장점유율 6.6%를 차지하고 있는 중국 굴삭기 시장이 코로나19 이후 회복세를 보이고 있다는 점이 고무적이다.한국항공우주(KAI)의 올해 영업이익 전망치는 2494억원으로 1주일 전보다 3.3% 올랐다. 코로나19로 인해 민항기 수요 위축은 불가피하지만 한국형전투기(KFX) 사업 등 방산 부문에서 선전할 것으로 기대된다. 고환율 효과도 기대 요소다.이밖에 메리츠증권의 영업이익 전망은 1주일 전 대비 5.9% 상승했고, HDC현대산업개발 2.8%, 효성화학 2.7%, 삼성엔지니어링 1.2%, SK머티리얼즈 1.1% 상향 조정이 이뤄졌다.김사무엘 기자 samuel@mt.co.kr
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>",/news/news_read.nhn?article_id=0004404476&office_id=008&mode=search&query=LG생활건강&page=1
"달러/원 환율, 7.0원 내린 1222.1원조선·정유주 일제히 상승…이재용 대국민 사과 이후 삼성물산 급등","(서울=뉴스1) 전민 기자 = 6일 코스피 지수가 1.7% 상승해 1920선을 회복했다. 코스닥 지수도 2.6% 급등했으며 달러/원 환율도 하락했다.이날 코스피 지수는 전거래일보다 33.39p(1.76%) 상승한 1928.76로 거래를 마쳤다. 24.08p(1.27%) 오른 1919.45로 출발한 뒤 장초반 상승폭을 줄이기도 했으나 보합권에 머물던 미국 3대 지수 시간외 선물과 중국 상해종합지수가 상승세를 보이자 재차 반등에 나섰다.코스피시장에서 개인과 기관은 각각 8억원, 3078억원 순매수했다. 외국인은 3149억원 순매도했다.전날(현지시간) 뉴욕 증시는 다우산업(0.56%), 나스닥종합(1.13%), S&P500(0.9%) 등 3대 지수가 일제히 상승 마감했다. 미·중 갈등 고조 우려에 하락 출발했으나 서부텍사스산원유(WTI)가 미국의 경제재개 기대감에 20% 급등한 영향을 받았다. 현재 3대 지수의 시간외 선물은 0.8%대 상승하고 있다.노동길 NH투자증권 연구원은 ""국내 주가는 미중 무역분쟁우려로 상승폭을 줄이기도 했으나, 중국 주식시장 개장 이후 재차 반등했다""면서 ""역외 투자자들이 미중 무역분쟁 재발 가능성을 아직 크게 생각하지 않고 있다는 의미""라고 설명했다.시가총액 상위 10개 종목 중 삼성전자(1.44%), SK하이닉스(1.73%), 삼성바이오로직스(3.42%), NAVER(6.53%), 셀트리온(1.72%), LG화학(0.28%), LG생활건강(1.40%), 삼성물산(6.61%), 현대차(1.86%) 등이 동반 상승했다.삼성그룹 지주사격인 삼성물산은 이재용 삼성전자 부회장의 승계문제 관련 대국민 사과 이후 급등세를 보였다. 이 부회장은 경영권을 자식에게 물려주지 않겠으며 무노조 경영도 파기하겠다고 밝혔다. 국제 유가 상승에 힘입어 조선주인 한국조선해양(4.04%), 현대중공업지주(5.32%), 삼성중공업(2.40%), 현대미포조선(4.21%)과 정유주인 SK이노베이션(3.41%), S-Oil(2.35%) 등이 동반 상승했다.코스닥 지수는 16.49p(2.57%) 급등해 658.40로 장을 마감했다. 8.24p(1.28%) 오른 650.15으로 출발해 상승폭을 키웠다.코스닥 시장에서 외국인과 기관은 각각 763억원, 664억원 순매수했다. 개인은 1249억원 순매도했다. 셀트리온헬스케어(3.50%), 에이치엘비(2.91%), 셀트리온제약(0.56%), 펄어비스(2.76%), 케이엠더블유(2.02%), 스튜디오드래곤(0.39%), 알테오젠(5.21%), SK머티리얼즈(2.50%) 등이 상승했다. CJ ENM(-0.08%), 씨젠(-4.84%) 등은 하락했다. 서울외환시장에서 달러/원 환율은 7.0원 내린 1222.1원을 기록했다.min785@news1.kr© 뉴스1코리아(), 무단 전재 및 재배포 금지",/news/news_read.nhn?article_id=0004623137&office_id=421&mode=search&query=LG생활건강&page=1
