head,text,url
◇ 10곳 중 7곳 영업이익 추정치 하향 조정..2차전지株도↓(그래픽=문승용 기자),"[이데일리 최정희 기자] 신종 코로나 바이러스 감염증(코로나19) 확진자 수가 급증하면서 사업장 폐쇄 사례가 늘어나고 있다. 이런 분위기에 코스피 상장회사 영업이익 추정치가 한 달 새 무려 7% 가까이 급감했다. 전년 말 대비로도 11% 감소세다. 정유, 철강, 항공, 유통주를 비롯한 중국 소비주 등 전방위적으로 영업이익 기대치가 뚝 떨어졌다. 다만 악조건 하에서도 건설, 인터넷, 게임, 자동차, 식품 업종 등은 영업이익이 상향 조정되고 있다. 증권가에선 코스피 지수가 지난주 급락한 것에 비해 영업이익 추정치 감소폭이 크지 않다고 평가했다. 코스피 2000선 아래에선 주식 매수 대응을 권고했다.2일 금융정보분석업체 에프앤가이드에 따르면 증권사 실적 컨센서스 3곳 이상인 115개 코스피 상장회사의 1분기 매출액 및 영업이익 추정치(2월말)는 각각 345조7600억원, 20조8900억원으로 한 달 전보다 각각 1.0%, 6.7% 감소했다. 영업이익의 경우 1조5000억원 줄었고, 작년말 대비로는 2조3700억원(88개사 기준), 11.3% 감소해 감소폭이 커졌다. 115개사 중 76.5%, 3분의 2에 달하는 88개사의 영업이익 추정치가 하향 조정됐다. , S-Oil 등 정유사는 영업이익 추정치가 각각 77.9%, 76.5% 감소했다. 가뜩이나 정제마진이 감소하는데 국제유가까지 배럴당 44달러(서부텍사스산원유)로 급락하면서 역 래깅효과(원유 재고 가격보다 제품 가격 더 하락)가 발생한 영향이다. (-21.1%), (-70.2%), (적자 전환) 등 항공주들도 영업이익 추정치가 급감했다. (-17.0%),
(-28.2%), (-6.3%) 등 철강주들은 철강 가격 급락 우려에 추정치가 줄었다. , ,
등도 추정치가 10~11% 줄었다. 는 13%대 감소했다. (-24.8%), (-34.6%) 등 중국 소비주에 대한 눈높이도 크게 낮아졌다. 올 들어 잘 나갔던 대표 2차전지주들도 이익 추정치 감소 쓰나미를 피하지 못했다. (-17.5%), (-38.3%) 등도 추정치가 줄었고 애플의 아이폰 생산 차질 우려와 코로나19 확진자 발생으로 일부 공장을 폐쇄한 (-2.6%)도 추정치가 소폭 감소했다. 쓰나미 속에서도 영업이익 추정치가 상향 조정되는 종목도 있다. 건설주가 대표적이다. 이 영업이익 추정치가 9%대 늘어나고 , 도 0~1%대 증가했다. 코로나19 확진자가 집중된 대구, 경북의 경우 분양 일정 연기가 불가피하지만 추가경정예산 편성 등에 건설업은 타 업종에 비해 코로나 피해가 제한될 것으로 예측됐다. 코로나19 확산으로 외식이 줄고 집에 있는 시간이 늘어나면서 관련주의 영업이익 추정치가 상향 조정되고 있다. (0.6%), (4.1%) 등 인터넷 관련주는 물론이고 (10.4%) 등 일부 게임주도 실적 상향 대표주다. 불안한 심리에 사재기가 만연한 가운데 라면이 주요 사재기 품목으로 꼽히면서 식품주도 영업이익이 상향 조정되고 있다. (4.7%), 삼양식품(7.1%) 등이 있다. 도 10.3% 추정치가 늘어났다. 한편 의 영업이익 추정치가 1조1324억원으로 2.6% 높아졌다. 현대차는 중국 매출 비중이 작고 원화 약세에 1분기 미국 GV80 판매 호조가 예상되고 있다. (0.8%)도 소폭 상향됐다. 주도주이자 시가총액 1위인 도 6조6000억원으로 0.7% 늘어났다. 같은 반도체 업종이지만 가 14.8% 추정치가 감소한 것과 대조된다. 다만 주가 흐름은 영업이익 추정치 증감과 무관하게 움직였다. 삼성SDI(6.9%), LG화학(9.0%)은 추정치 감소에도 지난달 주가가 올랐고 이익 추정치 상향 종목 중에선 (8.2%), (2.0%), (14.3%) 정도만 주가가 상승했다. 이경민 대신증권 투자전략팀장은 “1월 20일 2277.23으로 연중 최고치를 기록한 후 지난달 28일 기준으로 코스피가 12.3% 하락하는 동안 올해 전체 코스피 영업이익 추정치는 2.78% 하향 조정되는 데 그쳤다”며 “코스피 영업이익 증가율은 28%대를 유지하고 있어 현재 저평가 영역에 있다”고 말했다. 이어 “코스피 2000선 이하에선 적극적인 매수로 대응해야 한다”고 덧붙였다.최정희 (jhid0201@edaily.co.kr)＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞",/news/news_read.nhn?article_id=0004588385&office_id=018&mode=search&query=NAVER&page=1
"하나금융투자 ""현 주가수준 센티멘탈 측면의 언더슈팅 짙어…중장기 매수해야""","[이데일리 이슬기 기자] 신종 코로나 바이러스 감염증(코로나19)으로 인해 코스피 지수가 2000선까지 내려앉았다. 증권가에선 코로나19가 야기할 경제적 파장이 글로벌 금융위기로까지 번질 가능성은 높지 않다며 대형 성장주를 중심으로 중장기 매수에 나설 때라고 조언했다.김용구 하나금융투자 연구원은 3일 보고서에서 “바이러스 공포는 글로벌 생산 및 소비 밸류체인의 괴멸적 상황변화 여지를 환기시키고 있지만 대순환 경기 사이클 상으론 세계경제의 급속한 침체 가능성은 여전히 기우에 불과하다”며 “현재 실적 눈높이나 업종·종목별 실적 상황을 고려해 볼 때 현재 주가수준은 센티멘탈 측면의 언더슈팅 성격이 짙어 중장기적으론 사는 조정이 되어야 마땅하다”고 짚었다.앞서 코스피 지수는 코로나19가 매크로 경기로 파장을 일으킬 수 있다는 우려에 종가 기준 2000선대까지 떨어졌다. 이는 금융위기 당시 주가순자산비율(PBR)인 0.82배에 밑도는 주가 수준(0.81배)이다. 이같은 폭락은 과도하다는 생각이다. 김 연구원은 “현 주가는 장래 실적이 2016년(147조 1억원)과 2019년(131조 8000억원) 사이 어귀 수준까지 속락할 수 있다는 것을 상당부분 반영하고 있으나 166조 1000억원에 달하는 현 실적 눈높이나 업종·종목별 실적을 확인해보면 이런 우려가 현실화 될 가능성은 지극히 희박하다”며 “현 지수대가 심리적 과민반응의 산물이라면 이는 중장기적으론 사는 조정이 되어야 마땅하다”고 강조했다.관건은 ‘무엇을 살 것인지’이다. 김 연구원은 △삼성전자(005930) △SK하이닉스(000660) △삼성전기(009150) △삼성SDI(006400) 등의 IT주, △삼성바이오로직스(207940) △셀트리온(068270) △셀트리온헬스케어(091990) 등 바이오주, △NAVER(035420) △카카오(035720) △엔씨소프트(036570) 등 소프트웨어주를 추천했다.김 연구원은 “현 난맥상의 돌파구로 대형 성장주의 전술적 유용성을 주시할 필요가 있다”며 “잠복 경기·증시 불확실성에 뚜렷한 이익 가시성에 근거한 시장 내 안전지대는 대형주”라고 설명했다.이슬기 (surugi@edaily.co.kr) | ＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞",/news/news_read.nhn?article_id=0004588464&office_id=018&mode=search&query=NAVER&page=1
"시총 상위 100위권 내 하락 종목 없어개인투자자, 12거래일 순매수","[이데일리 최정희 기자] 미국 증시 훈풍에 코스피 지수가 2%대 상승 출발했다. 신종 코로나 바이러스 감염증(코로나19) 확진자 수가 증가하고 있으나 각국 경기 부양책이 투자심리를 개선시키고 있다. 미국 경제 지표가 호조세를 보인 것도 증시 상승 요인이 되고 있다. 3일 마켓포인트에 따르면 코스피 지수는 이날 오전 9시 4분 현재 전 거래일보다 48.35포인트, 2.41% 상승한 2050.86에 거래되고 있다. 2거래일 연속 상승세다. 간밤 뉴욕 3대 지수는 4~5%대 폭등했다. 다우존스 산업평균 지수가 5.09%, 나스닥과 스탠다드앤드푸어스(S&P)500지수가 각각 4.49%, 4.60% 상승했다. 최근 하락에 따른 반발 매수세가 유입된 가운데 미국 2월 ISM 제조업 지수가 50.1로 기준선을 상회하면서 견고한 모습을 보였기 때문이다. 코로나19 확진자 수가 증가하고 있으나 미국, 중국, 유럽 등을 중심으로 긴급 대출 및 완화적인 통화정책 등 부양책이 나오고 있다. 다만 장 초반 수급은 외국인과 기관이 각각 897억원, 277억원 동반 순매도세를 보이면서 탄탄한 편은 아니다. 개인투자자만 1155억원 순매수세를 보이고 있다. 개인은 12거래일 연속 4조1800억원 가량을 순매수하고 있다. 반면 외국인은 7거래일 연속 순매도세를 보이며 3조4600억원을 내다팔고 있다. 프로그램매매는 차익과 비차익을 합해 10조9200만원이 순매도세다. 원-달러 환율은 전 거래일보다 5원 하락, 원화 강세 흐름이다. 시가총액 상위 종목들은 대부분 상승세다. 시총 상위 100위권 종목 중 농심(004370)을 제외한 99개 종목이 오른다. 시총 1위 삼성전자(005930), SK하이닉스(000660), 삼성바이오로직스(207940), NAVER(035420), 현대차(005380), 삼성물산(028260), LG생활건강(051900)은 2%대 오르고 LG화학(051910)은 3%대 오르고 있다. 삼성SDI(006400)도 3%대 상승세다. 셀트리온(068270), POSCO(005490), KB금융(105560)은 1%대 오르고 있다. 전 업종이 강세다. 전기전자가 3%대 오르고 섬유의복, 화학, 비금속광물, 의료정밀, 운송장비가 2%대 오르고 있다. 건설업, 증권, 서비스업, 제조업도 모두 2%대 상승세다. 의약품, 철강금속, 전기가스업, 운수창고, 은행 등도 1%대 상승중이다.최정희 (jhid0201@edaily.co.kr) | ＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞",/news/news_read.nhn?article_id=0004588552&office_id=018&mode=search&query=NAVER&page=1
,"[머니투데이 김소연 기자] 증시 훈풍에 시가총액 상위주들이 모조리 빨간 불을 켰다. 3일 오전 9시11분 삼성전자는 전일대비 1600원(2.91%) 오른 5만6600원을 나타내고 있다. SK하이닉스와 삼성바이오로직스, NAVER, 현대차, 삼성물산도 모두 2%대 상승세다. LG화학과 삼성SDI는 더 크게 올라 3%대 강세다. 간밤 뉴욕 증시가 4~5% 급등한 가운데 국내 증시도 어제에 이어 이틀 연속 그간 낙폭을 되돌리는 모습을 나타내고 있다. 이에 시가총액 상위주들이 힘을 내고 있는 것으로 풀이된다. 김소연 기자 nicksy@
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>",/news/news_read.nhn?article_id=0004368217&office_id=008&mode=search&query=NAVER&page=1
,"[이데일리 오희나 기자] 뉴욕증시가 급등세로 마감하면서 국내 증시에서도 시가총액 상위주들이 상승세를 보이고 있다. 3일 오전 9시7분 현재 삼성전자(005930)는 전거래일보다 1600원(2.91%)오른 5만6600원에 거래되고 있다. SK(034730) 하이닉스는 전날보다 2600원(2.82%) 오른 9만4700원에 거래되고 있고, 삼성바이오로직스(207940)는 전날보다 2.57% 올랐다. 이외에도 NAVER(035420)는 2% 상승세를 보이고 있고, LG화학(051910) 현대차(005380) 삼성SDI(006400) 등도 2~4%대 상승세를 기록중이다. 뉴욕증시에서 주요 지수는 신종 코로나바이러스 감염증(코로나19) 충격에 대응한 주요국 중앙은행들의 공동 경기 부양 기대로 폭등했다.2일(현지시간) 뉴욕증권거래소(NYSE)에서 다우존스 30 산업평균지수는 전장보다 1,293.96포인트(5.09%) 폭등한 26,703.32에 거래를 마쳤다. 스탠더드앤드푸어스(S&P) 500 지수는 전장보다 136.01포인트(4.60%) 급등한 3,090.23에, 기술주 중심의 나스닥도 384.80포인트(4.49%) 뛴 8,952.16에 장을 마감했다.다우지수는 2009년 3월 이후 약 11년 만에 가장 큰 하루 상승률을 기록했다.오희나 (hnoh@edaily.co.kr) | ＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞",/news/news_read.nhn?article_id=0004588559&office_id=018&mode=search&query=NAVER&page=1
,"손희연 기자 son90@mt.co.kr
<저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스' 머니S, 무단전재 및 재배포 금지>",/news/news_read.nhn?article_id=0000512371&office_id=417&mode=search&query=NAVER&page=1
,"[아이뉴스24 류은혁 기자] 코스피가 이틀 연속 상승세로 출발했다. 3일 코스피지수는 전날(2002.51)보다 49.34포인트(2.46%) 급등한 2051.85에 거래를 시작했다. 오전 9시5분 기준 개인이 1천156억원 순매수했으며 외국인과 기관이 각각 884억원, 277억원 순매도하고 있다.시가총액 상위 종목에선 대부분 상승세를 보이고 있다. 삼성전자(2.91%), SK하이닉스(2.82%), 삼성전자우(3.91%), 삼성바이오로직스(2.78%), NAVER(2.00%), LG화학(3.71%), 현대차(2.20%), 셀트리온(1.14%), 삼성SDI(3.61%), 삼성물산(2.35%) 등이 오름세다.코스닥은 이날 전날(627.66) 대비 13.99포인트(2.23%) 상승한 641.65으로 출발했다. 개인이 633억원 순매수중이며 외국인과 기관이 각각 559억원, 39억원 팔고 있다.셀트리온헬스케어(1.37%), 에이치엘비(2.79%), CJ ENM(2.38%), 펄어비스(1.02%), 스튜디오드래곤(1.45%), 케이엠더블유(3.14%), 에코프로비엠(5.78%), 휴젤(1.82%), 원익IPS(2.24%), SK머티리얼즈(2.04%) 등이 상승세를 보이고 있다.서상영 키움증권 연구원은 “간밤 미국증시가 세계은행(WB), 국제통화기금(IMF) 등 주요 기관과 주요 7개국(G7)의 코로나 관련 대책회의에 힘입어 상승한 점은 한국 증시에도 긍정적”이라면서도 “미국 내에서 코로나19 사망자가 지속적으로 증가하는 등 우려가 높아지고 있다는 점은 주목할 필요가 있다”고 분석했다. ehryu@inews24.com [ⓒ 아이뉴스24 무단전재 및 재배포 금지]",/news/news_read.nhn?article_id=0000527854&office_id=031&mode=search&query=NAVER&page=1
,"코스피가 개인의 매수에 힘입어 상승 출발했다.3일 오전 9시20분 현재 코스피는 전일 대비 38.94포인트(1.94%) 오른 2041.45를 기록하고 있다.이날 49.34포인트 상승 출발한 지수는 개인의 매수에 급등하며 장초반 2040선을 회복했다.지난밤 뉴욕증시는 최근 코로나19 하락에 따른 반발 매수세와 더불어 견고한 경제지표에 급등했다.서상영 키움증권 연구원은 ""미국은 S&P500 기준 12개월 예상실적기준 주가수익률(12M FWD PER)이 19배를 기록한 지난달 19일 밸류에이션 우려가 높아진 이후 코로나 19를 빌미로 단기 10% 급락했다""며 ""이 결과 5년 평균인 16.7배를 하회하는 등 밸류에이션 우려가 완화되자 반발 매수세가 유입됐다""고 설명했다.앞서 국내 증시는 2일 파월 연준의장에 이어 구로다 BOJ 총재가 온건한 통화정책을 시사하는 등 각국이 코로나 19로 인한 경기 둔화 우려를 완화시키기 위한 노력을 발표한 데 힘입어 상승했다.이날도 국내 증시는 상승 출발했으나 여전히 불확실성이 높다는 게 서 연구원의 설명이다.그는 ""미국내에서 코로나 19 사망자가 지속적으로 증가하는 등 여전히 관련 우려가 높아지고 있다는 점, 미국 민주당 대선 후보 경선을 둘러싼 불확실성 등을 감안 매물 출회 가능성을 배제할 수 없다""고 말했다.이날 유가증권시장에서는 업종별로 일제히 상승하고 있다. 음식료품, 섬유·의복, 종이·목재, 화학, 의약품, 비금속광물, 철강·금속이 강세를 보이고 있다.매매주체별로 개인이 1155억원 순매수하고 있고, 외국인과 기관이 897억원, 277억원 순매도하고 있다. 프로그램 매매는 1037억원 매도우위를 보이고 있다.시가총액 상위 종목들도 상승세를 보이고 있다. NAVER, 현대차, 카카오, 한국전력, SK하이닉스, 삼성전자, 삼성바이오로직스, 삼성에스디에스 등이 장초반 강세다.이날 코스피시장에는 800개 종목이 상승하고 있고 50개 종목은 하락하고 있다.코스닥은 전일 대비 11.83포인트(1.88%) 오른 639.49를 기록 중이다.[디지털뉴스국 김현정 기자] [ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]",/news/news_read.nhn?article_id=0004528646&office_id=009&mode=search&query=NAVER&page=1
"한국 증시, IT·바이오·소프트웨어 대장주 주목'美 무역합의 이후' IT·에너지·소재·산업 수혜집중","[헤럴드경제=김유진 기자] 코로나19에 대응하는 국제공조 기대감 속에 미국 증시가 2일(현지 시간) 5% 반등을 기록하면서, 국내 증시도 3일 급반등세를 타고 있다. 업계는 대내외적 증시 반등장이 눈앞에 다가왔다고 분석하고, 대형 성장주를 중심으로 중장기 매수에 나설 준비를 해야할 때라고 조언했다.업계는 지수 2000포인트를 전후한 최근 증시 조정은 심리적 요인으로 인한 단기 급락으로 보고, 대형주 중심의 돌파구를 찾으라고 조언한다.김용구 하나금융투자 연구원은 “현재 실적 눈높이나 업종·종목별 실적 상황을 고려하면 지금 주가 수준은 심리적 과민반응의 산물”이라며 “지금의 혼란스러운 상황에서 돌파구를 찾기 위해서 대형 성장주를 전술적으로 활용하는 방법을 고려해야 한다”고 분석했다. “잠복 경기·증시 불확실성에는 뚜렷한 이익이 눈에 보이는 대형주가 시장 내 안전지대”라고 설명이다.구체적 업종으로는 IT·바이오·소프트웨어 대장주가 주로 거론됐다. 김 연구원은 IT 업종에서 삼성전자·SK하이닉스·삼성전기·삼성SDI, 바이오 업종에서 삼성바이오로직스·셀트리온·셀트리온헬스케어, 소프트웨어 업종에서 NAVER·카카오·엔씨소프트 등을 추천했다.유명간 미래에셋대우 연구원은 ""가격 매력이 높고 성장성을 갖춘 같은 기업에 투자하라""며 SK하이닉스·한국카본·실리콘웍스·CJ제일제당·LG이노텍을 예로 들었다. 이어 이익이 안정적인 효성·JB금융지주·KB금융·아주캐피탈·제일기획 등 고배당주, 신용잔고 비율이 줄어드는 하이트진로·삼천당제약·SKC코오롱PI·위베이드·서진시스템 등 중소형주도 추천했다.글로벌 증시 역시 바닥을 확인하고 반등 기대감을 키워가고 있다. 전일 반등한 미국 증시에서는 향후 IT·에너지·소재·산업 업종 등에 주목해야할 때라는 전망이 제기됐다.김일혁 KB증권 연구원은 “연방준비제도와 국제사회의 강력한 대응 의지를 확인하면서 미국 증시는 이번 하락의 바닥을 확인했다”며 “지난 주말 이례적으로 연준 의장 명의 성명을 통해 적절하게 대응하겠다고 밝히면서 하단을 지지했다”고 분석했다.그는 “IT와 커뮤니케이션 서비스 업종의 대형 기술주와 에너지·소재·산업 업종 등 미·중 1단계 무역합의 이행의 수혜가 예상되는 업종을 선호할 만하다”고 내다봤다.중국의 강력한 경기 부양책에 대한 기대감도 제기된다. 이재만 하나금융투자 연구원은 ""S&P500 지수가 월간 고점 대비 10% 이상 하락한 전례에서 증시는 각국 중앙은행의 통화 확대 정책이 나올 때 반등했다""며 ""중국의 경제지표는 최악일 수 있지만 목표 성장률을 정해둔만큼 강력한 경기 부양책을 내놓을 가능성도 있다""고 예상했다.반면 사태가 진정되지 않은만큼 아직까지 신중론을 펼치는 목소리도 나온다. 하인환 메리츠증권 연구원은 ""미국의 금리인하는 증시 반등으로 이어질 가능성이 높다""면서도 ""완화적인 통화정책을 계속해서 지속할 수 없고, 미국이 3월 기준금리를 내리면 그 다음 증시 하락에는 대응할 여력이 줄어들 것""이라고 지적했다.kacaw@heraldcorp.com - Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -",/news/news_read.nhn?article_id=0001643189&office_id=016&mode=search&query=NAVER&page=1
"3일 코스피, 2%대 급등세미증시는 5%대 폭등","[헤럴드경제=강승연 기자] 신종 코로나바이러스 감염증(코로나19)에 대응한 각국의 경기 부양책 기대감으로 미국 증시가 폭등한데 이어 3일 코스피도 2% 넘는 급등세를 보이고 있다.이날 유가증권시장에서 코스피지수는 오전 9시 54분 현재 전거래일보다 44.98포인트(2.25%) 오른 2047.49를 가리키고 있다. 이날 지수는 49.34포인트(2.46%) 오른 2051.85에 출발해 강세를 지속하고 있다.전일 글로벌 시장의 상승 흐름이 국내 증시로 이어진 모습이다. 지난 2일(현지시간) 뉴욕 증시에서는 다우존스30 산업평균지수(5.09%), 스탠더드앤푸어스(S&P)500지수(4.60%), 나스닥지수(4.49%)가 일제히 급등했다. 유로스톡스50지수(0.28%), 프랑스 CAC40지수(0.49%), 영국 FTSE100지수(1.13%) 등도 오름세를 보였다.여기에는 코로나19에 대응한 정책 기대감이 작용했다. 제롬 파월 미국 연방준비제도(Fed) 의장, 도널드 트럼프 미국 대통령 등은 기준금리 인하 등 부양책을 잇따라 시사했고, 유럽중앙은행(ECB)과 일본은행(BOJ)도 유동성 공급 등 코로나19에 적극 대응하겠다는 방침을 내놨다.코스피시장에선 외국인과 기관이 각각 1471억원, 1288억원 순매도했지만 개인이 2691억원 순매수했다. 삼성전자(2.55%), SK하이닉스(2.28%), 삼성바이오로직스(6.21%), NAVER(2.29%), LG화학(5.57%), 현대차(1.76%), 셀트리온(0.86%), 삼성SDI(4.27%), 삼성물산(1.88%) 등 시가총액 상위주들이 일제히 상승세를 보였다.같은 시각 코스닥지수는 전장 대비 12.42포인트(1.98%) 오른 640.08을 가리키고 있다. 코스닥지수는 13.99포인트(2.23%) 오른 641.65로 거래를 시작했다.한편 이날 서울 외환시장에서 원/달러 환율은 전날보다 2.2원 내린 달러당 1191.5원으로 출발했다.spa@heraldcorp.com - Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -",/news/news_read.nhn?article_id=0001643204&office_id=016&mode=search&query=NAVER&page=1
