head,text,url
삼성·신한BNPP 기존 상품 리모델링e커머스·게임산업·미디어 ETF도 ‘눈길’코로나19 이후 주도 기업 비중 살펴야,"[이데일리 김윤지 기자] 국내 증시가 신종 코로나 바이러스 감염증(코로나19) 팬데믹 이전 수준까지 회복된 가운데 자산운용업계도 발빠르게 ‘포스트 코로나’ 채비에 나섰다. 방향성이 일부 부합하는 기존 펀드를 리모델링하는가 하면, 비대면 관련 종목을 담은 상장지수펀드(ETF)에 관심이 쏠리고 있다. 전문가들은 IT펀드나 헬스케어펀드 처럼 코로나19 이후의 시대를 주도할 기업들의 비중이 높은 펀드에 관심을 가질 필요가 있다고 조언했다. 22일 삼성자산운용에 따르면 ‘삼성언택트코리아’ 펀드를 지난 20일 새롭게 내놨다. 2010년 출시된 ‘삼성대한민국신수종산업’를 리모델링한 상품으로, 당시 삼성이 발표한 LED, 자동차전지, 태양전지, 의료기기, 바이오 등 5대 신수종 사업을 중심으로 투자했다. 4월 운용보고서 기준으로 삼성전자(005930), SK하이닉스(000660) 한국전력(015760) 현대차(005380) 등을 주로 담았다. 이번에는 언택트(비대면) 관련 기업에 주로 투자해 언택트 관련 기업의 미래 성과에 따른 수익 추구를 목적으로 탈바꿈했다. 비대면 라이프 스타일의 수혜인 업종인 온라인쇼핑, 콘텐츠, 핀테크, 간편식, 택배 관련주나 기반이 되는 5G통신망, 클라우드, 자동화, 무인화 관련주를 담겠다는 계획이다. 신한BNP파리바자산운용도 이달 ‘신한BNPP좋은아침코리아펀드’를 ‘신한BNPP코리아신경제펀드’로 리모델링했다. IT, 인터넷 콘텐츠, 제약·바이오 및 전기차, 대체에너지 및 배당주 등 사회 구조 변화에 수혜주에 집중할 예정이다. 신한BNPP 측은 “코로나19 이후의 삶의 변화에 초점을 맞춰 디지털 경제로의 파괴적 혁신에서 투자기회를 발굴할 계획”이라고 설명했다. 마켓포인트에 따르면 NH아문디자산운용의 ‘HANARO e커머스’ ETF는 이달 들어 11.35% 상승했다. 지난달에는 한달새 16.58%가 치솟았다. 온라인쇼핑, 유통, 인터넷 서비스 업종에 투자하는 ETF로 카카오(035720)(26.10%), NAVER(035420)(22.61%)를 주로 담고 있다. 둘 다 최근 비대면 수혜주로 부각되면서 52주 최고가를 연일 경신하고 있다. 김현빈 NH아문디자산운용 ETF전략팀 팀장은 “코로나19로 인해 온라인 쇼핑의 규모 및 비중이 늘고 있고 단기적 온라인 매출 상승 뿐 아니라 장기적으로 소비 패러다임이 바뀌고 있어 장기적으로 투자를 추천한다”고 말했다. 삼성자산운용의 ‘KODEX 게임산업’도 이달 12.80%, ‘KODEX 미디어&엔터테인먼트’도 15.39% 상승했다. 각각 엔씨소프트(036570), NAVER 등 호조세를 보이는 종목들을 담고 있다. 오광영 신영증권 연구원은 “기술적 반등이 마무리 돼가는 현 시점에선 리스크 관리를 하면서 투자 전략을 다시 수립할 시기”라면서 “불안 요소도 상존하고 있기 때문에 사회적, 구조적 변화를 고려해 코로나19 이후 시대를 끌고 갈 기업들을 포함한 포트폴리오의 펀드들을 추천한다”고 말했다.김윤지 (jay3@edaily.co.kr)＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞",/news/news_read.nhn?article_id=0004646246&office_id=018&mode=search&query=NAVER&page=2
,"정의기억연대(정의연)가 해외 기부금을 모집할 때 한국정신대문제대책협의회(정대협)가 사용한 메일을 페이팔(이메일 송금 서비스) 입금처로 사용한 것으로 22일 나타났다. 두 단체는 지난 2018년 조직을 통합한다고 밝혔지만, 감독관청·소재지 등도 다른 별도 법인이다. 만약 정대협 메일과 연동한 은행 계좌가 정의연이 등록한 계좌가 아니라면 현행 기부금품법 위반 소지가 있다.


 그동안 정의연은 해외 기부를 받을 때 페이팔을 활용했다. 페이팔은 상대방 이메일을 은행 계좌처럼 입력해 송금할 수 있는 글로벌 핀테크 서비스다. 이메일 주소에 본인의 은행 계좌를 연동해 놓으면, 해외에서도 메일을 보내듯 실시간으로 송금할 수 있다.


 정의연은 페이팔 기부를 위한 대표 메일로 'war_women@naver.com'란 주소를 사용했다. 그러나 이 주소는 정대협이 사용한 대표 메일 주소다. 만약 이 메일주소가 정대협의 은행 계좌와 연동돼 있다면, 해외 기부자가 정의연에 부친 기부금이 정대협 계좌로 들어가는 게 된다. 정의연은 국세청에 대표 메일 주소로 'justicefund@daum.net'를 등록해 놨다. 2018년 통합을 선언한 이후 정대협 이메일 주소를 정의연이 함께 사용할 수는 있다. 그러나 두 단체가 쓰고 있는 메일 주소가 어떤 단체의 기부 계좌로 연동돼 있는 지는 확실치 않다.





 기부금은 지정기부금단체가 행정안전부에 등록한 계좌로만 받을 수 있다. 미등록 계좌로 기부금을 받게 되면 횡령 등의 문제가 발생할 수 있어서다. 만약 정의연이 해외로부터 기부받은 돈이 정대협 계좌로 들어갔다면 기부금품법을 위반한 것이 된다. 이 같은 행위는 3년 이하 징역이나 3000만원 이하 벌금형에 처해질 수 있다. 행정안전부 관계자는 ""개별 단체가 등록하지 않은 계좌로 기부금을 받으면 기부금품법 위반에 해당할 수 있다""고 설명했다.


 두 지정기부금 단체가 법인 구분 없이 기부금을 한 데 받게 되면 회계 부정으로 연결된다. 두 단체가 별도 계좌로 기부금을 모집했을 때는 운영성과표(손익계산서)에 기록하는 '기부금 수익'에 따로따로 받은 기부금 액수를 그대로 기록하면 된다. 그러나 계좌가 구분돼 있지 않으면 어느 법인에 귀속하는 기부금 수익인지 알 수 없게 된다. 특히 불명확한 기부금 계좌 운영은 일종의 '차명계좌' 이용으로 개인의 기부금 횡령 의혹이 증폭될 수 있다.


 정의연과 정대협은 별도 법인이지만, '한 몸'처럼 운영되는 사례가 자주 나타나는 이유는 정의연이 2018년 7월 정대협과 조직 통합 계획을 밝히면서다. 두 단체는 지난해 내부 자금을 서로 주고받기도 했다. 두 단체 모금액 활용실적 명세서에 따르면 정대협은 2019년 7월 국제협력 목적으로 정의연에 3200만원을 지급했다. 같은 해 11월 정의연은 박물관사업과 그 외 목적으로 정대협 소유 전쟁과여성인권 박물관과 그 외 지급처에 6130여만원을 썼다. 당시 두 단체 대표는 모두 윤미향 더불어민주당 당선인이다.


 이한상 고려대 경영학과 교수는 ""정대협 활동이 위안부 피해자 지원에 중점을 뒀다면, 정의연은 세계 여성 인권 사업으로 활동 범위를 넓혔다""며 ""두 단체가 다른 목적사업으로 기부를 받은 만큼 서로 내부 자금을 주고받는 것은 적절치 않다""고 지적했다. 관련 내용에 대한 해명을 듣기 위해 정의연에 전화·문자로 연락했으나 답변을 하지 않았다.


김도년 기자 kim.donyun@joongang.co.kr

▶ ▶
/ ⓒ중앙일보(https://joongang.co.kr), 무단 전재 및 재배포 금지",/news/news_read.nhn?article_id=0003002756&office_id=025&mode=search&query=NAVER&page=1
,"[스포츠서울] 청년 농부 L(33)씨는 다니던 회사를 퇴사하고, 2년 전 귀농해 땅을 임차해서 토마토 농사를 짓고 있다. 어느 정도 토마토 농사에 자신감이 생기면서부터 본격적으로 토마토 농장을 만들기 위해 땅을 매입하려고 한다. 그러던 중, 경매로 나온 땅(대구지방법원 김천지원 사건번호 2019-554)을 발견했다. 경북 김천시에 소재한 전(田) 3,052㎡(923평) 정도 되는 땅이었다.1차 감정가는 1억2193만원에서 51%인 6218만원이 떨어져 최저입찰가격은 5974만원인 상태였다. 등기부에는 1순위 근저당권, 2순위 지상권, 3순위 경매개시결정 순이었다. 등기부에 공시되는 모든 권리는 경매로 소멸되는 권리였다. 하지만 땅에는 오래된 미등기 건물이 있었다. 매각물건명세서에는 “매각제외 제시외 건물을 위하여 법정지상권 성립여지 있음”이라는 내용이 있었다. 정말로 땅에 미등기 건물이 존재하면 무조건 법정지상권이 성립하는 것인지 궁금해졌다. 지방에는 의외로 미등기 건물이 많은 편이다. 이러한 미등기 건물이 토지와 함께 상속되는 경우가 있다. 그 이후에 토지에만 근저당권이 설정되었고, 여기에 기하여 경매를 당하게 되면 미등기 건물에 대하여 법정지상권의 문제가 생긴다. 법정지상권은 근저당 설정 당시에 동일인 소유에 속하는 토지와 건물이 경매로 인하여 각기 다른 소유에 속하게된 경우에 건물의 소유를 위하여 인정되는 권리다(민법 제366조 참조).토지 위에 미등기 건물이 존재하면 법정지상권을 따져봐야 한다. 원칙적으로 미등기 건물은 원시취득만 인정된다. 미등기 건물을 그 토지와 함께 매수한 사람은 그 토지에 관하여만 소유권이전등기를 넘겨받고 건물에 대하여는 그 등기를 이전받지 못하고 있다가, 토지에 대하여 근저당권이 설정되고 그 근저당권의 실행으로 토지가 경매되어 다른 사람의 소유로 되는 경우가 있다. 이런 경우에는 그 근저당권의 설정 당시에 이미 대지와 건물이 각각 다른 사람의 소유에 속하고 있었으므로 법정지상권이 성립될 여지가 없다(대법원 2002다9660 참조).본건의 경우 근저당권 설정 당시 토지 위에는 오래된 미등기 건물이 존재하고 있었다. 토지와 미등기 건물의 소유권은 경매로 매수한 A씨는 B에게 매도했고, B씨는 다시 C씨에게 매도한 상태였다. 경매로 매수한 미등기 건물은 원시취득이 인정된다. 하지만 근저당권 설정 당시에는 소유권이 B씨에게 이전되어 있었다. 그러면 근저당권 설정 당시에 토지의 소유자는 B씨가 된다. 그러나 미등기 건물은 원시취득자인 A씨의 소유가 되는 것이다. 따라서 근저당권 설정 당시에 이미 토지소유자와 미등기 건물의 소유자가 다르기 때문에 법정지상권은 성립할 수 없는 것이다. 한편 상속, 공용징수, 판결, 경매 기타 법률의 규정에 의한 부동산에 관한 물권의 취득은 등기를 요하지 아니한다. 다만 등기를 하지 아니하면 이를 처분하지 못한다(민법 제187조 참조). 즉, 미등기 건물을 상속받은 경우에는 소유권을 취득하게 된다. 그러므로 토지와 함께미등기 건물을 상속받은 이후에 토지에 근저당권이 설정되고, 그 토지가 경매에 붙여지면 미등기 건물은 법정지상권이 성립되는 것이다. 또한 합의에 따라 토지는 형(A)이 단독으로 상속받았고, 미등기 건물은 형(A)과 동생(B)이 공동으로 상속받았다. 이후 토지에 근저당권이 설정되었고, 급기야 경매를 당해서 토지만 매각되는 경우에는 당연히 법정지상권은 성립된다. 그러나 토지와 미등기 건물을 형(A)과 동생(B)이 공동으로 상속받은 경우, 형 지분의 토지만 경매로 매각되는 경우 법정지상권은 인정되지 않는다. 왜냐하면 이는 토지소유자 1인으로 하여금 자신의 지분을 제외한 다른 공유자의 지분에 대해서도 지상권설정의 처분행위를 허용하는 셈이 되어 부당하기 때문이다(대법원 92다55756 참조).
-카페 ‘Go부자’ (https://cafe.naver.com/gobuja6788),-유튜브 ‘고준석TV’(https://www.youtube.com/channel/UCF_eZbmXq2t-5HS4PqAAUwA?view_as=subscriber)[기사제보 news@sportsseoul.com]
Copyright ⓒ 스포츠서울&",/news/news_read.nhn?article_id=0000661345&office_id=468&mode=search&query=NAVER&page=1
"기관·개인, 동반 매수..외국인 '팔자' 이어가삼성바이오·NAVER·셀트리온·LG화학 등 상승","[이데일리 오희나 기자] 코스피 지수가 상승 출발 후 약세를 보이고 있다. 글로벌 경제재개 기대감에 투자심리가 완화했지만 미국과 중국의 갈등 고조 우려에 혼조세를 보이고 있다.22일 마켓포인트에 따르면 오전 9시9분 현재 코스피 지수는 전 거래일 대비 3.71포인트(-0.19%) 내린 1994.60을 기록 중이다. 이날 코스피는 2001.60으로 상승 출발했다. 전날 2000선 턱밑으로 거래를 마쳤던 코스피는 기관과 개인의 매수세가 유입되면서 2000선을 터치하면서 상승출발했지만 이내 약세로 돌아섰다. 뉴욕증시에서 주요지수는 미국과 중국의 갈등 고조에 투자심리가 위축되면서 하락 마감했다. 중국이 홍콩 의회 대신 ‘홍콩 국가보안법’을 직접 제정할 것이란 방침을 밝힌 점도 긴장을 고조시키고 있다.21일(현지시간) 뉴욕증권거래소에서 다우존스 30 산업평균지수는 전장보다 101.78포인트(0.41%) 하락한 2만4474.12에, 스탠더드앤드푸어스(S&P) 500 지수는 전장보다 23.1포인트(0.78%) 내린 2948.51에, 기술주 중심의 나스닥 지수는 90.90포인트(0.97%) 하락한 9284.88에 장을 마감했다.수급별로는 외국인이 704억원 순매도를 보이고 있다. 기관과 개인은 각각 285억원, 414억원 순매수를 기록 중이다. 프로그램은 차익이 323억원 순매수, 비차익이 299억원 순매도를 보이면서 24억원 매수우위를 보이고 있다. 업종별로는 의약품업종이 2% 가까이 오르고 있고 비금속광물, 보험, 섬유·의복, 종이·목재, 통신, 운수·창고, 음식료품 등이 오르고 있다. 반면 전기전자, 전기가스, 은행, 건설업, 운수장비, 제조업, 철강 및 금속, 증권 등은 내리고 있다. 시가총액 상위 종목 가운데 삼성바이오로직스(207940) NAVER(035420) 셀트리온(068270) LG화학(051910) 삼성SDI(006400) LG생활건강(051900) 카카오(035720) 삼성물산(028260) 현대모비스(012330) SK텔레콤(017670) 등은 오르고 있다. 반면 삼성전자(005930) SK하이닉스(000660) 현대차(005380) 현대모비스(012330) POSCO(005490) 한국전력(015760) 삼성에스디에스(018260) 등은 하락세다.오희나 (hnoh@edaily.co.kr)＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞",/news/news_read.nhn?article_id=0004646410&office_id=018&mode=search&query=NAVER&page=1
외국인 600억원 넘게 순매도…코스닥은 올라,"[아이뉴스24 류은혁 기자] 코스피가 소폭 오름세로 출발했다가 곧바로 하락으로 전환했다. 간밤 미국과 중국의 충돌 가능성이 커진 가운데 외국인이 순매도에 나서면서 지수하락을 이끌고 있다.22일 코스피지수는 전 거래일보다 3.29포인트(0.16%) 오른 2001.6에 거래를 시작했지만 하락으로 돌아서 오전 9시10분 기준 2.86포인트(0.14) 내린 1995.45에 거래되고 있다. 현재 개인과 기관이 각각 354억원, 266억원 순매수 중이며 외국인은 623억원 순매도 중이다.뉴욕 증시는 21일(현지시간) 미국과 중국 간의 갈등을 주시하는 가운데 하락했다. 다우존스 30 산업평균지수는 0.41% 하락했고, 스탠더드앤드푸어스(S&P) 500 지수와 기술주 중심의 나스닥지수는 각각 0.78%, 0.97% 내렸다.이날 코스피에서 시가총액 상위 10종목은 혼조세를 보이고 있다. 삼성전자(-0.80%), SK하이닉스(-0.96%), NAVER(-0.67%), 삼성전자우(-0.46%)가 하락세인 반면 삼성바이오로직스 3.61%, 셀트리온 0.69%, LG화학 1.06%의 상승률을 보이고 있다.코스닥지수는 전 거래일보다 1.76포인트(0.25%) 오른 717.78에 장을 시작해 오전 9시 15분 기준 1.18포인트(0.16%) 상승한 717.20에 거래되고 있다. 개인이 438억원 순매수 중인 반면 외국인과 기관이 각각 181억원, 249억원 순매도하고 있다.시가총액 상위 10종목은 대부분 상승세를 보이고 있다. 펄어비스(-1.29%), CJ ENM(-0.73%), 케이엠더블유(-1.14%)를 제외하고 셀트리온헬스케어 0.11%, 에이치엘비 0.97%, 셀트리온제약 0.93%의 상승률을 보이고 있다. ehryu@inews24.com [ⓒ 아이뉴스24 무단전재 및 재배포 금지]",/news/news_read.nhn?article_id=0000539520&office_id=031&mode=search&query=NAVER&page=1
,"[머니투데이 강민수 기자] 코스피 지수가 장중 2000선을 터치했으나, 외국인의 매도로 약보합세로 전환했다. 전날 뉴욕증시가 미·중 무역분쟁 재점화 우려 등으로 소폭 조정을 받은 데 이어 국내 증시에도 영향을 미친 것으로 풀이된다. 22일 오전 9시 19분 현재 코스피 지수는 전일대비 1.14포인트(0.06%) 내린 1997.17을 나타내고 있다.지수는 상승 출발하며 장중 2000선을 넘었으나, 개장 직후 약보합세를 보이며 등락을 반복하고 있다.이 시각 현재 개인과 기관이 각각 277억원, 362억원을 순매수 중이다. 외국인은 633억원 매도 우위다. 업종별로는 의약품이 1%대 강세고, 비금속광물, 유통업, 통신업 등이 강보합세다. 반면 전기·전자, 건설업, 은행 등은 약보합세를 보인다.시가총액 상위종목들은 대부분 오름세다. 삼성바이오로직스가 3% 상승하며 가장 오름폭이 크고, LG화학도 1% 안팎 오르고 있다. 삼성전자와 SK하이닉스는 1%대 약세, 셀트리온, 삼성SDI, NAVER 등은 약보합권이다. 앞서 삼성바이오로직스는 글락소스미스클라인(GSK)와 약 3000억원에 달하는 바이오 의약품 생산을 위한 위탁생산(CMO) 계약을 체결했다고 밝혔다. 코스닥 지수는 전일대비 2.70포인트(0.38%) 오른 718.72를 나타내고 있다.개인이 홀로 582억원을 사들이고 있고, 외국인과 기관은 각각 282억원, 255억원 순매도 중이다. 코스닥 업종 가운데는 종이·목재가 유일하게 2%대 강세를 보인다. 정보기기, 인터넷 등도 오름세다. 반면 방송서비스, 통신장비, 운송 등은 약보합세다. 코스닥 시총 상위주는 대부분 빨간 불을 켠 가운데 씨젠이 3%대 강세로 가장 상승 폭이 크다. 원익IPS, 휴젤, 에코프로비엠도 1~2% 오름세다. 반면, 케이엠더블유과 CJ ENM은 1~2%대 약세, 펄어비스, SK머티리얼즈 등은 약보합세다. 강민수 기자 fullwater7@mt.co.kr
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>",/news/news_read.nhn?article_id=0004412951&office_id=008&mode=search&query=NAVER&page=1
,"상승세를 이어가던 코스피 기세가 하루 만에 꺾였다.22일 오전 9시 15분 현재 코스피는 전일대비 1.55포인트(0.08%) 하락한 1996.76을 기록 중이다.전일 지수는 코로나19 확산 둔화 및 글로벌 경제 회복 기대감에 장 초반 개인 중심의 매수세에 힘입어 2000선을 돌파하기도 했다. 지수가 장중 2000선 위에서 거래된 것은 지난 3월 6일 이후 약 두달 보름만이다. 그러나 미국과 중국 갈등 재부각 등 글로벌 경제 상황 악화에 약세 전환했다.간밤 뉴욕증시에서 주요 지수는 심화하는 미중 갈등을 주시하는 가운데 하락했다.시장은 미국과 중국의 충돌 가능성, 주간 실업 청구자 수 등 주요 경제지표를 주시했다.
세계 경제의 쌍두마차 미국과 중국의 갈등이 강도를 더하면서 투자자들을 불안하게 만들었다.장 초반에는 상승 반전키도 하는 등 지표에 대해 비교적 안정적으로 반응했으나 미·중 갈등 우려를 자극하는 소식들이 이어지면서 재차 반락해 장을 마감했다. 최근 코로나19 백신 기대 등으로 주가가 큰 폭 오른 데 따른 레벨 부담도 적지 않다.도널드 트럼프 미국 대통령은 ""또라이""와 같은 막말을 동원해 중국을 계속 비난하고 있다. 미 상원이 중국 기업의 미국 증시 상장을 막을 수 있는 법안을 통과시키고, 국무부는 대만에 신형 어뢰 판매를 승인하는 등 충돌 전선도 차츰 확산하고 있다. 중국에서도 보복을 경고하는 등 강한 반발이 터져 나왔다. 또 중국이 홍콩 의회 대신 '홍콩 국가보안법'을 직접 제정할 것이란 방침을 밝힌 점도 긴장을 고조시키고 있다.다만 래리 커들로 백악관 국가경제위원회(NEC) 위원장은 중국과의 1단계 무역합의는 온전하며 재협상하지 않을 것이라고 말했다. 또 중국이 합의를 준수할 충분한 의향을 가지고 있다고도 언급하며 불안을 다소 누그러뜨렸다. 또한 미국 무역대표부(USTR)는 중국이 육류 수입이 가능한 미국의 대상 시설을 확대했다는 발표를 내놨다.서상영 키움증권 연구원은 ""그동안 증시 상승을 이끌던 관련 종목들의 차익 욕구 또한 높아질 것""이라며 ""여기에 중국 전인대 개막식에서 리커창 총리는 업무보고를 통해 올해 경제 성장 목표 등 주요 경제 운용 방향을 제시하는데 이 결과 미국과 중국의 마찰 재부각이나 홍콩 시위 확산 우려도 부담""이라고 진단했다.이에 따라 증시 흐름은 차익실현 매물 출회가 예상되는 가운데 중국 전인대 내용에 따라 변화할 것으로 예상했다.이날 유가증권시장에서는 업종별로 의약품, 음식료품, 운수창고, 섬유·의복, 통신업, 종이·목재 등이 오르고 있고 전기·전자, 은행, 증권, 의료정밀 등은 떨어지고 있다.매매주체별로 개인과 기관이 각각 326억원, 312억원 순매수 중이고 외국인은 629억원 순매도 중이다. 프로그램 매매는 184억원 매수 우위다.시가총액 상위 종목들 가운데 삼성전자, SK하이닉스 만이 소폭 하락하는 가운데 삼성바이오로직스, NAVER, 셀트리온, LG화학, 삼성SDI, LG생활건강, 카카오 등은 오름세다.이날 유가증권시장에서는 636개 종목이 오르고 있고 531개 종목이 내리고 있다.코스닥은 전일 대비 1.42포인트(0.20%) 오른 717.44를 기록 중이다.[디지털뉴스국 김규리 기자] [ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]",/news/news_read.nhn?article_id=0004580061&office_id=009&mode=search&query=NAVER&page=1
,"[이데일리 오희나 기자] 코스피 지수가 외국인과 기관의 동반 매도에 낙폭을 확대하고 있다. 미국과 중국의 갈등 고조 우려에 차익실현 매물이 나오면서 하락세를 보이고 있다.
22일 마켓포인트에 따르면 오전 10시17분 현재 코스피 지수는 전 거래일 대비 14.87포인트(-0.74%) 내린 1983.44를 기록중이다. 이날 코스피는 2001.60으로 상승 출발했다. 장중 2000선을 터치하면서 기대감을 높였지만 외국인과 기관의 매도세가 확대되면서 하락세로 전환, 낙폭을 키우고 있다. 미국과 중국의 갈등 고조에 투자심리가 위축되는 것으로 풀이된다. 수급별로는 외국인과 기관이 각각 1557억원, 413억원 순매도를 보이고 있다. 개인은 2092억원 순매수를 기록중이다. 프로그램은 차익이 140억원 순매수, 비차익이 849억원 순매도를 보이면서 709억원 매수우위를 보이고 있다. 시가총액 상위 종목 가운데
삼성전자(005930) SK하이닉스(000660) 셀트리온(068270) 현대차(005380) 삼성물산(028260) 현대모비스(012330) 엔씨소프트(036570) SK텔레콤(017670) POSCO(005490) 한국전력(015760) 삼성에스디에스(018260) 등은 하락세다. 반면 삼성바이오로직스(207940) NAVER(035420) LG화학(051910) 삼성SDI(006400) LG생활건강(051900) 카카오(035720) 등은 오르고 있다.오희나 (hnoh@edaily.co.kr)＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞",/news/news_read.nhn?article_id=0004646493&office_id=018&mode=search&query=NAVER&page=1
예비개발자 대상 AI모델링 챌린지…다음달 참가접수참가자 100인 선발…입상팀에겐 정규입사 면접기회,"[이데일리 한광범 기자] 예비 개발자들이 네이버 인공지능(AI) 실무 전문가와 함께 AI 모델을 개발하고 실제 네이버 서비스에 적용해볼 수 있는 기회가 열린다. 네이버(035420)는 7월13일부터 약 두 달 동안 네이버 AI 실무 전문가들이 PM(프로덕트매니저)으로 참여해 참가자와 함께 프로젝트를 진행하는 AI모델링 챌린지 ‘AI 러시(RUSH)’를 진행한다.(네이버 제공)이번 챌린지는 AI 전문가를 꿈꾸는 예비 개발자들이 네이버 AI 실무 전문가와 함께 AI 기술 개발 및 서비스 적용 노하우를 경험하는 자리다. 참가자들은 이번 대회를 통해 자신이 개발한 AI 모델을 클로바·블로그·카페·쇼핑·댓글·플레이스 등 네이버 서비스에 실제로 적용하는 기회를 갖게 된다.머신러닝 및 딥러닝 모델링 개발에 관심 있는 누구나 참여 가능하며, 다음 달 8일 오후 7시부터 AI 러시 홈페이지에서 지원 가능하다. 서류심사 합격자에 한해 코딩테스트를 실시해 최종 참가자 100명을 선발한다. 선발 참가자에겐 챌린지 기간 중 각 라운드 별로 소정의 수행비가 지급된다.AI 러시는 1라운드와 2라운드에 걸쳐 진행된다. 1라운드는 ‘이미지 분류’와 ‘댓글 분류’ 중 참가자가 희망하는 과제를 선택해 7월 13~31일 온라인으로 개인별 프로젝트를 수행한다. 1라운드의 두 가지 과제에서 각각 상위 25위를 기록한 50명이 2라운드에 진출한다.2라운드 진출자들은 2인 1조로 팀을 구성해 8월 3~26일 네이버 본사인 그린팩토리에서 프로젝트를 수행한다. 바이브(VIBE)의 음악 추천을 비롯해 △댓글플랫폼의 이상 사용자 탐지 △스마트스토어의 리뷰 이미지 자동 분류 등 AI 기술이 필요한 8개 주제에 대해 실제 데이터를 기반으로 네이버 실무 전문가와 함께 AI 모델을 개발한다. 네이버는 우수작으로 선정된 모델을 대상으로 실제 서비스에 적용하는 것을 검토할 예정이다.모든 참가자들은 과제 수행 시 네이버 클라우드 머신러닝 플랫폼 NSML(Naver Smart Machine Learning)을 활용해야 하며, 실시간 랭킹 보드를 통해 본인이 제출한 모델의 스코어를 확인할 수 있다. 2라운드의 각 주제 별 상위 3팀에게는 각각 1500만원, 700만원, 300만원 등 총 2억 원의 상금이 수여된다. 또 AI 러시 종료 후 1년 내 네이버 개발 직군에 입사 지원 시, 정규 입사 면접 기회가 주어지며 공모전 입상 결과가 전형에 반영된다.네이버 클로바AI 김성훈 리더는 “이번 챌린지는 기존 챌린지와 달리 AI 전문가를 꿈꾸는 예비 개발자들에게 네이버의 AI기술과 서비스 적용 노하우를 공유하며 함께 실제 서비스 문제를 해결하는 좋은 기회가 될 것”이라며 “챌린저들의 창의적 AI 기술이 네이버의 다양한 서비스를 통해 이용자들에게 다양한 가치를 제공할 수 있길 기대한다”고 밝혔다. 네이버는 앞으로도 예비 AI 개발자들과 교류의 장을 확대해 AI 기술 개발 생태계를 강화해 나간다는 방침이다.한광범 (totoro@edaily.co.kr)＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞",/news/news_read.nhn?article_id=0004646568&office_id=018&mode=search&query=NAVER&page=1
,"[이데일리 오희나 기자] 코스피 지수가 외국인과 기관의 동반 매도에 1% 이상 낙폭을 확대하면서 장중 1970선을 하회하고 있다. 삼성전자, SK하이닉스 등 대부분의 시총상위주들이 내리고 있다. 22일 마켓포인트에 따르면 오후 1시30분 현재 코스피 지수는 전 거래일 대비 29.42포인트(-1.47%) 내린 1968.89를 기록중이다. 이날 코스피는 2001.60으로 상승 출발했다. 이후 외국인과 기관의 매도세가 확대되면서 낙폭을 키우고 있다. 미국과 중국의 갈등 고조에 투자심리가 위축되는 것으로 풀이된다. 수급별로는 외국인과 기관이 각각 3880억원, 2153억원 순매도를 보이고 있다. 개인은 6150억원 순매수를 기록중이다. 프로그램은 차익이 342억원 순매도, 비차익이 2285억원 순매도를 보이면서 2627억원 매도우위를 보이고 있다. 시가총액 상위 종목 가운데
삼성전자(005930) SK하이닉스(000660) 셀트리온(068270) LG화학(051910) 삼성SDI(006400) LG생활건강(051900) 현대차(005380) 삼성물산(028260) 현대모비스(012330) 엔씨소프트(036570) SK텔레콤(017670) POSCO(005490) 한국전력(015760) 삼성에스디에스(018260) 등은 하락세를 보이고 있다. 반면 삼성바이오로직스(207940) NAVER(035420) 카카오(035720) 등은 오르고 있다.오희나 (hnoh@edaily.co.kr)＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞",/news/news_read.nhn?article_id=0004646628&office_id=018&mode=search&query=NAVER&page=1
