head,text,url
,"[머니투데이 한정수 기자] [(종합)]코로나19(COVID-19)로 인한 급락장에서 자사주를 매입하는 기업들이 크게 늘어나고 있다. 주가 상승 효과를 노리기 위해서다. 특히 POSCO(포스코)가 최근 1조원 규모의 자사주 매입을 결정하면서 향후 주가에 어떤 영향을 미칠지 관심이 쏠린다. 증권업계 전문가들은 이 같은 포스코의 적극적인 주주환원 정책이 주가의 추가 하락을 방어할 가능성이 높을 것으로 분석했다. 그러나 당분간 실적이 개선될 가능성이 높지 않다는 점에서 큰 폭의 주가 상승을 기대하기는 어렵다는 전망도 나온다. 지난 14일 포스코는 전 거래일보다 2000원(1.1%) 오른 18만3000원에 거래를 마쳤다. 지난 10일 장 종료 이후 자사주 매입 결정 공시를 한 뒤 이틀 연속 소폭 상승세다. 개인 투자자들이 지난 10일 하루에만 100억원에 가까운 순매수세를 보였다. 그러나 장기적으로 보면 주가가 하락세다. 올해 초 23만6000원에서 꾸준히 하락하고 있다. 자사주 매입은 회사가 남는 현금으로 자사가 발행한 주식 중 일부를 매입하는 것이다. 이렇게 하면 시중에 유통되는 주식 수가 감소해 가치가 상승하는 효과가 있다. 주가가 떨어지거나 큰 움직임이 없을 때 회사가 주가를 부양하기 위한 수단으로 활용된다. 특히 향후 하락 가능성이 높다면 회사가 적극 자사주를 매입하기 어렵다는 점에서 자사주 매입이 개인 투자자들의 투자심리에도 긍정적인 영향을 미친다. 포스코의 자사주 매입 역시 마찬가지다. 당분간 주가가 더 떨어지지 않도록 지지하는 효과가 분명히 있을 것이라는 분석이 나온다. 정하늘 한국투자증권 연구원은 ""(포스코의 자사주 매입은) 2007년 2월 이후 13년 만으로 코로나19 등의 영향으로 인한 과도한 주가 하락을 방어하기 위한 선택""이라며 ""이번 자사주 매입이 과거와 다른 점은 신탁계약 기간이 1년에 달한다는 점""이라고 설명했다. 이어 ""이는 향후 1년간 주가를 방어할 안전판으로 사용하겠다는 계획""이라고 덧붙였다. 이종형 키움증권 연구원은 ""이번 대규모 자사주 매입 발표는 포스코 주주가치 제고와 수급 관점에서 주가에 긍정적""이라며 ""코로나19 확산 이후 급락한 주가는 향후 재평가 매력 부각과 함께 상승 압력이 높아질 것""이라고 전망했다. 그러나 코로나19로 실적 악화가 불가피해 향후 주가 전망이 어둡다는 의견도 나온다. 금융정보업체 에프앤가이드에 따르면 포스코의 올해 1분기 영업이익 추정치는 지난해 7월 말 1조315억원에서 지난해 12월 말 9944억원까지 줄었고 다시 올해 1월말 9679억원까지 줄어들었다. 코로나19 사태가 발발하면서 꾸준히 영업이익 전망치가 줄어들어 이달 13일 기준 6498억원까지 감소했다. 또 철강수요 감소가 최소 올해 2분기까지는 이어질 가능성이 높다는 전망이 우세하다. 자동차 공장 가동이 중단되는 등 글로벌 실물경제 전반이 침체해 회복에 시간이 오래 걸릴 수 있다는 것이다. 이에 증권업계 전문가들은 코로나19 사태가 완화된 뒤에야 포스코의 주가가 상승 곡선을 그릴 가능성이 높다고 설명한다. 이와 관련, 변종만 NH투자증권 연구원은 ""기업 및 산업 차원에서 주가 반등의 트리거는 부족해 주가가 당분간 주식시장의 흐름에 연동될 가능성이 높다""며 ""전세계로 확산된 코로나19 사태가 완화한다면 주가는 주식시장 안정화와 함께 회복될 것으로 전망한다""고 강조했다. 한정수 기자 jeongsuhan@mt.co.kr
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>",/news/news_read.nhn?article_id=0004395187&office_id=008&mode=search&query=POSCO&page=2
"자사주 매입 결정후 2거래일간 주가 상승폭 2.81%에 불과""올 2분기 수요 타격으로 실적 부진 가장 심각할 것"" 우려도","POSCO(포스코)가 지난 10일 주가 부양을 위해 1조원 규모의 자사주 매입을 결정했지만 주가는 겨우 '체면치레'에 불과한 상승폭에 머물러 있습니다.POSCO 주가는 자사주 매입을 공시한 이후 2거래일간 상승폭이 2.81%(5000원)에 불과합니다. 포스코는 10일 종가 17만8000원에서 13일에는 3000원 오른 18만1000원, 14일에는 2000원 상승한 18만3000원에 장을 마감했습니다.같은 기간 코스피 지수는 10일 1860.70에서 14일 1857.08로 0.19%(3.36포인트) 하락해 코스피 지수에 비해서는 다소 오른 상태여서 체면을 구기지는 않았습니다.증권가에서는 포스코의 자사주 매입이 당분간 주가 하락을 방어할 수 있으나 실적 개선 가능성이 높지 않다는 점에서 자사주 매입 재료 하나로서는 주가 상승을 견인하는데 한계가 따를 것으로 내다보고 있습니다.14일의 포스코 주가는 연초인 23만6000원에 비해서는 22.46%(5만3000원) 하락해 있는 상태입니다.포스코가 자사주 매입을 위해 투입할 수 있는 현금 동원력에도 어느정도 무리가 될 것이라는 지적도 있습니다.포스코가 금융감독원에 공시한 자료에 따르면 포스코의 지난해 말 연결기준 현금 및 현금성자산은 3조5149억원에 달합니다. 그러나 별도기준 재무상태로는 지난해 말 현금 및 현금성자산이 9781억원에 머물러 있습니다.포스코가 1조원의 자사주 매입을 위해서는 계열회사들의 현금 및 현금성자산을 끌어다써야 하는 상황을 맞을 수도 있는 셈입니다.자사주 매입은 회사가 남는 현금으로 자사가 발행한 주식 중 일부를 매입하는 제도입니다. 회사가 현금을 소진하면 경영상 어려움이 가중될 때 치뤄야할 대가가 더욱 커질 수 있다는 우려의 목소리도 있습니다.포스코의 지난해 매출액은 연결기준으로 64조 3668억원으로 전년보다 0.9% 줄었습니다. 영업이익은 3조 8689억원으로 전년보다 30.2% 감소했습니다. 당기순이익은 1조 9826억원으로 전년보다 4.8% 증가했습니다.포스코의 지난해 당기순이익이 전년보다 조금 늘긴 했지만 안심할 수 있는 상황은 아닙니다. 지난해 4분기에는 당기순이익이 259억원으로 급감하며 가까스로 적자를 모면했습니다.포스코는 지난 2003년부터 2007년까지 매년 발행주식수의 2~3%의 자사주를 매입한 바 있습니다. 지난해 말 현재 자기주식수는 707만1194주로 전체 발행주식 8718만6835주의 8.11%에 달합니다.증권가에서는 포스코가 2007년 2월 이후 13년만에 자사주 매입에 나서 주주가치 제고 의지를 재확인 할 수 있게 됐다고 평가하고 있습니다.POSCO는 3월 17일 최정우 회장이 1억원 상당의 주식 매입을 시작으로 3월 한 달간 임원 62명이 총 23억원의 주식을 매입한 것으로 알려졌습니다.포스코는 자사주 매입과 임원의 적극적인 주식 매수가 주가 방어에 긍정적이겠지만 실적 부진은 불가피할 것으로 보입니다.한국투자증권 정하늘 연구원은 “올해 1분기 글로벌 자동차 생산차질의 영향에 따른 판매량 감소로 연결기준 영업이익 5139억원, 영업이익률 3.4%를 기록할 것”이라고 전망했습니다. 포스코의 지난해 연결기준 영업이익률 6.0%과 비교하면 2.6%포인트 낮은 셈입니다.정 연구원은 이어 “올 2분기에는 공급 차질과 수요 타격이 동시에 나타나면서 코로나19에 따른 실적 부진이 가장 심각할 것”이라고 내다봤습니다.포스코는 1조원 자사주 매입 결정과 임원들의 주식 매수를 통해 주가 방어에 나섰지만 올해 실적 부진이 악재로 부상하면서 포스코 주가 움직임이 투자자들의 관심을 끌고 있습니다. ▶
/ ▶ 김대성(kimds@joseilbo.com)저작권자 ⓒ 조세일보(http://www.joseilbo.com). 무단전재 및 재배포 금지",/news/news_read.nhn?article_id=0002222294&office_id=123&mode=search&query=POSCO&page=1
,"[머니투데이 강민수 기자] 코스피 지수가 기관 매도세에 하락 출발 했다. 간밤 뉴욕 증시가 실물경제 위축과 기업들의 실적 부진 등 영향으로 약세 마감하면서 수출 의존도가 높은 국내 증시에 부담이 된 것으로 풀이된다.16일 오전 9시15분 코스피 지수는 전일대비 11.73포인트(0.63%) 내린 1845.35를 나타내고 있다.이 시각 현재 기관이 홀로 760억원 어치 순매도하고 있다. 개인과 외국인은 각각 333억원, 391억원 매수 우위다. 업종별로는 대부분 파란 불을 켠 가운데 의약품, 비금속광물, 전기·전자, 서비스업 등이 강보합세를 나타내고 있다. 반면 통신업, 보험 등은 2%대 약세다.시가총액 상위종목들은 대부분 내림세다. 삼성전자, 삼성바이오로직스가 강보합세를 보이고 있고, NAVER는 1%대 상승세, LG화학와 삼성SDI는 2%대 강세다. 반면, SK하이닉스, 셀트리온, 현대차, LG생활건강, 삼성물산 등은 약보합세다. POSCO는 3% 약세를 보여 시총 상위주 가운데 가장 낙폭이 크다. 코스닥 지수도 전일대비 1.19포인트(0.19%) 내린 609.10을 나타내고 있다.기관이 홀로 251억원 매도 우위고, 개인과 기관은 각각 209억원, 43억원 순매수세다.코스닥 업종들은 대부분 보합세다. 오락·문화와 통신서비스가 1~2%대 강세고, 소프트웨어, 통신장비, 정보기기 등은 강보합세다. 반면 디지털컨텐츠, 반도체, 화학, 제약 등은 약보합세다.코스닥 시총 상위주들은 혼조세다. 셀트리온헬스케어, 에이치엘비 등은 약보합세, 셀트리온헬스케어, 제넥신, 휴젤 등은 1~2%대 내림세다. 반면, 케이엠더블유, 씨젠, 스튜디오드래곤은 1~2%대 강세다. 에코프로비엠은 2.9% 오르며 시총 상위주 가운데 가장 큰 상승 폭을 보인다. 강민수 기자 fullwater7@mt.co.kr
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>",/news/news_read.nhn?article_id=0004395283&office_id=008&mode=search&query=POSCO&page=1
,"[아시아경제 구은모 기자] 코스피가 장 초반 기관과 외국인 투자자의 순매도에 약보합을 보이고 있다. 간밤 뉴욕 증시가 실물 경제지표 위축과 실적 둔화의 영향으로 하락 마감한 것이 부담으로 작용하고 있다. 코스닥 지수도 전 거래일보다 소폭 내리며 610선 안팎에서 움직임을 보이고 있다.16일 코스피는 전 거래일 대비 17.57포인트(0.95%) 하락한 1839.51로 출발했다. 이날 하락 출발한 코스피는 기관 투자자의 순매도에 소폭 내림세를 보이고 있다. 오전 9시25분 현재 전일 대비 21.16포인트(1.14%) 내린 1835.92를 기록 중이다.간밤 뉴욕증시 주요 지수는 예상보다 나쁜 경제지표와 부진한 은행 실적 등으로 하락했다. 15일(미 동부시각) 뉴욕증권거래소(NYSE)에서 다우존스 30 산업평균지수는 전일보다 445.41포인트(1.86%) 하락한 2만3504.35에 거래를 마쳤다. 스탠더드앤드푸어스(S&P) 500 지수는 전일보다 62.70포인트(2.2%) 내린 2783.36에, 기술주 중심의 나스닥도 122.56포인트(1.44%) 하락한 8393.18에 장을 마감했다.미 증시가 실물 경제지표의 급격한 위축과 실적 둔화의 영향으로 하락했는데, 이는 수출 의존도가 높은 한국 증시에 부정적인 요인이라는 분석이다. 서상영 키움증권 연구원은 “뉴욕 주지사가 점진적인 업무 재개를 언급하는 등 코로나 공포 심리가 완화된 점은 투자 심리에 긍정적인 영향을 줄 수 있지만 이러한 호재성 재료 등은 이미 주식시장에 반영된 것으로 판단돼 미 증시 하락 요인에 더 민감한 반응을 보일 것”으로 전망했다.이어 “특히 국제유가가 20달러를 하회하며 에너지 기업들에 대한 신용 리스크를 확대한 점, 실물 경제 지표의 급격한 위축이 경제 재개가 된다고 해도 개선되기까지는 시간이 걸릴 수 있다는 점, 달러화가 강세를 보이고 있다는 점은 외국인 수급 개선에 부정적이라는 점을 감안하면 한국 증시에는 부담이다”라고 설명했다.현재 거래 주체별 매매 동향을 보면 기관과 외국인 투자자가 각각 1571억원, 175억원 순매도하고 있다. 반면 개인 투자자는 1669억원 순매수하고 있다.업종별로는 비금속광물, 서비스업, 의약품 등이 오르고 있고, 전기가스업, 보험, 통신업 등은 내리고 있다.시가총액 상위종목들 중에선 삼성SDI, LG화학, NAVER 등이 오르고 있다. 반면 POSCO, SK텔레콤, 현대모비스, 삼성물산, SK하이닉스 등은 하락하고 있다.현재 코스피 시장에서는 상한가 종목 없이 246종목이 오르고 있고, 하한가 종목 없이 567종목은 내리고 있다. 종목은 77보합을 기록 중이다.코스닥 지수도 보합권에서 움직이고 있다. 이날 전 거래일 대비 3.60포인트(0.59%) 하락한 606.69로 출발한 코스닥 지수는 장 초반 610선 안팎의 약보합 움직임을 보이고 있다. 오전 9시25분 현재 전일 대비 5.10포인트(0.84%) 내린 605.19를 기록 중이다.현재 수급별 상황을 보면 개인 투자자가 677억원 순매수하고 있는 반면 외국인과 기관 투자자는 각각 323억원, 355억원 순매도하고 있다.업종별로는 오락·문화, 일반전기전자, 통신서비스 등이 오르고 있고, 방송서비스, 의료·정밀기기, 음식료·담배 등은 내리고 있다.시가총액 상위종목들 중에선 에코프로비엠, 스튜디오드래곤, 케이엠더블유 등이 오르고 있다. 반면
휴젤, 제넥신, 셀트리온제약, SK머티리얼즈 등은 하락하고 있다.현재 코스닥시장에서는 상한가를 기록한 1종목을 포함해 488종목이 오르고 있고, 하한가 종목 없이 707종목은 내리고 있다. 113종목은 보합을 기록 중이다.구은모 기자 gooeunmo@asiae.co.kr <ⓒ경제를 보는 눈, 세계를 보는 창 아시아경제 무단전재 배포금지>",/news/news_read.nhn?article_id=0004662446&office_id=277&mode=search&query=POSCO&page=1
,"코스피가 기관의 매도 공세에 하락 출발했다. 장중 1%대 약세를 보이며 1840선 밑으로 떨어졌다.16일 오전 9시25분 현재 코스피는 전일 대비 21.00포인트(1.13%) 오른 1836.08을 기록하고 있다.이날 17.57포인트 하락 출발한 지수는 기관의 매도 공세에 장 초반 1830선에서 약세를 보이고 있다.지난밤 뉴욕증시는 전일에 이어 국제유가가 하락하며 20달러를 밑돌자 셰일 오일 기업들에 대한 신용 리스크가 유입된 가운데 실적 부진과 소매판매, 산업생산이 급격하게 위축되며 하락했다. 특히 에너지와 금융주가 하락을 주도했다.서상영 키움증권 연구원은 ""이날도 국제유가의 하락은 지속되고 있다""며 ""특히 산유국들의 감산 합의가 이어졌으나, 이번 국제유가의 하락이 공급의 문제가 아니라 수요 부진의 문제였던 점을 감안 최근 하락 요인이 해소되지 못할 것이라는 부담으로 작용했다""고 설명했다.서 연구원은 ""미국의 3월 소매판매가 전월 대비 8.7%, 산업생산도 전월 대비 5.4% 급감하며 코로나19로 인한 실물 경제 위축이 현실화 되자 투자심리에 부담이 되고 있다""며 ""연준도 베이지북을 통해 필수 품목을 제외한 서비스업종과 대부분의 제조업이 악화되고, 고용과 임금도 심각하게 위축되고 있어 추가적으로 더 나빠질 수 있다고 발표한 바 있다""고 밝혔다.이날 유가증권시장에서는 업종별로 전기가스업, 보험, 금융업, 기계, 은행, 통신업, 운송장비가 약세를 보이는 반면 비금속광물, 서비스업이 강세를 보이고 있다.매매주체별로 개인과 외국인이 1089억원, 113억원 순매수하는 반면 기관은 1258억원 순매도하고 있다. 프로그램 매매는 1162억원 매도우위를 보이고 있다.시가총액 상위 종목 중에서는 POSCO, 현대모비스, SK텔레콤, 삼성물산, SK하이닉스, 현대차, LG생활건강, 셀트리온이 약세를 보이고 있다. 반면 삼성SDI, LG화학, NAVER, 엔씨소프트가 강세를 보이고 있다.이날 코스피시장에는 194개 종목이 상승하고 있고 654개 종목은 하락하고 있다.코스닥은 전일 대비 3.85포인트(0.63%) 내린 606.44를 기록 중이다.[디지털뉴스국 김현정 기자] [ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]",/news/news_read.nhn?article_id=0004557885&office_id=009&mode=search&query=POSCO&page=1
,"[아시아경제 구은모 기자] 코스피가 약보합을 유지하며 1850선에서 움직이고 있다. 반면 코스닥 지수는 1% 이상 오르며 620선에 도전하고 있다.16일 하락 출발한 코스피는 장중 1% 안팎의 하락율을 보이며 1850선 전후에서 움직이고 있다. 오후 1시 현재 전 거래일 대비 4.90포인트(0.26%) 내린 1852.18을 기록 중이다.매매 주체별로는 기관과 외국인 투자자가 각각 2262억원, 2016억원 순매도하고 있다. 반면 개인 투자자는 4027억원 순매수하고 있다.시가총액 상위 종목 중에서는 삼성SDI, LG화학 등이 5% 넘게 오르며 강세를 보이고 있는 반면 POSCO, 현대모비스, SK하이닉스, 삼성물산 등은 내리고 있다.코스닥 지수는 개인과 외국인 투자자의 매수에 상승세를 보이고 있다. 이날 하락 출발한 코스닥 지수는 오전 10시께 상승 전환한 이후 상승 폭을 1% 안팎까지 끌어올렸다. 오후 1시 현재 전 거래일 대비 6.10포인트(1.00%) 오른 616.39를 기록 중이다.매매 주체별로는 외국인과 개인 투자자가 각각 227억원, 97억원 순매수하고 있는 반면 기관 투자자는 333억원 순매도하고 있다.시가총액 상위 종목 중에서는 스튜디오드래곤, SK머티리얼즈, 에코프로비엠, 케이엠더블유 등이 강세를 보이고 있다.구은모 기자 gooeunmo@asiae.co.kr <ⓒ경제를 보는 눈, 세계를 보는 창 아시아경제 무단전재 배포금지>",/news/news_read.nhn?article_id=0004662702&office_id=277&mode=search&query=POSCO&page=1
,"(서울=뉴스1) 양새롬 기자 = 한화투자증권은 21대 국회의원 총선거를 기점으로 주식시장이 전환점을 맞아, 시장 주도 업종 안에서 변화가 나타날 가능성이 있다고 전망했다. 시장 주도 업종은 시대 상황과 정부정책 그리고 성장테마의 결합으로 탄생하는 만큼 시가총액 30위 안을 보며 힌트를 얻으라는 조언이다. 박승영 한화투자증권 연구원은 16일 보고서에서 ""통상 대통령 임기 중간에 치러지는 선거는 주식시장의 전환점이 돼 왔다""며 이같이 밝혔다.박 연구원은 ""문재인 정부 들어서는 엔씨소프트, 카카오, 넷마블 등 인터넷 기업들이 시가총액 30위 안에 진입한 것이 단연 눈에 띄었다""면서 ""지금부터 또 한번의 변화가 시작될 가능성이 있다. 주도 업종 안에서도 변화가 나타날 수 있어 장기적 관점에서 대비가 필요하다""고 했다. 그러면서 한번도 시총 30위 밖으로 밀려나지 않은 종목들에서 힌트를 얻어야 한다고 언급했다. 지난 1995년부터 2020년까지 시총 30위에서 한번도 밀려나지 않은 종목들은 삼성전자, 한국전력, SK텔레콤, POSCO, 현대차와 기아차, LG 등이다. 또 박 연구원은 ""시총 30위 내에 머무르던 기간이 짧았던 종목들도 살펴봐야 한다. 이들은 공통적으로 글로벌 트렌드에 편승했지만 주도 업종 안에서 주도주는 되지 못한 경우""라며 ""이런 맥락에서 IT, 인터넷으로 대표되는 현재 주도 업종 안에서도 부침이 있을 것""이라고 전했다.flyhighrom@news1.kr© 뉴스1코리아(), 무단 전재 및 재배포 금지",/news/news_read.nhn?article_id=0004592082&office_id=421&mode=search&query=POSCO&page=1
4월부터 직원간 협업문화 촉진을 위한 '협업포인트제' 실시,"[아시아경제 황윤주 기자] 포스코가 조직간 소통과 협력을 통해 강건한 조직을 만들고 실질적 성과를 창출하기 위해 조직 구성원간 벽을 허물고 현장중심의 유기적인 업무협업문화 정착에 나선다.포스코는 4월부터 업무관련 유기적인 소통과 협업문화 촉진을 위해 '협업포인트제'를 도입했다. '협업포인트제'는 타부서 직원 상호간 지식과 정보공유 및 기타 업무를 수행한 후 포인트를 선물할 수 있는 제도다.쇳물에서 최종제품까지 연결된 일관제철 생산공정 설비를 보유하고 있는 포스코는 회사 경쟁력의 핵심이 각 공정·부서간 협업이기에, 이를 촉진하기 위해 올해부터 임직원 평가에 ‘협업KPI’를 도입하고 '협업포인트'를 적극 반영한다는 방침이다.또한 포스코는 올해부터 협업을 통한 문제해결과 업무지식공유를 촉진하기 위해 어플리케이션 기반의 '오픈 연구소'와 동영상 플랫폼을 활용한 '포스튜브(POSTube,POSCO+YouTube)'를 개설했다.오픈 연구소는 현장직원들의 기술적인 애로사항에 기술연구소가 신속히 대응하는 사내 기술상담 어플리케이션 플랫폼이다. 현장직원들이 기술적인 문의사항을 등록하면 사내 기술연구원이 즉시 답변하는 방식으로 운영된다. 또 포스튜브는 베테랑 직원들이 보유한 현장 기술을 짧은 동영상을 통해 전수할 수 있는 지식 공유 동영상 플랫폼으로 직원이 직접 직무 노하우 영상을 올리고 공유할 수 있도록 사용자 제작 콘텐츠(UCC) 방식으로 운영된다. 직원들이 영상을 만들어 공유하면 제작지원금을 지급하고, 나아가 포스코 명장으로 성장할 수 있는 요건 중 하나로 반영해 동기를 부여하도록 했다. 최정우 포스코 회장은 올 초 CEO메시지를 통해 ""조직간의 장벽인 이른바 silo를 허물고 소통과 협력을 통해 실질적인 성과 창출이 중요하다""며 현장중심의 실질적인 협업체계를 강조한 바 있다.황윤주 기자 hyj@asiae.co.kr <ⓒ경제를 보는 눈, 세계를 보는 창 아시아경제 무단전재 배포금지>",/news/news_read.nhn?article_id=0004662749&office_id=277&mode=search&query=POSCO&page=1
기술 애로사항에 신속 대응하는 오픈 연구소도 활용 중,"(서울=뉴스1) 김동규 기자 = 포스코가 4월부터 업무관련 유기적인 소통과 협업문화 촉진을 위해 ‘협업포인트제’를 도입했다고 16일 밝혔다.
협업포인트제는 타부서 직원 상호간 지식과 정보공유 및 기타 업무를 수행한 후 포인트를 선물할 수 있는 제도다.쇳물에서 최종제품까지 연결된 일관제철 생산공정 설비를 보유하고 있는 포스코는 회사 경쟁력의 핵심이 각 공정·부서간 협업이기에, 이를 촉진하기 위해 올해부터 임직원 평가에 ‘협업KPI’를 도입하고 ‘협업포인트’를 적극 반영한다는 방침이다.또 포스코는 올해부터 협업을 통한 문제해결과 업무지식공유를 촉진하기 위해 어플리케이션 기반의 ‘오픈 연구소’와 동영상 플랫폼을 활용한 ‘포스튜브(POSTube,POSCO+YouTube)’를 개설했다.오픈 연구소는 현장직원들의 기술적인 애로사항에 기술연구소가 신속히 대응하는 사내 기술상담 어플리케이션 플랫폼이다. 현장직원들이 기술적인 문의사항을 등록하면 사내 기술연구원이 즉시 답변하는 방식으로 운영된다. 이를 통해 기술연구소는 현재까지 약 500여건의 질의에 대해 920건의 해결방안을 등록했으며, 앞으로도 현장에 실질적으로 필요한 기술개발과 지원을 할 수 있게 됐다.포스튜브는 베테랑 직원들이 보유한 현장 기술을 짧은 동영상을 통해 전수할 수 있는 지식 공유 동영상 플랫폼으로 직원이 직접 직무 노하우 영상을 올리고 공유할 수 있도록 사용자 제작 콘텐츠(UCC·User Created Contents) 방식으로 운영된다. 직원들이 영상을 만들어 공유하면 제작지원금을 지급하고, 나아가 포스코 명장으로 성장할 수 있는 요건 중 하나로 반영해 동기를 부여하도록 했다. 이를 통해
현장 고근속직원들의 직무 노하우가 더욱 체계적으로 전수될 것으로 기대하고 있다.최정우 포스코 회장은 올 초 CEO메시지를 통해 “조직간의 장벽인 이른바 사일로(silo)를 허물고 소통과 협력을 통해 실질적인 성과 창출이 중요하다”고 밝혔다. 최 회장은 지난 1일 창립 52주년을 맞은 기념사에서도 “어려운 때일수록 구성원간 혁신과 협업의 마음가짐으로 3실(실질, 실행, 실리) 3현(현장, 현물, 현상)의 원칙에 입각해 안전하고 강건한 현장을 만들어 더욱 강해진 100년 기업 포스코의 저력을 보여주자”며 현장중심의 실질적인 협업체계를 강조했다.dkim@news1.kr© 뉴스1코리아(), 무단 전재 및 재배포 금지",/news/news_read.nhn?article_id=0004592205&office_id=421&mode=search&query=POSCO&page=1
,"[머니투데이 안정준 기자]
포스코가 조직간 소통과 협력으로 실질적 성과를 창출하기 위해 현장중심의 업무 협업문화 정착에 나섰다.
포스코는 이달부터 '협업포인트제'를 도입했다고 16일 밝혔다. 이 제도는 타부서 직원끼리 지식과 정보공유 및 기타 업무를 수행한 후 포인트를 선물할 수 있다. 이를 위해 포스코는 올해부터 임직원 평가에 '협업 KPI(핵심평가지표)'를 도입하고 협업포인트를 이에 적극 반영할 방침이다.
포스코는 올해 협업을 통한 문제 해결과 업무지식 공유를 목적으로 어플리케이션 기반의 '오픈 연구소'와 동영상 플랫폼을 활용한 '포스튜브(POSTube,POSCO+YouTube)'도 개설했다.오픈 연구소는 현장 직원들의 기술적 애로사항에 기술연구소가 신속히 대응하는 사내 기술상담 어플리케이션 플랫폼이다. 현장 직원들이 기술적인 문의사항을 등록하면 사내 기술연구원이 즉시 답변하는 방식으로 운영된다.이를 통해 기술연구소는 현재까지 500여건의 질의에 대해 920건의 해결방안을 등록했다. 앞으로 현장에 실질적으로 필요한 기술개발과 지원도 더 늘릴 수 있다.포스튜브는 베테랑 직원들이 보유한 현장 기술을 짧은 영상을 통해 전수해주는 지식 공유 동영상 플랫폼이다. 직원이 직접 직무 노하우 영상을 올리고 공유할 수 있도록 사용자 제작 콘텐츠(UCC, User Created Contents) 방식으로 운영된다. 직원들이 영상을 만들어 공유하면 제작지원금을 지급하고, 나아가 포스코 명장으로 성장하는 요건 중 하나로 반영한다.
포스코 관계자는 ""쇳물에서 최종제품까지 서로 연결된 생산공정을 보유한 포스코는 회사 경쟁력의 핵심이 각 공정간, 부서간 협업에 있다""고 밝혔다안정준 기자 7up@mt.co.kr
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>",/news/news_read.nhn?article_id=0004395555&office_id=008&mode=search&query=POSCO&page=1
