head,text,url
,"인터넷가입 커뮤니티인 네이버카페 '통신나라'는 인터넷TV결합상품 가입 시 현금 사은품을 지원한다고 18일 밝혔다. '통신나라' 관계자는 ""인터넷TV결합상품 가입 시 현금 사은품 지원은 SK브로드밴드 최대 46만원. KT올레 42만원. LG유플러스 46만원으로 크게 차이가 나지 않기 때문에 최근에는 요금 할인이 더욱 중요해지고 있다""며 ""현금지원 금액은 백메가 인터넷TV를 신청할 것인가, 500MB 이상의 기가인터넷을 가입하는가에 따라 차이가 있다""고 전했다. 인터넷과 인터넷티비결합상품 가입 신청 시 요금 할인을 받는 방법은 크게 3가지이다. 첫 번째는 휴대폰과 결합하는 유무선결합할인이고, 두번째는 가족 인터넷과 같은 통신사로 결합하는 유선결합할인, 세번째는 제휴카드할인이다. 유무선결합할인의 경우 통신사별로 2~3개의 결합상품이 있기 때문에 반드시 인터넷가입 비교사이트를 통해 전문가와 상담을 받고 가입하는 것이 합리적이다.한편, '통신나라'는 2008년부터 12년 동안 SK·KT·LG 등 인터넷 가입을 전문적으로 하고 있는 인터넷가입 비교사이트 업체다. 김지은기자 sooy09@dt.co.kr 디지털타임스
/",/news/news_read.nhn?article_id=0002589480&office_id=029&mode=search&query=SK&page=14
개인투자자 이달 매수한 삼성전자 주식 3조5000억 원가량,"[더팩트ㅣ박경현 기자] 신종 코로나바이러스 감염증(코로나19) 사태로 글로벌 증시가 얼어붙자 국내 주식시장도 유례없는 폭락장을 맞고 있다. 주가 폭락에 따라 저가매수를 노리는 개인투자자들이 우량주 매수에 나서는 현상에 대해 전문가들은 신중한 투자를 조언했다.코로나19 확산세가 커진 지난 1월 20일부터 이달 18일까지 유가증권시장에서 개인만 15조9000억 원가량 순매수를 기록했다. 코스닥시장에서도 개인이 2조3000억여 원을 순매수해 모두 18조2000억여 원에 달하는 주식을 사들였다.개인투자자들은 삼성전자와 SK하이닉스, 삼성SDI와 같은 우량주 매수에 초점을 맞췄다. 개인이 가장 많이 사들인 종목은 삼성전자로 이달 들어 개인투자자가 사들인 삼성전자 주식은 총 3조5000억 원가량 이고, 이중 개인이 순매도한 날은 4일 하루밖에 없었다.우량주 매수에 나선 개인투자자 대부분은 '대장주는 언젠가는 반드시 오른다'는 판단에서 삼성전자와 같은 우량주를 담고 있는 것으로 분석된다. 삼성전자가 저점을 찍었다는 예상에 매수찬스로 보는 것이다.그러나 전문가들은 요즘 같은 하락세가 언제까지 지속될 지 모른다는 점에서 저점매수 찬스로 보는 시각에 우려를 나타냈다. 글로벌 주요국 정부가 경기 부양책을 쏟아냈음에도 지수 급락이 계속되고 있기 때문이다. 18일에는 미국 내 코로나19 확진자 수 급증 소식에 뉴욕증시 다우지수 선물과 나스닥지수 선물이 장중 하한가를 기록하면서 외국인 매도세가 거세졌고 코스피는 1600선 마저 무너졌다.한 금융투자업계 관계자는 ""세계적으로 코로나19가 확산에 접어들어 글로벌 증시악화가 앞으로도 진행 될 가능성이 있다""고 전망했다. 이어 ""금융시장의 불확실성이 어느 때보다 큰 상황이므로 신중한 투자가 요구된다""고 전했다.현재 외국인 '팔자'에 18일 코스피가 5% 가까이 급락하며 1600선마저 붕괴 됐다. 외인은 10일 만에 8조 원을 순매도 했다.이같은 외국인 매도세가 지속되면 삼성전자 주가가 계속해 하락하게 되고, 지금 매수한 개인들이 원금회복에 대한 리스크를 떠안을 수 있다는 시각도 있다.한 업계 전문가는 ""글로벌 경기 침체가 예상할 수 없는 수준까지 진행되면 삼성전자 주식이 얼마나 걸려 회복 될지 알 수 없다""며 ""장기적으로 바라보고 묻어둔다고 할지라도 묻어놓은 기간 동안 투자의 기회를 상실하는 등 현금이 장기간 묶이는 손해도 있을 수 있다""고 분석했다.여기에 돈을 빌려서 투자하는 개인들의 경우 피해는 더욱 커질 수 있다고 예상했다.이 전문가는 ""신용이나 미수거래의 경우라면 일정 조건에 의해 증권사가 주식을 강제로 매도하는 반대매매로 인한 피해가 커질 수 있고, 빌린 돈에 대한 이자 등에 따라 손해가 불어날 수 있다""고 조언했다.pkh@tf.co.kr저작권자 ⓒ 특종에 강한 더팩트 & tf.co.kr 무단 전재 및 재배포 금지",/news/news_read.nhn?article_id=0000019413&office_id=629&mode=search&query=SK&page=14
,"코로나19가 빠르게 확산되면서 인터넷가입을 원하는 소비자들의 움직임도 달라졌다. 오프라인 대리점과 판매점을 통해 가입하는 소비자들의 수가 크게 줄어든 반면, 온라인을 통해 인터넷에 가입하는 사람은 점차 늘고 있다.‘인터넷가입’, ‘인터넷설치’ 등의 키워드를 포털사이트에서 검색하면, ‘인터넷가입사은품’, ‘인터넷가입현금지원’ 등의 키워드가 자동완성으로 나타날 만큼 상당수의 소비자들이 사은품에 큰 관심을 보이고 있다.다만, 지난해 정부가 무분별한 통신사의 영업으로 인한 소비자들의 피해를 방지하고자 지난 2019년 6월부터 ‘경품고시제’를 시행하고 있어 사은품 금액에 제한이 생긴 상황이다.경품고시제는 통신사업자가 정한 가이드 기준 이상의 사은품을 영업점에서 고객에게 제공하면 100만원부터 최대 영업정지까지 패널티를 부과하는 것이다. 따라서 영업점은 해당 가이드를 반드시 준수해야만 한다.통신사별 경품고시 가이드 최대 수준은 상품 및 요금제에 따라 차이가 있지만, 현재 고객에게 지원 가능한 금액은 SK브로드밴드와 LG유플러스가 46만원, KT올레가 43만원, LG헬로비전이 45만원까지다.가장 중요한 점은 경품고시제 기준에 걸려 영업정지 처분이 내려진 업체들에게 사은품 지급을 받지 못하는 소비자들의 사례가 빈번하게 발생된다는 점이다. 이는 몇 만원을 더 받고자 과장 광고를 낸 업체에게 인터넷가입을 신청했다가 해당 업체가 영업정지 처분을 받아 사은품 지급에 차질이 생긴 탓이다.이 같은 피해를 방지하기 위해서는 검증돼 믿을 수 있는 업체와 법의 테두리 안에서 안전하게 영업활동을 하는 영업점을 선택해야 한다.인터넷비교사이트 중 일평균 3,500명 이상의 방문자를 기록 중인 ‘펭귄통신’은 경품고시 가이드 내 최대 사은품을 지급하고 있으며, 설치 당일 현금사은품을 지원한다.현재 펭귄통신에는 약 800건 이상의 고객 설치 후기가 올라와 있다. 후기를 통해 ‘설치 당일 저녁에 현금이 입금됐다’는 내용이 확인돼 높은 신뢰도를 자랑한다.뿐만 아니라 설치 후기 이벤트, 친구 추천 이벤트 등을 진행해 추가 혜택을 제공 중으로, 인터넷가입을 찾는 소비자들의 방문이 꾸준할 것으로 전망된다.한경닷컴 뉴스룸 open@hankyung.com▶ ▶
 ▶
ⓒ 한국경제 & , 무단전재 및 재배포 금지",/news/news_read.nhn?article_id=0004308942&office_id=015&mode=search&query=SK&page=14
외국인 24일간 12.4조 ‘셀 코리아’반도체·차 수출주 위주로 순매도금융위기 때보다 더 많이 투매한국 완전탈출 아닌 현금 확보용,"코스피지수가 10년 전 수준으로 내려갔다. 18일 코스피는 전일보다 81.24포인트(4.86%) 내린 1591.20으로 거래를 마쳤다. 종가 기준 1600선이 무너진 것은 2010년 5월 26일(1582.12) 이후 10년 만이다.


이날 장이 열릴 때만 해도 13.68포인트(0.82%) 오른 1686.12로 출발해 1600선에서 오르락내리락했다. 전날 미국에서 연방준비제도(Fed)가 기업어음매입기구(CPFF)를 설치하겠다고 밝히고 도널드 트럼프 대통령이 경기부양책을 추진하겠다고 해 뉴욕증시가 반등한 것이 영향을 미쳤다. 그러나 이날 오후 미국 주식시장 선물이 하락하면서 코스피의 낙폭도 덩달아 커졌다.


외국인의 ‘팔자’ 행렬은 10일째 이어지고 있다. 달러당 원화가치는 전일보다 2.2원 내린(환율은 오름) 1245.7원에 거래를 마쳤다. 2010년 6월 11일(1246.1원) 이후 약 10년 만에 최저다.


“이제껏 본 적 없는 역대급 매도세입니다.”





이날 A자산운용사 주식 담당자는 혼란에 빠졌다. 미국과 유럽 등의 ‘바주카포’ 같은 경기 부양책에도 국내 주식시장에서 외국인의 ‘팔자’ 행렬이 이어지고 있어서다. 그는 “외국인이 주식을 계속 파는 걸 보면 주가 하단까지 아직 멀었단 생각이 든다”고 말했다.





2200선을 넘나들던 코스피를 한 달도 안 돼 600포인트 넘게 끌어내린 건 외국인 투자자다. 외국인은 지난달 24일부터 이날까지 하루를 제외하고 연일 주식을 팔아치웠다. 하루 1조원 넘게 판 적도 세 차례나 됐다. 이 기간 코스피 시장에서 빠져나간 외국인 자금은 12조4354억원에 달한다. 외국인이 역대 최장 기간(33거래일) 순매도했던 글로벌 금융위기 직전(2008년 6월 9일~7월 23일)의 8조9834억원을 뛰어넘는 투매다.



 외국인 탈출의 트리거(방아쇠)는 신종 코로나바이러스 감염증(코로나19)의 확산 공포다. 그 여파로 세계 경기 둔화, 국제 유가 급락, 기업 실적 부진 우려가 커지자 외국인은 안전자산으로 이동하는 과정에서 위험자산인 신흥국 주식을 정리하고 있다. 수출 의존도가 높은 한국 시장은 좋은 매도 대상이다. 조병현 유안타증권 연구원은 “코로나19 확산으로 경기가 둔화하면 공산품 수요가 줄어 전 세계 제조업에 타격을 줄 수 있다”며 “그래서 제조업 경기와 일맥상통하는 한국 반도체 종목을 중심으로 외국인이 매도하는 것”이라고 말했다.


실제 외국인은 반도체·자동차 등 주력 수출주 위주로 내다 팔고 있다. 한국거래소에 따르면 외국인이 코로나19로 주식을 본격적으로 팔기 시작한 지난달 24일 이후 삼성전자(5조6195억원)를 가장 많이 순매도했다. SK하이닉스(1조4118억원)와 삼성전자 우선주(7106억원), 현대차(6860억원), SK이노베이션(3387억원)이 뒤를 이었다.



이경수 메리츠종금증권 리서치센터장은 “한국은 유동성과 개방도가 높고, 증시 거래 시스템이 선진국 수준이라 외국인이 주식을 사고팔기 쉬운 여건인 점도 한몫했다”고 말했다. 글로벌 위기 때마다 한국시장이 외국인 투자자의 ATM(현금자동입출금기)이라는 소리를 듣는 이유다.


외국인은 국내 증시의 주요 수급 주체다. 주가 반등 여부가 외국인 손에 달려 있다고 해도 과언이 아니다. 김준석 자본시장연구원 선임연구위원은 “통상 한국 주가지수와 외국인 순매수는 밀접한 상관관계를 보인다”며 “특히 주가가 하락할 때 상관관계가 더 높다”고 했다. 이 때문에 외국인 매도세가 이어지는 점을 고려하면 주가가 아직 바닥을 치지 않았단 분석도 나온다.



 그나마 다행스러운 건 주식을 판 외국인 자금이 국외로 많이 빠져나간 것 같지는 않다는 점이다. 이를 방증하는 대표적 사례가 외환시장이다. 통상 외국인이 주식을 팔고 한국을 떠나면 원화값은 떨어진다. 주식을 판 외국인이 달러로 환전하려는 수요가 늘어서다. 원화가치가 약세를 보이고 있지만 그래도 비교적 안정적인 편이다. 코스피는 이달 들어 20% 급락했지만, 같은 기간 달러당 원화값은 2.6% 떨어졌다. 백석현 신한은행 연구원은 “외국인이 주식을 판 돈을 국외로 가지고 나가지 않는 것으로 파악된다”며 “현금 확보 차원으로 보인다”고 말했다. 외국인의 돈이 안전자산인 국채로 몰린다는 분석도 있다. 금융투자협회에 따르면 외국인이 이달 들어 17일까지 순매수한 국채는 3조5386억원 규모다.


황의영·문현경 기자 apex@joongang.co.kr
▶ ▶
/ ⓒ중앙일보(https://joongang.co.kr), 무단 전재 및 재배포 금지",/news/news_read.nhn?article_id=0002985293&office_id=025&mode=search&query=SK&page=14
SK이노·LG전자 등 화상면접 확산코로나 영향으로 채용 방식 바꿔,"신종 코로나바이러스 감염증(코로나19) 사태의 장기화로 기업들이 ‘언택트(Untact·비대면) 방식’으로 채용방법을 빠르게 전환하고 있는 것으로 나타났다.


구인·구직 플랫폼인 사람인은 18일 기업 372개사를 대상으로 ‘온라인 채용전형 도입 여부’를 조사한 결과를 발표했다. 그에 따르면 응답 기업 중 31.2%(116개사)가 “현재 온라인 채용 전형을 진행 중이거나 도입할 의향이 있다”고 밝혔다. 특히 이들 기업 10곳 중 6곳(57.8%)은 “코로나19의 확산이 온라인 채용 전형을 도입하는 데 영향을 미쳤다”고 답했다.


실제 기업들은 온라인 채용전형의 도입 이유(복수응답)로 ‘지원자들의 부담을 줄여 주기 위해서(45.7%)’에 이어 ‘코로나19로 오프라인 진행이 부담돼서(36.2%)’를 꼽았다. 이어 ‘지원자들이 온라인 활동에 익숙한 세대라서(31.9%)’ ‘최대한 많은 구직자에게 기회를 주기 위해서(31.9%)’ 등이 뒤를 이었다.


전형 과정 중 언택트 방식이 가장 많이 활용되는 단계는 ‘면접전형(69.8% 복수응답)’으로 나타났다. 다음으로 ‘인·적성검사(41.4%)’ ‘채용설명회(7.8%)’ ‘필기시험(7.8%)’ 등이 뒤를 이었다. 실제 배달앱 배달의 민족을 운영하는 우아한형제들은 사회적 거리두기를 위해 대부분의 면접을 화상으로 진행 중이다. SK이노베이션과 카카오, LG전자 역시 화상면접 방식을 도입하기로 했다. 라인플러스, 이스트코리아 등 정보기술(IT) 기업을 중심으로 채용 전형 전 과정을 언택트 방식으로 진행하는 곳도 증가세다. 삼성·포스코·SK그룹 등 채용설명회를 온라인으로 대체하는 기업도 늘고 있다.


이수기 기자 lee.sooki@joongang.co.kr
▶ ▶
/ ⓒ중앙일보(https://joongang.co.kr), 무단 전재 및 재배포 금지",/news/news_read.nhn?article_id=0002985297&office_id=025&mode=search&query=SK&page=14
"박경환 총괄, 디지털 전략 등 제시","“32년간 SK이노베이션의 정유·석유화학 공장이 모인 울산콤플렉스(CLX)에서 일하면서 1997년 외환위기와 2014년 유가 급락 등을 겪었지만 이런 어려움은 처음이다.” 박경환 SK에너지 울산CLX 총괄(부사장·사진)은 18일 사내 뉴스 채널과의 인터뷰에서 이같이 밝혔다. 신종 코로나바이러스 감염증(코로나19) 확산에 따른 글로벌 경기 침체, 사우디아라비아와 러시아의 유가전쟁 등으로 경영 환경이 어느 때보다 나빠졌다는 점을 토로했다. 박 총괄은 “올해 위기는 글로벌 차원의 이슈이자 복잡하게 연결돼 있다는 점에서 과거와는 확실히 다르다”면서 “울산CLX를 포함해 특정 회사나 공장의 힘만으로는 극복하는 데 한계가 있다”고 했다. 실제 금융정보업체 에프앤가이드에 따르면 증권가에선 글로벌 석유제품 소비량 감소 등의 영향으로 SK이노베이션이 올해 1분기(1∼3월) 최대 5731억 원의 영업손실을 낼 것으로 보고 있다. 하지만 박 총괄은 친환경 저유황유 제품의 양산과 디지털 전환 전략으로 위기를 극복하겠다는 의지를 밝혔다. SK에너지는 울산CLX에 총 1조 원을 투자해 ‘감압잔사유탈황설비(VRDS)’를 최근 완공했다. 이달 말부터 저유황유를 하루 4만 배럴씩 생산할 예정이다. 박 총괄은 “VRDS를 통해 연간 최대 3000억 원의 추가 수익이 날 것”이라고 강조했다. 또 인공지능(AI) 및 빅데이터 분석 기술 등을 적용한 공장 운영관리·유지보수 시스템을 통해 울산CLX의 효율성을 높일 계획이다. 박 총괄은 “올해 힘든 한 해가 될 것으로 예상하지만 현장에서부터 하나로 뭉쳐 이겨낼 것”이라고 말했다.지민구 기자 warum@donga.com ⓒ 동아일보 & donga.com, 무단 전재 및 재배포 금지",/news/news_read.nhn?article_id=0003276148&office_id=020&mode=search&query=SK&page=14
코로나 여파로 주가 연일 폭락… 금호타이어-현대상선 등 제외,"올해 들어 국내에서 시가총액이 1조 원 이상인 상장사가 5분의 1 이상 줄어든 것으로 나타났다. 신종 코로나바이러스 감염증(코로나19)이 팬데믹(대유행)으로 번지고, 글로벌 금융시장이 불확실성에 휩싸이며 주가가 연일 폭락했기 때문이다.
18일 한국거래소에 따르면 전날 기준 시총 1조 원을 넘긴 상장사는 146개로 지난해 말(189개)보다 43개 줄어든 것으로 나타났다. 유가증권시장 및 코스닥시장에서 각각 41개, 2개씩 줄었다. 유가증권시장에서는 금호타이어(9623억 원), 현대상선(9497억 원) 등이, 코스닥시장에서는 에이치엘비생명과학(9294억 원) 등이 1조 클럽에서 제외됐다. 시총 1조 클럽에 남아 있는 상장사들도 시총 규모는 큰 폭으로 줄었다. 코스피의 두 ‘대장주’ 삼성전자와 SK하이닉스의 시총은 17일 기준 282조4000억 원, 58조5000억 원으로 올해 들어 각각 50조7000억 원, 10조 원가량 감소했다. 또 현대차(―8조6000억 원), 기아차(―7조7000억 원) 등 대형주들과 신한지주(―8조4000억 원), KB금융(―7조4000억 원) 등 금융주도 큰 폭으로 감소했다. 코로나19 확산 초기만 해도 대형주들을 중심으로 증시가 하락하면 저가매수가 이어지며 주가를 방어했다. 하지만 글로벌 증시가 동시에 패닉에 빠지면서 주가 하락 폭은 걷잡을 수 없이 커졌다. 실물경제의 충격이 금융시스템으로 전이될 수 있다는 우려마저 커지면서 대형주도 추락을 거듭하고 있는 상황이다. 올해 들어 18일까지 코스피와 코스닥지수는 각각 20.83%, 27.52% 하락했다.김자현 기자 zion37@donga.com ⓒ 동아일보 & donga.com, 무단 전재 및 재배포 금지",/news/news_read.nhn?article_id=0003276152&office_id=020&mode=search&query=SK&page=14
,"우한 코로나 바이러스 사태가 세계 경제까지 위협할 정도로 확산되면서 기업들이 안정적인 자금 조달 창구로 활용하던 회사채 시장마저 급속히 위축되고 있다. 18일 금융투자협회에 따르면, 3월 첫째 주와 둘째 주 각각 1조7558억원, 1조4245억원 규모 회사채가 발행됐다. 2월 마지막 주 회사채 발행액이 4조2442억원이었다는 점을 감안하면 3월 들어 회사채 발행액이 절반 이상 쪼그라든 셈이다.당초 발행하려 했던 목표 금액을 못 채우는 경우도 속출하고 있다. 일반 대기업보다 훨씬 안전하다는 평가를 받는 은행채인 하나은행(신용등급 AA)은 3000억원을 모집하기로 하고 지난 13일 수요예측(투자자 모집)을 했지만 참가 금액은 목표에 못 미치는 2700억원에 불과했다. 포스코그룹 계열사인 포스파워(AA-) 역시 17일 500억원 규모 회사채를 발행하려고 했지만 기관투자자들의 매수 신청은 400억원에 불과했다. 투자 적격 등급인 BBB+ 등급의 회사채 키움캐피탈 수요예측 참여액도 모집액 500억원에 크게 미달되는 170억원이었다.문제는 만기가 임박한 회사채를 보유하고 있는 한계 기업들이다. 우량 기업들도 시장에서 외면받고 있는 상황에서 한계 기업들이 돈을 끌어올 수 있는 선택지는 많지 않기 때문이다. 한계 기업들이 회사채 만기 연장에 실패할 경우 돈을 갚지 못해 부도가 날 수 있다. 한대훈 SK증권 연구원은 ""2008년 금융 위기 원인이 서브프라임 모기지(비우량 주택담보대출) 채권 부실이었다면 이번 위기의 핵심은 회사채""라고 말했다.끝이 보이지 않는 불황으로 위기에 몰린 기업들은 '4월 회사채 대란'이 발생하지 않을까 우려하고 있다. 4월은 원래 1년 중 회사채 발행이 가장 많은 달로, 그만큼 만기 도래하는 회사채 규모도 크다. 자금난을 겪는 기업들엔 '악마의 달'로 불린다. 금융투자협회에 따르면, 올 4월에 만기 도래하는 국내 회사채 규모는 6조5495억원에 달한다.회사채 만기에 몰린 기업들은 마지막 보루인 국책은행에 손을 벌리고 있다. 탈원전 정책 직격탄을 맞아 극심한 경영난을 겪고 있는 두산중공업은 수출입은행에 만기 회사채를 대출로 전환해달라고 요청한 상태다. 두산중공업이 발행한 회사채 1조5000억원 중 1조원가량이 올해 4~5월에 몰려있고, 당장 4월 27일에 갚아야 하는 회사채는 6000억원 수준이다. 지원 여부를 결정하기 위해 두산중공업을 실사 중인 수출입은행은 통상 4월 말에 열리는 여신위원회를 두산중공업 회사채 만기일 이전으로 앞당길 것으로 예상된다.국내 5위 해운사인 흥아해운 역시 회사채 만기 풍랑을 버티지 못하고 지난 12일 산업은행에 워크아웃을 신청했다. 회사채 267억원가량을 발행한 흥아해운은 작년 12월 주력인 컨테이너선을 장금상선에 매각하고 비핵심 자산 매각, 주식 감자 등 조치를 취했지만 더딘 업황 회복에 우한 코로나 사태로 수출입 물량이 더 줄어들면서 결국 백기를 든 것이다.한 국책은행 기업금융 담당자는 ""작년까지만 해도 신용등급 BBB급 회사들도 회사채 발행이 가능했지만 올해 들어선 A등급 이상으로 올라서야 채권 발행이 가능해졌다""며 ""며칠 전부턴 A급 이상 회사채도 시장 외면을 받고 있어 한계 기업들의 국책은행 러시 현상이 본격화될 것이라는 불길한 예감이 든다""고 말했다.회사채 발행 규모와 금리를 결정짓는 신용등급도 국내외, 대·중소기업을 막론하고 줄줄이 하향세다. 작년 12월 글로벌 신용평가사 S&P는 SK이노베이션과 SK종합화학 신용등급을 각각 BBB+에서 BBB0로 낮췄다. LG화학 역시 A-에서 BBB+로 떨어졌다. 무디스는 이마트와 롯데쇼핑의 신용등급을 하향 조정했다. 우한 코로나에 직접적인 영향을 받은 기업들도 잇따라 신용등급이 하락하고 있다. 한국신용평가는 대한항공 신용등급을 BBB+로 유지했지만 전망을 '안정적'에서 '하향 검토'로 조정했다. 한진칼에 대해서도 '안정적'에서 '하향 검토'로 전망을 바꿨다. 항공뿐만 아니라 현대로템, OCI도 신용등급이 조정됐으며, 금리 인하의 직접적인 영향을 받는 보험업권도 한화생명과 한화손해보험을 시작으로 신용등급 하향세가 확산될 전망이다.이혁재 DB금융투자 애널리스트는 ""최근 신용등급이 떨어진 기업들은 매년 회사채 발행 규모가 상당한 기업들""이라며 ""당분간 차환(새로 채권을 발행한 자금으로 기존 채권을 상환하는 것) 목적의 발행이 주를 이루겠지만 글로벌 경기 악화, 국내 경기 둔화로 회사채에 대한 우려가 갈수록 커질 것""이라고 말했다.이 같은 분위기는 글로벌 시장도 마찬가지다. 국제금융협회에 따르면 전 세계적으로 비은행 기업들의 회사채 규모는 금융 위기 당시인 2009년 말 48조달러에서 작년 말 75조달러로 급증했다. 이 중 절반 정도가 투자등급의 맨 아래 단계인 'BBB' 등급인데, 상황이 악화돼 신용등급이 강등되면 이 회사채들은 곧바로 채무 불이행 위험도가 높은 정크본드가 된다. 기관투자자들은 내부 규정에 따라 정크본드를 보유할 수 없는 경우가 많아 투매가 이뤄질 가능성이 크다. 특히 최근 유가가 폭락하면서 부도 위기에 내몰린 미국 셰일가스 회사채들이 'BBB' 신용등급에 몰려있다. 정크본드로 전락할 경우 전 세계적인 금융시장 대혼란이 불가피하다.미국 연방준비제도가 17일(현지 시각) '예외적이고 긴급한 상황'에서 발동할 수 있는 특별 권한을 근거로 단기 회사채인 CP(기업어음)를 사들이기로 한 것도 회사채발 금융 위기를 막기 위한 조치다.[윤진호 기자 jinho@chosun.com] 		[]		[]		[] 	- Copyrights ⓒ 조선일보 & chosun.com, 무단 전재 및 재배포 금지 -",/news/news_read.nhn?article_id=0003515907&office_id=023&mode=search&query=SK&page=14
,"SK하이닉스가 중국 장쑤(江蘇)성 우시(無錫)시로부터 코로나19 대응에 사용할 의료용 마스크와 방호복을 전달받았다고 18일 밝혔다.
우시시 정부는 17일 SK하이닉스 사용용으로 용도를 정해 마스크 45만장과 방호복 5000벌을 제공했다. SK하이닉스는 2004년 우시시와 협력계약을 체결한 뒤 2006년부터 현지 공장에서 메모리를 생산 중이다. 현재까지의 투자금액은 102억달러가 넘고, 현지 직원을 포함한 5000여명이 근무 중이다.
SK하이닉스는 내부 검토를 거쳐 중국 우시 사업장에서 사용할 방호복 2000벌을 제외한 기증품 일체를 한국 본사에 전달해 사업장이 있는 경기 이천, 충북 청주 지역의 취약계층에게 각각 10만장씩을 제공할 예정이다. 나머지는 협력업체와 SK하이닉스에서 사용한다. 이천, 청주지역에서 마스크가 필요한 고령층, 기저질환자 등에게 배포는 각 지방자치단체가 맡을 예정이다.
 나기천 기자 na@segye.comⓒ 세상을 보는 눈,",/news/news_read.nhn?article_id=0003448466&office_id=022&mode=search&query=SK&page=14
,"핀테크 업체 ‘핀크’(Finnq) 권영탁 대표이사가 18일 주주총회를 통해 연임이 결정됐다.

권 대표는 지난해 7월 대표이사로 선임된 이후 통신과 금융이 결합된 차별화된 금융 상품을 지속 출시하고 혁신금융서비스를 성공적으로 안착시키며 고객 혜택을 높였다. 여기에 오픈뱅킹 전면 시행 이후 핀테크 기업 최초로 오픈뱅킹 특화 서비스를 선보였으며, 데이터 3법 통과에 따라 마이데이터 사업 인가를 준비하고 있다.


핀크 권영탁 대표.

먼저 SK텔레콤과 하나카드 등 모바일과 핀테크 사업에 대한 풍부한 경험과 전문성을 바탕으로 핀크와 시중은행, SK텔레콤이 함께 내놓은 5% 고금리 적금 ‘핀크 T hihg5 적금’을 출시하고 단기간에 15만 좌 가입을 성공시켰다. 이 외에도 중신용 고객도 1금융권 소액 대출을 휴대폰으로 빠르고 간편하게 이용할 수 있도록 선보인 ‘핀크 비상금 대출’도 지난해 9월 출시 이후 약 350억 원의 누적 약정 금액을 달성하는 등 고객에게 큰 사랑을 받았다.
 또한, 금융위원회로부터 혁신금융서비스로 선정된 통신데이터를 활용한 대안적 신용평가인 ‘T스코어’ 기반의 맞춤형 대출 추천 서비스로 금융 이력 부족자도 대출 한도와 금리 혜택을 볼 수 있게 하는 등 모든 고객이 고객에서 소외당하지 않도록 ‘포용적 금융 환경’ 조성에 앞장섰다. 핀크 대출 서비스에 대한 고객 성원에 보답하고자 제휴 금융 기관 수를 지속 확대해나가는 것은 물론 신규 혁신금융서비스를 계획하고 있다.
 권영탁 대표는 금융당국의 핀테크 지원 의지와 제도에 발맞춰 변화된 정책에 맞춘 서비스도 누구보다 빠르게 선보이고 있다. 오픈뱅킹 시행 이후 고객이 보유한 다중 계좌에 최대 1천만 원까지 금액을 지정하여 한 번에 이체 가능한 ‘내 계좌 간 이체’ 서비스를 출시한 데 이어 고객의 송금과 결제를 더욱 편리하게 할 ‘스케줄 송금' 및 ‘다계좌 연동 가능한 체크카드(일명 ‘문어발 체크카드’)’ 등을 선보일 예정이다.
 아울러 데이터 3법 통과에 따라 마이데이터 라이선스 인가를 진행 중이며, 고객 금융 데이터에 기반한 개인종합자산관리서비스(PFM)을 제공하고자 이미 앱 리뉴얼을 완료하는 등 마이데이터 사업에 박차를 가하고 있다.
 핀크 권영탁 대표는 “핀크 대표 선임 이후 빠르게 변화하는 금융 산업에서 혁신을 선도하고 고객의 혜택을 높이고자 부지런히 달려왔다”며 “이런 노력의 결실로 핀크의 금융 상품이 고객에게 큰 사랑을 받고 혁신금융서비스와 오픈뱅킹 서비스가 성공적으로 출시됨에 따라 앞으로도 핀크를 통해 금융 서비스에 소외되는 고객이 없도록 포용적 금융 환경 조성을 위한 새로운 서비스와 금융 상품을 지속해서 선보일 계획”이라고 밝혔다.
 한편 핀크는 4월 내로 송금 패러다임을 변화시킬 새로운 이체 서비스를 선보인다. 기존 핀크의 무제한 무료 송금 외에도 추가 혜택을 선사할 파괴적 혁신 서비스를 출시하여 기존 간편송금 시장 재편을 계획하고 있다.
 남정훈 기자 che@segye.comⓒ 세상을 보는 눈,",/news/news_read.nhn?article_id=0003448467&office_id=022&mode=search&query=SK&page=14
