head,text,url
◇보릿고개 겪는 대한민국 기간산업,"'14척'(2019년 1분기) 대 '0척'(올 1분기).지난 1분기 우리나라 조선사는 고(高)부가 가치 선박인 LNG(액화천연가스) 운반선을 한 척도 수주하지 못했다. 지난해 1분기 14척을 수주했던 것과는 크게 대조되는 성적표다. 지난 연말만 해도 우리 기업이 전 세계 고부가 가치 LNG선 수주 경쟁에서 우위를 보여 '조선업에도 곧 봄이 올 것'이라는 기대 섞인 전망이 나오기도 했다. 그런데 다시 '수주 보릿고개'를 맞고 만 것이다. 코로나 사태로 인한 불확실성 증대와 유가 급락으로 1분기 전 세계 선박 발주량은 지난해 같은 기간 대비 71% 감소했다. 우리 기업의 주력 선종인 LNG선 발주는 단 2척에 불과했고, 이마저도 중국 기업이 가져갔다. 이병철 한국조선해양플랜트협회 상근부회장은 ""코로나 사태로 선주들이 발주를 미루고 기존 계약도 취소 움직임을 보이고 있다""며 ""사태가 장기화되면 선박 인수 지연, 자금 회수 차질 등으로 유동성 문제가 불거질 우려가 있다""고 말했다. 이 부회장은 ""정부가 선박 제작 금융의 만기를 연장해주고, 중소 협력사에 대한 은행 여신 공급을 확대하는 등 금융 지원이 절실하다""고 강조했다. 코로나 직격탄을 맞은 우리 주력 제조업체들은 초비상이다. 대한상공회의소가 16일 자동차·철강·석유화학·기계·조선 등 다섯 업종 협회와 공동으로 연 대책회의에서 참석자들은 ""2분기에 '진짜 위기'가 온다""며 ""정부가 구원투수로 나서 선제 대응해야 한다""고 목소리를 높였다. 이들은 ""과거 경제 위기 때마다 우리 경제가 버티고, 빨리 회복할 수 있었던 것은 기간산업이 받쳐준 덕분이었는데 국내 산업계 체력이 크게 저하된 상황에서 코로나까지 덮쳐 주력 제조업인 기간산업이 무너지고 있다""고 강조했다.전문가들은 코로나 사태로 크게 타격받을 업종 중 하나로 자동차를 꼽았다. 발제자로 참석한 김진우 한국투자증권 애널리스트는 ""자동차는 글로벌 공급망이 복잡하게 연계돼 있고 수요에 민감한 업종""이라며, ""2분기에 생산 차질과 매출 타격이 본격화되면서 전 세계 자동차 산업은 7.7% 이상 수요가 하락할 것""이라고 전망했다. 올 상반기 자동차 산업의 국내 생산은 지난해 같은 기간보다 36만대 감소할 것으로 예상했다. 실제로 는 해외 판매가 급감하면서 국내외 공장을 셧다운하고 있다. 자동차 산업의 부진은 부품 협력사는 물론 타이어·철강 등 연관 산업에도 '도미노 피해'를 입히고 있다. 는 미국 테네시 공장과 한국 공장 가동을 중단했고 도 1·2차로 나눠 국내 공장을 일시 가동 중단했다. 이 회사들에 타이어 보강재 등을 공급하는 도 감산하는 등 각 산업계에 연쇄 타격이 이어지고 있다.철강 산업도 고민이 크다. 경기 부진으로 수요는 갈수록 줄고 재고만 늘자 아르셀로미탈·US스틸 등 전 세계 철강회사들이 하나둘씩 용광로를 끄고 있다.
광양제철소도 지난 13일부터 고철 입고를 중단해 감산 이야기가 흘러나오고 있다. 의 당진공장 전기로 열연 생산량은 기존 100만t에서 70만t으로 하향 조정됐다. 증권업계에서는 이 기업들의 1분기 실적은 지난해 같은 기간보다 반 토막 수준, 2분기는 70~80%까지 급감할 것으로 예상했다.화학 업계도 공장 가동을 멈추고 있다. 의 자회사인 SK종합화학은 울산 나프타 분해(NCC) 공정을 12월부터, 합성고무제조공정(EPDM)을 2분기 안에 가동 중단한다고 발표했다. 나프타 분해는 석유화학산업의 가장 기본 공정으로, 이를 통해 폴리에틸렌(PE), 폴리에스터(PE), 폴리프로필렌(PP) 등 기초 소재를 뽑아낸다.국내 최초 나프타 분해 공장이 48년 만에 문을 닫는 것이다.
또한 울산 공장 고순도테레프탈산(PTA) 공정의 가동 중단을 검토하고 있다.전문가들은 '수요 급감→공장 가동 중단→유동성 악화'라는 악순환에서 벗어나기 위해서는 정부의 직간접 지원이 필요하다고 강조했다. 김태년 자동차산업협회 운영위원장은 ""자동차 부품사와 완성차 업계에 약 33조원의 유동성 공급이 필요한 상황""이라며 ""법인세·부가세·개별소비세 납부 유예, 4대 보험 및 세금 납부 기한 연장 등 간접적인 유동성 지원 방안도 마련돼야 한다""고 주장했다. 김평중 한국석유화학협회 연구조사본부장은 나프타 관세 영세율(0%) 적용을 건의했다. 그는 ""나프타는 석유화학 업종의 핵심 원자재인데 작년에 관세 비용만 950억원이 발생했다""며 ""일본·중국과 같은 경쟁국들이 영세율을 지속 적용하고 있는 만큼 우리도 긴급 영세율 적용이 필요하다""고 말했다. 또 특별연장근로 대폭 확대, 유연근무제 조속 개정 등 노동 규제 완화, 탄소배출권 가격 안정화, 기존 화학물질에 대한 등록 유예 기간 연장 등 건의사항도 쏟아졌다.[신은진 기자 momof@chosun.com] [김강한 기자] 		▶
		▶ 		▶
	- Copyrights ⓒ 조선일보 & chosun.com, 무단 전재 및 재배포 금지 -",/news/news_read.nhn?article_id=0003524246&office_id=023&mode=search&query=기아차&page=3
車디지털화 시대 맞춰 평면 디자인으로,"[서울신문]세계적인 자동차그룹들이 최근 엠블럼을 속속 바꾸고 있다. 대체로 입체적인 3차원(3D)에서 단순한 2D 형태로 단순화하는 추세다. 이유가 뭘까.16일 자동차 업계에 따르면 기아자동차는 전기차 업체로의 대전환 선언과 함께 엠블럼(로고) 교체를 준비하고 있다. 공개 시점은 올해 하반기가 될 것으로 알려졌다. 새로운 엠블럼은 지난해 3월 서울모터쇼에서 공개된 전기 콘셉트카 ‘이매진 바이 기아’에 부착된 형태와 비슷하게 평면을 강조하는 방향으로 바뀔 것으로 예상된다.앞서 BMW, 폭스바겐과 닛산 등은 새로운 전기차 출시와 함께 엠블럼을 모두 2D 형태로 간결하게 바꿨다. 현대차의 고급 브랜드 제네시스도 최근 엠블럼을 기존 볼록한 형태에서 납작하게 단순화했다.업계 관계자는 “앞으로 자동차의 디지털화, 전동화 시대에 어울리는 이미지를 갖추기 위한 차원”이라면서 “더 직관적이고 명료하면서 더욱 본질적인 느낌을 전달하고자 2차원 평면으로 디자인하는 것”이라고 설명했다.이영준 기자 the@seoul.co.kr▶
▶
▶ⓒ 서울신문(www.seoul.co.kr), 무단전재 및 재배포금지",/news/news_read.nhn?article_id=0003083152&office_id=081&mode=search&query=기아차&page=3
"1분기 승용차 내수 전년比 6.5% 감소 속 '신차'는 쌩쌩K5, 쏘나타 제치고…XM3, 베스트셀링 진입","(서울=뉴스1) 조재현 기자 = 지난달 세단과 스포츠유틸리티차(SUV)를 합한 국내 승용차 판매가 전년 동월 대비 13% 이상 증가했다.신종 코로나바이러스 감염증(코로나19)이 국내 급속도로 번진 지난 2월 생산 차질과 수요 위축으로 판매가 급감하기도 했으나, 3월 들어 경쟁력을 갖춘 신차들이 소비자들의 선택을 받으며 1분기 실적 악화의 완충재 역할을 해낸 셈이다. 코로나19 팬데믹(세계적 대유행) 국면으로 수출 절벽이 현실화한 상황이어서 신차 출시를 통한 경쟁력 강화가 중요하다는 게 업계 시각이다.17일 한국자동차산업협회(KAMA)에 따르면 올 1분기 국내 승용차 시장에서는 6세대 그랜저 부분변경 및 3세대 K5 완전변경 모델의 질주가 돋보였다. 각각 3만3500대, 2만590대가 판매되며 1~3월 누적 판매 순위 상단에 이름을 올렸다. 전년 동기 대비 그랜저는 18.3%, K5는 115.8%가 증가한 수치다. 같은 기간 5개 완성차의 전체 승용차 내수 판매(27만8503대)가 6.5% 감소한 가운데서 이뤄낸 성과다. 비결은 신차효과다. 그랜저는 지난해 11월, K5는 다음달인 12월 출시됐다. 그랜저의 경우 폭발적인 사전계약으로 일부 인기 트림의 경우 출고 대기가 아직까지 이어지고 있다. 그랜저는 지난달 월간 판매에서도 국내 승용차 중 유일하게 1만대(1만6600대)를 돌파했다. K5는 8193대의 판매량으로 그랜저 뒤를 이었다. 한 지붕 라이벌인 현대차의 쏘나타(7253대)를 제치며, 올해 중형 세단 시장의 왕좌에 도전하고 있다. 1분기 국산차 베스트셀링 3위에 오른 쏘나타도 지난해 9월 1.6 터보 모델을 추가했다. 라인업 강화를 통해 신차효과 연장에 주력하는 모습이다. 한국지엠(GM) 트레일블레이저, 르노삼성자동차 XM3의 판매량도 눈여겨볼 만 하다. 역시나 공통점은 올 1월과 3월 출시된 신차라는 점이다.지난해 월간 내수 판매에서 메르세데스-벤츠에도 밀린 적이 있는 두 업체는 트레일블레이저, XM3를 통해 1분기 실적 개선을 이뤘다. 한국지엠의 1분기 승용차 판매는 19.2%, 르노삼성은 20.5% 증가했다.특히 XM3는 지난달 5581대가 판매되며 월간 베스트셀링 순위표(7위)에 등장했다. 세단과 SUV 장점을 합한 XM3는 출시 한 달 만에 누적 판매 2만대를 돌파하는 등 틈새시장 공략에 성공했다는 평이다.2월부터 본격 고객 인도가 시작된 트레일블레이저도 지난달 3187대가 판매되며 한국지엠 내수 판매를 견인했다. 신차 출시를 통한 완성차 업체의 실적 반등 노력은 현재 진행형이다. 앞서 지난달 말과 이달 초 제네시스 브랜드 G80(완전변경), 아반떼(완전변경)를 연이어 내놓은 현대차는 싼타페 부분변경 모델, 투싼 완전변경 모델도 출시한다. 지난달 중순 6년 만에 쏘렌토의 완전변경 모델을 출시한 기아차도 카니발과 스포티지 완전변경 모델을 내놓는다. 르노삼성 역시 QM3 완전변경 모델을 통해 수요가 급증하는 소형 SUV 시장에 도전장을 던질 예정이다.업계 관계자는 ""코로나19로 인한 수요 위축 속에서도 각 업체의 주력 차종 판매는 견고한 수준을 보여주고 있다""며 ""향후 출시가 계획된 차종도 경쟁력이 입증된 모델이라는 점에서 코로나19로 인한 위기 속에서 내수 판매가 버팀목 역할을 할 것으로 예상된다""고 말했다.cho84@news1.kr© 뉴스1코리아(), 무단 전재 및 재배포 금지",/news/news_read.nhn?article_id=0004593042&office_id=421&mode=search&query=기아차&page=3
"""호재성 요인 선반영에 더 민감하게 움직일 수 있어""","[서울=뉴시스]신항섭 기자 = 4월 들어 안정화가 나타난 국내증시에 새로운 변수가 나타날 전망이다. 코로나19가 반영된 경제지표들이 본격적으로 나오면서 변동성을 키울 수 있기 때문이다. 특히 실적도 시장이 예상했던 것 대비 부진할 경우, 주가의 변동을 높일 것으로 보인다.17일 금융정보업체 에프앤가이드에 따르면 시장 컨센서스가 있는 상장사들의 1분기 순이익 전망치는 12조3517억원으로 전년 동기 대비 50.8% 급감이 예상되고 있다.영업이익도 전년 동기 대비 21.4% 감소한 25조8939억원으로 전망되고 있고, 매출액은 443조6055억원으로 0.3% 감소한다는 시장의 분석이 나왔다.하지만 실제 실적은 다를 수 있다. 해당 전망치는 증권사들이 예상한 실적으로 코로나19의 영향이 정확하게 반영되지 않았을 수 있기 때문이다. 만약 시장 예상치보다 코로나19의 영향이 더 큰 것으로 나타나면 주가의 하락이 나올 수 있다. 실제로 15일(현지시간) 뉴욕증시는 미국 대형 은행들의 실적 실망에 하락이 나타났다. 골드만삭스와 시티은행, 뱅크오브아메리카 등의 순이익이 반토막 난 것이다. 여기에 산업생산 등의 경제지표도 부진했던 것이 미국증시 뿐 아니라 아시아증시 전반에도 영향을 줬다.이에 따라 당분간 증시는 실적과 경제지표에 따라 높은 변동성을 보일 수 있다. 시장의 예상보다 좋으면 급등하고, 시장의 예상치를 하회하면 급락하는 장세 연출이 예상된다. 미국 월스트리트에서 공포지수로 불리는 시카고옵션거래소(CBOE) 변동성지수(VIX)도 하락하다 다시 반등의 조짐을 보이고 있다.이정빈 IBK투자증권 연구원은 ""변동성 지수의 패턴을 봤을 때, 1차 완화 이후 2차 변동성 확대로 이어지는 경향이 있다""며 ""최근 지수의 모멘텀 강도가 약해지는 점은 단기적 변동성 확대에 대응해야 한다는 신호""라고 말했다. 이어 그는 ""과거 서브프라임 당시 변동성 지수가 완화되는데에는 약 5개월이 소요됐다""고 경고했다.국내의 경우, 현재 삼성전자와 LG전자를 제외하면 주요 기업들의 실적 발표는 20일부터 본격화된다. 특히 23~24일에는 SK하이닉스, 현대차, 삼성SDI, LG디스플레이, 기아차, 현대모비스 등 시장에서 높은 비중을 차지하는 기업들의 1분기 실적이 나온다. 이어 그 다음주 초반까지 삼성그룹, 현대그룹, LG그룹 등 주요 기업들의 실적과 IT 대장주 네이버의 실적도 발표될 예정이다.17일 발표되는 통계청의 실업률도 장세에 영향을 끼칠 가능성이 높다. 또 시장에 영향을 끼치고 있는 국제유가로 인해 석유수출국기구(OPEC)의 월간보고서도 시장의 방향을 좌우하는 키가 될 전망이다.서상영 키움증권 연구원은 ""호재성 요인들이 이미 시장에 선반영 돼 경제지표 부진, 실적둔화, 유가 하락 등에 증시가 민감하게 움직일 수 있다""면서 ""여기에 달러화가 강세를 보이고 있다는 점도 외국인 수급에 부담 줄 것""이라고 내다봤다. hangseob@newsis.com<ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지>",/news/news_read.nhn?article_id=0009821225&office_id=003&mode=search&query=기아차&page=2
숙소동 60여개실·옥외주차장 등 지원,"[아시아경제 김지희 기자] 현대자동차가 파주인재개발센터를 신종 코로나바이러스감염증(코로나19) 관련 해외 입국자 대상 임시 생활시설로 제공한다고 17일 밝혔다.현대차 파주개발센터는 해외 입국자 관리 및 방역 대책의 일환으로 검체 채취 후 진단검사 결과 발표 전까지 대기하는 장소로 활용된다. 현대차는 파주시에 파주인재개발센터 숙소동 60여개실을 제공하며, 검사 시설 설치를 위한 옥외주차장도 지원한다.1998년 개원한 파주인재개발센터는 현대차 직원들의 직무 및 어학 교육을 중심으로 운영되고 있다.현대차 관계자는 “코로나19 환자들에 대한 체계적이고 신속한 치료가 이뤄져 빠른 회복과 확산 방지에 기여할 수 있을 것으로 기대한다”고 말했다.한편 현대차그룹은 지난달 대구·경북 지역 경증환자들을 위해 경북 경주시의 인재개발원 경주캠퍼스와 글로벌상생협력센터 등 연수원 두 곳을 생활치료센터로 제공한 바 있다. 이달 13일에는 기아차 오산교육센터를 코로나19 경증환자를 위한 생활치료센터로 제공했다.김지희 기자 ways@asiae.co.kr <ⓒ경제를 보는 눈, 세계를 보는 창 아시아경제 무단전재 배포금지>",/news/news_read.nhn?article_id=0004663066&office_id=277&mode=search&query=기아차&page=2
해외 입국자 검사 대기 장소로 활용 예정,"현대자동차의 파주인재개발센터 전경. (사진=현대자동차 제공)[이데일리 송승현 기자] 현대자동차가 신종 코로나 바이러스 감염증(코로나19) 대응 관련 파주인재개발센터를 해외 입국자 대상 임시 생활시설 용도로 파주시에 제공하기로 했다고 17일 밝혔다. 1998년 개원된 파주인재개발센터는 현대차 직원들의 직무 및 어학 교육을 중심으로 운영되고 있는 곳이다.현대차(005380) 파주개발센터는 해외 입국자 관리 및 방역 대책의 일환으로 검체 채취 후 진단검사 결과 발표 전까지 대기하는 장소로 활용될 예정이다.
현대차는 파주시에 파주인재개발센터 숙소동 총 60여개실을 제공하며, 검사 시설 설치를 위한 옥외주차장도 지원한다. 현대차 관계자는 “코로나19 환자들에 대한 체계적이고 신속한 치료가 이뤄져 빠른 회복과 확산 방지에 기여할 수 있을 것으로 기대하고 있다”고 밝혔다.한편 현대차그룹은 지난 3월 대구·경북 지역의 경증환자들을 위해 경북 경주시에 위치한 인재개발원 경주캠퍼스와 글로벌상생협력센터 등 연수원 2곳을 생활치료센터로 제공했다.아울러 이달 13일에는 기아차 오산교육센터를 경기도에 코로나19 경증환자를 위한 생활치료센터로 제공한 바 있다.송승현 (dindibug@edaily.co.kr)＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞",/news/news_read.nhn?article_id=0004621899&office_id=018&mode=search&query=기아차&page=2
파주인재개발센터 해외 입국자 대상 임시 생활시설 용도로 활용키로,"현대자동차그룹이 신종 코로나바이러스 감염증(코로나19) 대응을 위해 자사 연수원 등을 ‘생활치료센터’로 제공한 데 이어 이번에는 ‘해외 임국자 임시 생활시설’ 용도로 내놨다.현대차는 파주인재개발센터를 해외 입국자(무증상자) 대상 임시 생활시설 용도로 파주시에 제공키로 했다고 17일 밝혔다.현대차 파주개발센터는 해외 입국자 관리 및 방역 대책의 일환으로 검체 채취 후 진단검사 결과 발표 전까지 대기하는 장소로 활용된다.현대차는 파주시에 파주인재개발센터 숙소동 총 60여개실을 제공하며, 검사 시설 설치를 위해 옥외주차장도 지원한다.1998년 개원된 파주인재개발센터는 현대차 직원들의 직무 및 어학 교육을 중심으로 운영되고 있다.현대차 관계자는 “코로나19 환자들에 대한 체계적이고 신속한 치료가 이뤄져 빠른 회복과 확산 방지에 기여할 수 있을 것으로 기대하고 있다”고 밝혔다.한편 현대차그룹은 지난달 대구·경북 지역의 경증환자들을 위해 경북 경주시에 위치한 인재개발원 경주캠퍼스와 글로벌상생협력센터 등 연수원 2곳을 생활치료센터로 제공했으며, 이달 13일에는 기아차 오산교육센터를 경기도에 코로나19 경증환자를 위한 생활치료센터로 제공한 바 있다.데일리안 박영국 기자 (24pyk@dailian.co.kr)ⓒ (주)데일리안 - 무단전재, 변형, 무단배포 금지",/news/news_read.nhn?article_id=0002396725&office_id=119&mode=search&query=기아차&page=2
,"[머니투데이 최석환 기자]
현대자동차그룹이 코로나19 환자들의 신속한 치료와 바이러스 확산 방지를 위해 보유시설을 또 내놨다.현대차는 경기도 파주인재개발센터를 무증상 해외 입국자 임시 생활시설 용도로 파주시에 제공키로 했다고 17일 밝혔다. 이 센터는 해외 입국자 관리와 방역 대책의 일환으로 검체 채취 후 진단검사 결과 발표 전까지 대기하는 장소로 활용된다. 현대차는 파주센터 숙소동 총 60여개실을 제공하며, 검사 시설 설치를 위해 옥외주차장도 지원한다. 1998년 문을 연 파주센터에선 현대차 직원들의 직무·어학 교육이 이뤄지고 있다. 현대차 관계자는 ""코로나19 환자들에 대한 체계적이고 신속한 치료가 이뤄져 빠른 회복과 확산 방지에 기여할 수 있을 것""이라고 말했다.앞서 현대차그룹은 지난 3월 대구·경북 지역의 경증환자들을 위해 경북 경주시에 있는 인재개발원 경주캠퍼스와 글로벌상생협력센터 등 연수원 2곳을 생활치료센터로 개방했다. 이달 13일엔 기아차 오산교육센터를 코로나19 경증환자 생활치료센터로 경기도에 제공했다.최석환 기자 neokism@mt.co.kr
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>",/news/news_read.nhn?article_id=0004395948&office_id=008&mode=search&query=기아차&page=2
,"(서울=뉴스1) 김민석 기자 = 현대자동차가 신종 코로나바이러스 감염증(코라나19) 대응 관련 파주인재개발센터를 해외 입국자(무증상자) 대상 임시 생활시설 용도로 파주시에 제공하기로 했다고 17일 밝혔다.현대차 파주개발센터는 해외 입국자 관리 및 방역 대책의 일환으로 검체 채취 후 진단검사 결과 발표 전까지 대기하는 장소로 활용된다. 현대차는 파주시에 파주인재개발센터 숙소동 총 60여개실과 검사 시설 설치를 위한 옥외주차장을 지원한다. 1998년 개원된 파주인재개발센터는 현대차 직원들의 직무 및 어학 교육을 중심으로 운영돼 왔다.현대차그룹은 지난 3월 대구·경북 지역의 경증환자들을 위해 경북 경주시에 위치한 인재개발원 경주캠퍼스와 글로벌상생협력센터 등 연수원 2곳을 생활치료센터로 제공했으며, 지난 13일엔 기아차 오산교육센터를 경기도에 코로나19 경증환자를 위한 생활치료센터로 제공했다.ideaed@news1.kr© 뉴스1코리아(), 무단 전재 및 재배포 금지",/news/news_read.nhn?article_id=0004593240&office_id=421&mode=search&query=기아차&page=2
"경주 인재개발원, 오산 교육센터 이어 추가 제공","현대자동차가 신종 코로나바이러스 감염증(코로나19) 확산 방지 차원에서 파주인재개발센터를 해외 입국자 대상 임시 생활시설 용도로 파주시에 제공한다고 17일 밝혔다.현대차 파주개발센터는 코로나19 무증상 해외 입국자가 검체를 채취하고 진단검사 결과가 확인되기까지 대기하는 장소로 활용된다.현대차는 파주시에 파주인재개발센터 숙소동 총 60여개실을 제공하며, 검사 시설 설치를 위한 옥외주차장도 지원한다.1998년 개원된 파주인재개발센터는 현대차 직원들의 직무 및 어학 교육을 중심으로 운영되고 있다.현대차 관계자는 “코로나19 환자들에 대한 체계적이고 신속한 치료가 이뤄져 빠른 회복과 확산 방지에 기여할 수 있을 것으로 기대하고 있다”고 말했다.한편 현대차그룹은 지난 3월 대구·경북 지역의 경증환자들을 위해 경북 경주시에 위치한 인재개발원 경주캠퍼스와 글로벌상생협력센터 등 연수원 2곳을 생활치료센터로 제공했으며, 이달 13일에는 기아차 오산교육센터를 경기도에 코로나19 경증환자를 위한 생활치료센터로 제공한 바 있다.오세성 한경닷컴 기자 sesung@hankyung.com기사제보 및 보도자료 open@hankyung.com▶ ▶
 ▶
ⓒ 한국경제 & , 무단전재 및 재배포 금지",/news/news_read.nhn?article_id=0004325805&office_id=015&mode=search&query=기아차&page=2
