head,text,url
,"코로나19 확산에 논란…서초구는 ""막을 권한 없다"" 방관

(서울=연합뉴스) 홍국기 기자 = 신종 코로나바이러스 감염증(코로나19) 집단 감염 우려에도 서울의 한 재건축 조합이 시공사 설명회를 재차 강행하기로 해 논란이 예상된다.

7일 도시정비업계에 따르면 서울 서초구 반포동 신반포15차아파트 재건축 조합은 3일 조합원들에게 재건축 시공사 선정 입찰에 참여한 삼성물산·대림산업·호반건설의 합동 홍보설명회를 오는 12일 엘루체컨벤션 6층 노천 옥상에서 개최한다는 내용의 공문을 보냈다.

 공문은 설명회를 야외에서 개최하는 이유에 대해 코로나19로 정부가 실내 모임을 금지하고, 나아가 사회적 거리 두기를 강력하게 시행하는 것에 부응하기 위함이라고 밝혔다.

그러면서 최근 해외여행을 다녀오거나 건강상 이상이 있는 조합원은 가급적 설명회 참석을 자제하고, 참석 시엔 마스크를 착용해달라고 덧붙였다.

앞서 이 조합은 정부와 지자체 권고를 무시하고 지난달 31일 시공사 합동 설명회를 강행하려다가 언론의 비판 보도와 서울시·서초구의 제지에 이달 5일 이후로 행사 일정을 잠정 연기한 바 있다.

 현재 코로나19 감염 사태가 수그러들지 않아 고강도 사회적 거리 두기가 2주 연장된 상황에서 조합이 또다시 성급한 결정을 내렸다는 비판이 나온다.

지난번에는 설명회를 실내에서 1∼3부로 나눠 소규모로 진행하려 했지만, 이번엔 아예 야외로 장소를 바꿨다.

 서울 강동구 고덕주공2단지(고덕그라시움)와 강남구 개포시영(개포래미안포레스트) 재건축 조합도 지난달 21일 야외에서 조합 총회를 강행해 논란을 빚었다.

이들 조합이 총회·모임을 강행하는 이유는 재건축 추진 일정이 미뤄질수록 사업비 이자 부담 등 조합과 조합원들이 감내해야 하는 손해가 커지기 때문이다.

 그러나 국토교통부는 지난달 코로나19 확산 방지를 위해 불가피하게 정비사업에 대한 민간택지 분양가 상한제 시행 유예기간을 3개월 연장하는 대신, 각 조합에 5월 하순까지 총회 등의 행사를 미루도록 했다.

이에 서울시와 각 지자체는 조합이 총회 등을 강행해 엄중한 사회적 상황에 반하는 물의를 일으키면 관련 규정(감염병 예방·관리에 관한 법률, 도시주거환경정비법)에 따라 고발뿐 아니라 행정 지원을 중단할 수 있다는 공문을 각 조합에 보냈다.

 그러나 관할 구청인 서초구는 ""실질적으로 조합이 주최하는 설명회를 막을 권한이 없다""며 방관하는 자세를 보였다.

 익명을 요구한 신반포15차의 한 조합원은 ""사회적 거리 두기가 연장된 상황에서 많은 사람이 모일 수밖에 없는 합동 설명회로 집단감염이 발생하면 누가 책임을 질 것인지 묻고 싶다""며 ""서울시나 서초구가 이런 상황을 알고도 방관하는 것이라면 나중에 그 책임을 져야 할 것""이라고 지적했다.

 redflag@yna.co.kr",/news/news_read.nhn?article_id=0011527986&office_id=001&mode=search&query=삼성물산&page=2
SW Academy와 인턴 모집도 시작,"(자료=인크루트)[이데일리 김호준 기자] 삼성그룹 2020년 상반기 3급 대졸 신입사원 공채가 시작됐다. 지난달 롯데를 시작으로 포스코, SK에 이어 10대 그룹 가운데 4번째로 공채 모집에 합류했다. 7일 취업포털 인크루트에 따르면 삼성은 지난 6일 삼성 채용 홈페이지를 통해 삼성전자ㆍ삼성전기ㆍ삼성SDSㆍ삼성SDIㆍ삼성디스플레이 등 전자계열사 5곳의 채용 소식을 알렸다. 모집기간은 오는 13일 오후 5시까지다. 직무적합성 평가를 거쳐 5월부터 직무적성검사, 면접, 건강검진 순으로 절차가 진행될 예정이다.삼성은 통상적으로 3일에 걸쳐 계열사별 원서접수를 진행한다. 첫날 전자계열을 필두로 이튿날 금융계열사, 마지막 날 기타 계열사에서 입사지원서를 받기 시작하는 것.지난해 상반기는 3월 11일부터 삼성전자ㆍ삼성전기ㆍ삼성SDSㆍ삼성SDIㆍ삼성디스플레이 등 전자계열사 모집이 시작됐다. 삼성증권ㆍ삼성생명ㆍ삼성자산운용 등 금융 계열사는 12일, 삼성바이오로직스ㆍ삼성바이오에피스ㆍ삼성엔지니어링ㆍ삼성물산ㆍ제일기획ㆍ에스원 등 기타 계열사는 13일부터 입사지원서를 받았다. 지난해와 비교하면 올해 전자 계열사 기준 원서접수 기간은 하루 단축됐다. 모집직무는 계열사별로 상이하다. 매해 공채 때마다 채용규모를 견인한 곳은 삼성전자 DS(디바이스솔루션) 부문 메모리사업부로, 올 상반기 채용규모에도 관심이 쏠린다.대졸 신입사원과 동시에 SW Academy와 인턴 모집도 시작됐다. 삼성전자와 삼성SDS가 Samsung Convergence SW Academy(SCSA)를, 그리고 삼성전자ㆍ삼성전기 ㆍ삼성SDI는 오는 7~8월 인턴 실습이 가능한 하계인턴 모집도 시작했다.올해는 코로나 여파로 현장 채용설명회가 전면 중단되면서, 삼성도 온라인으로 안내를 돕고 있다. 삼성전자는 현재 유튜브 Let’s DS 온라인 채용설명회를 통해 직무, 사업부, 복리후생 & 복지제도 등을 소개하고 있다. 삼성바이오로직스는 11일 개최될 온라인 채용설명회 포스터의 QR코드를 통해 사전참가 신청을 받는다. 서미영 인크루트 대표는 “대표적으로 이공계의 텃밭이라 불리는 기업이지만, 직무평가 강화와 학점 불문을 기회로 삼아 철저히 직무 중심의 맞춤형 구직전략을 세운다면 승산이 있을 것”이라고 조언했다.김호준 (kazzyy@edaily.co.kr)＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞",/news/news_read.nhn?article_id=0004614383&office_id=018&mode=search&query=삼성물산&page=2
,"삼성물산 패션부문이 '19년 봄여름 시즌 밀라노 컬렉션으로 전세계에 알려진 이탈리안 럭셔리 브랜드 플랜씨(PLAN C)의 단독 매장을 최근 오픈했다. 플랜씨는 마르니(Marni)를 이끌었던 카스틸리오니(Castiglioni) 가문의 딸 카롤리나 카스틸리오니(Carolina Castiglioni)가 론칭한 브랜드다. 삼성물산 패션부문의 콘셉트 스토어 10 꼬르소 꼬모(10 Corso Como)가 '19년 처음으로 선보인 플랜씨는 국내 여성들의 인기에 힘입어 40m2 (약 12평) 규모로 현대백화점 본점 3층에 자리를 잡았다. 10 꼬르소 꼬모는 플랜씨의 한국 단독 사업 파트너로서 비즈니스 관계를 돈독히 해나가는 한편 단독 매장을 추가적으로 오픈하는 등 사업을 지속적으로 확대해 나갈 계획이다.브랜드 측 설명에 따르면, 플랜씨는 독특하고 창의적인 컬러감이 특징이며, 우아하면서도 남다른 패션 세계를 추구하는 매니시한 무드를 표현했다. 특히 지오메트릭 및 플라워 패턴 등이 예술적인 감성과 함께 도시적 감성을 환상적으로 조합했다. 다양한 컬러 믹스매치는 물론 디자이너의 딸이 직접 친오빠와 친구를 표현한 그림을 티셔츠와 액세서리 등에 프린트로 표현해 재미와 독특함을 보여줬다. 송애다 10 꼬르소 꼬모 팀장은 ""론칭 이후 전세계 여성들의 이목을 집중시킨 플랜씨를 독점 운영한 이후, 고객들 관심에 힘입어 단독 매장을 오픈하게 됐다"" 라며 ""일상에서 재미있고, 우아하면서도 본인만의 패션 세계를 추구하고자 하는 여성들에게 최고의 브랜드가 될 것"" 이라고 말했다. 전상희 기자 nowater@sportschosun.com- Copyrightsⓒ , 무단 전재 및 재배포 금지",/news/news_read.nhn?article_id=0003551450&office_id=076&mode=search&query=삼성물산&page=2
,"[디지털타임스 이상현 기자] 코로나19 집단감염 우려에도 신반포15차 조합이 시공사 설명회를 강행할 방침이다.7일 정비업계에 따르면 서울 서초구 반포동 신반포15차 아파트 재건축 조합은 조합원들에게 재건축 시공사 선정 입찰에 참여한 삼성물산, 대림산업, 호반건설의 합동 홍보 설명회를 오는 12일 엘루체컨벤션 6층 노천 옥상에서 개최한다는 내용의 공문을 보낸 것으로 나타났다.공문에서 조합은 설명회를 야외에서 개최하는 이유에 대해 코로나19로 정부가 실내 모임을 금지하고, 나아가 사회적 거리 두기를 강력하게 시행하는 것에 부응하기 위함이라고 밝혔다.또 조합은 최근 최근 해외여행을 다녀오거나 건강상 이상이 있는 조합원은 가급적 설명회 참석을 자제하고, 참석 시엔 마스크를 착용해달라고 요청했다.앞서 신반포15차 조합은 정부와 지자체 권고를 뒤로하고 지난달 31일 시공사 합동 설명회를 강행하려다 언론 등의 비판보도와 서울시, 서초구의 제지에 이달 5일 이후로 행사 일정을 잠정 연기한 바 있다.서울 강동구 고덕주공2단지(고덕그라시움)과 강남구 개포시영(개포래미안포레스트) 재건축 조합도 지난달 21일 야외에서 조합 총회를 강행해 논란을 빚은 바 있다.이들 조합이 총회 등을 강행하는 이유로는 재건축 일정이 뒤로 밀릴수록 사업비 이자 부담 등이 커지기 때문이다.그러나 국토교통부는 지난달 코로나19 확산 방지를 위해 정비사업에 대한 민간택지 분양가 상한제 시행 유예기간을 3개월 연장하는 대신 각 조합에 5월 하순까지 총회 등의 행사를 미루도록 권고한 바 있다.또 서울시와 각 지자체는 조합이 총회 등을 강행해 엄중한 사회적 상황에 반하는 물의를 일으키면 관련 규정(감염병 예방·관리에 관한 법률, 도시주거환경정비법)에 따라 고발뿐 아니라 행정 지원을 중단할 수 있다는 공문을 각 조합에 보냈다.하지만 신반포15차의 관할 구청인 서초구는 ""실질적으로 조합이 주최하는 설명회를 막을 권한이 없다""는 입장이다.신반포15차의 한 조합원은 ""사회적 거리 두기가 연장된 상황에서 많은 사람이 모일 수밖에 없는 합동 설명회로 집단감염이 발생하면 누가 책임을 질 것인지 묻고 싶다""며 ""서울시나 서초구가 이런 상황을 알고도 방관하는 것이라면 나중에 그 책임을 져야 할 것""이라고 말했다.이상현기자 ishsy@dt.co.kr 디지털타임스
/",/news/news_read.nhn?article_id=0002592484&office_id=029&mode=search&query=삼성물산&page=2
,"서울의 한 재건축 조합이 시공사 설명회를 강행한다. 신종 코로나바이러스 감염증(코로나19) 우려에도 일정 연기로 인한 손실을 감당할 수 없다는 판단에서다. 7일 도시정비업계에 따르면 서울 서초구 반포동 신반포15차아파트 재건축 조합은 재건축 시공사 선정 입찰에 참여한 삼성물산·대림산업·호반건설의 합동 홍보설명회를 오는 12일 엘루체컨벤션 6층 노천 옥상에서 개최한다고 조합원들에게 전했다. 코로나19로 정부가 실내 모임을 금지함에 따라 설명회를 야외에서 열기로 한 것이다. 조합측은 최근 해외여행을 다녀오거나 건강상 이상이 있는 조합원은 가급적 설명회 참석을 자제해 달라고 당부했다. 참석 시엔 마스크를 착용해달라고 밝혔다. 앞서 이 조합은 지난달 31일 시공사 합동 설명회를 강행하려다가 서울시·서초구의 제지로 행사를 잠정 연기한 바 있다.서울 강동구 고덕주공2단지(고덕그라시움)와 강남구 개포시영(개포래미안포레스트) 재건축 조합도 지난달 21일 야외에서 조합 총회를 개최한 바 있다. 한편 국토교통부는 지난달 코로나19 확산 방지를 위해 불가피하게 정비사업에 대한 민간택지 분양가 상한제 시행 유예기간을 3개월 연장하는 대신, 각 조합에 5월 하순까지 총회 등의 행사를 미루도록 했다.김하나 한경닷컴 기자 hana@hankyung.com기사제보 및 보도자료 newsinfo@hankyung.com▶ ▶
 ▶
ⓒ 한국경제 & , 무단전재 및 재배포 금지",/news/news_read.nhn?article_id=0004319808&office_id=015&mode=search&query=삼성물산&page=2
개인·외국인 ‘사자’…은행·증권 등 전 업종 상승시가총액 상위株 상승세,"[이데일리 고준혁 기자] 7일 코스피가 상승 출발했다. 미국 증시의 반등 흐름을 이어받은 것으로 해석된다. 대장주인 삼성전자의 1분기 실적이 기존 전망치를 상회한 것도 영향을 주고 있는 것으로 풀이된다. 장 초반부터 외국인과 개인이 순매도세에 나서고 있다. 시가총액 상위 종목들은 하락세를 보이고 있다.이날 마켓포인트에 따르면 코스피 지수는 이날 오전 9시 10분 현재 전 거래일보다 43.68포인트(2.44%) 오른 1835.56에 거래되고 있다. 1800선에 도달한 건 지난달 16일 이후로 16거래일만이다. 종가 기준으로는 지난달 12일(1834.33) 이후 18거래일만이다.간밤 뉴욕증시는 미국 내 신종 코로나 바이러스 감염증(코로나19) 확산 추세가 다소 둔화하고 경기부양책에 대한 기대감 등에 상승 마감했다. 앤드루 쿠오모 뉴욕주지사는 “코로나19 확진자수 곡선이 정점에 근접했을 수 있다”고 말했다. 다우존스 30 산업평균지수는 전장 대비 7.73% 올라 지난달 24일 이후 9거래일 만에 최대 상승폭을 보였다. 스탠더드앤드푸어스(S&P) 500 지수는 7.03%, 나스닥지수도 7.33% 각각 상승했다. 삼성전자는 연결기준 1분기 매출 55조원과 영업이익 6조4000억원을 냈다고 발표해 기존 전망치를 상회하는 실적을 발표했다. 수급주체별로 보면 개인이 1216억원 사들이고 있다. 외국인도 203억원 순매수 중이다. 기관은 1412억원 순매도 중이다. 프로그램별로 보면 차익과 비차익을 합쳐 384억원 순매도 중이다. 업종별로는 보면 전 업종이 상승하고 있다. 은행이 3%대 증권이 2%대 크게 오르고 있다. 전기·전자, 건설업, 운송장비, 기계, 운수창고, 유통업, 제조업, 음식료품, 종이·목재, 섬유·의복 순으로 상승 중이다. 시가총액 상위종목들은 대부분 상승세다. 대장주인 삼성전자(005930)가 1.95% 오르고 있다. SK하이닉스(000660)도 3.97%로 크게 상승 중이다. 삼성바이오로직스(207940), 셀트리온(068270), LG화학(051910), 현대차(005380), 삼성물산(028260), 삼성SDI(006400)도 오르고 있다. 네이버(035420)와 LG생활건강(051900)은 하락하고 있다.고준혁 (kotaeng@edaily.co.kr)＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞",/news/news_read.nhn?article_id=0004614496&office_id=018&mode=search&query=삼성물산&page=2
,"[한경비즈니스=최은석 기자] 신종 코로나바이러스 감염증(코로나19) 사태로 외국인 투자가의 ‘팔자’ 행진이 이어지고 있다. 한국거래소에 따르면 외국인은 2월 24일 이후 3월 31일까지 총 27거래일 동안 3월 4일 하루를 빼고 연일 매도세를 보였다.외국인은 올 들어 이날까지 주식 16조7370억원어치를 팔아 치웠다. 코로나19로 글로벌 증시가 출렁이자 신흥국 자산 비율을 낮추기 위한 움직임으로 풀이된다.외국인들이 이날까지 유가증권시장에서 가장 많이 팔아 치운 종목은 삼성전자였다. 외국인의 삼성전자 순매도 금액은 총 6조6116억원에 달한다.외국인들이 삼성전자 주식을 파는 가장 큰 이유는 한국 주식 시장의 비율을 축소하기 위해서다. 외국인이 한국 주식 비율을 낮출 때 상대적으로 손해를 덜 보고 팔 수 있는 종목이 삼성전자라는 점도 매도 이유로 꼽힌다.이어 SK하이닉스(1조2928억원)·삼성전자우(1조1985억원)·현대차(8642억원)·SK이노베이션(7685억원)·신한지주(3406억원)·삼성SDI(3042억원)·네이버(2957억원)·한국전력(2926억원)·기아차(2556억원)가 외국인들의 순매도 상위 종목으로 꼽혔다.하지만 외국인들은 한국 증시에서 이탈하는 와중에도 일부 종목은 비교적 큰 금액을 순매수했다. 셀트리온이 대표적이다. 올 들어 외국인들은 셀트리온 주식을 3819억원어치 순매수했다.외국인이 셀트리온에 주목하는 가장 큰 이유는 실적 개선 기대감 때문인 것으로 분석된다. 금융 정보 업체 에프앤가이드에 따르면 셀트리온의 올해 영업이익 컨센서스(증권사 추정치 평균)는 전년 대비 66% 증가한 6278억원이다.삼성전기(3116억원)·한진칼(2097억원)·삼성바이오로직스(2035억원)·삼성물산(1644억원)·셀트리온헬스케어(1521억원)·KT&G(1120억원)·펄어비스(976억원)·LG디스플레이(858억원)·LG(833억원)도 외국인이 찜한 종목이었다.기관투자가들도 올 들어 8조9571억원어치의 주식을 내다 팔았다. 삼성전자(1조4871억원)·삼성전자우(4357억원)·SK텔레콤(2983억원)·한국전력(2631억원)·KT&G(2369억원)·포스코(2358억원)·LG디스플레이(2088억원)·SK이노베이션(1932억원)·삼성전기(1817억원)·대한항공(1685억원) 등을 순매도했다.기관들은 그 대신 SK하이닉스를 집중적으로 사들이고 있다. 올 들어 3340억원어치를 순매수했다. 반도체 2위주인 SK하이닉스는 스마트폰과 생활 가전 사업 부문이 없어 코로나19에 따른 실적 악영향이 상대적으로 크지 않다는 점에 주목한 것으로 풀이된다.이어 고려아연(1938억원)·네이버(1876억원)·삼성바이오로직스(1055억원)·LG생활건강(983억원)·제일기획(895억원)·NHN(843억원)·하이트진로(656억원)·맥쿼리인프라(612억원)·현대차2우B(611억원)가 기관들의 순매수 상위종목으로 분류됐다.반면 개인 투자자들은 올 들어 23조8013억원어치의 주식을 순매수하며 홀로 국내 증시를 떠받치는 중이다. 역대 최대 규모다.개인 투자자들이 가장 선호하는 종목은 삼성전자다. 올 들어 7조8362억원어치를 그러모았다. 개인들은 삼성전자우선주 1조6268억원어치도 사들였다. 우선주는 의결권이 없는 대신 보통주보다 할인된 가격에 거래되고 배당은 액면가 기준 1% 정도 더 받는다.개인들은 또한 SK하이닉스(9244억원)·현대차(7910억원)·SK이노베이션(5457억원)·한국전력(5332억원)·신한지주(4816억원)·기아차(4189억원)·삼성SDI(3976억원)·포스코(3144억원)를 순매수했다.증권가에서는 개인들이 삼성전자 등의 우량주를 선호하는 이유를 2008년 글로벌 금융 위기의 학습 효과에서 찾는다. 코스피지수는 2008년 10월 1100선이 무너지면서 2017년 말 대비 54.5% 폭락했다. 이후 빠른 회복세를 보이면서 2010년 10월 80% 이상 반등했다.당시 대장주들의 상승 폭은 이보다 훨씬 컸다. 삼성전자는 같은 기간 90% 이상 올랐고 현대자동차는 230% 넘게 급등했다.개인들은 ‘현금 부자주’에도 관심을 보이고 있다. 눈여겨보는 주식을 기초 체력을 갖춘 기업들로 넓히는 추세다.보유 현금이 가장 넉넉한 기업은 삼성전자다. 신용 평가 회사인 한국기업평가에 따르면 삼성전자는 지난해 말 기준 순현금이 86조4535억원에 달한다. 이어 현대모비스(4조9090억원)·삼성SDS(3조3844억원)·고려아연(2조5805억원)·기아차(2조3139억원)·네이버(2조100억원)·현대건설(1조6379억원)·카카오(1조4501억원)·엔씨소프트(1조4143억원) 등의 순이다.이들 기업은 경기 침체로 현금 유입이 끊기더라도 지닌 현금만으로 차입금을 모두 상환할 수 있는 곳으로 평가된다.한편 개인들은 유망주로 꼽히던 글로벌 기업들도 장바구니에 담고 있다. 코로나19 사태로 유망 글로벌 기업들의 주가가 떨어지자 3월에만 9조원어치 가까운 주식을 쓸어 담았다.한국예탁결제원에 따르면 국내 개인 투자자들은 3월 한 달 동안 72억4477만 달러(8조8965억원)어치의 해외 주식을 사들였다. 지난해 같은 기간(18억27만 달러)보다 네 배 이상 늘었다.가장 많이 산 상위 10개 주식은 모두 미국 종목이었다. 애플(4억6178만 달러)이 가장 인기였다. 나스닥지수 움직임의 세 배를 추종하는 ‘프로셰어즈 울트라프로 (Proshares UltraPro) QQQ’ 상장지수펀드(ETF)에도 3억8855만 달러가 몰렸다. 테슬라(3억6898만 달러)·마이크로소프트(3억706만 달러)·아마존(2억8583만 달러)도 이름값을 했다.코로나19 백신을 개발하고 있는 이노비오파마슈티컬스(5734만 달러)와 코로나19 치료제 관련 임상을 진행 중인 길리어드사이언스(4854만 달러)에도 적지 않은 개인 돈이 몰렸다.choies@hankyung.com[달라진 위기 재테크…개미의 반란 커버스토리 기사 인덱스]-한 달간 늘어난 주식 계좌만 86만 개…‘동학 개미’, 이번엔 이길까-이지혜 에임 대표 “지금은 재테크의 큰 기회…단, 1년 버틸 분산투자 필수죠”-‘폭락이 기회다’ 주식 시장으로 몰려가는 엄마·아빠들-외국인, 한국 증시 이탈에도 셀트리온은 샀다-‘공포에 길 잃은 재테크’…국내 4대 은행 스타 PB들의 조언-투자 전문가 3인 “수출 충격, 2~3분기 본격화 될 것…일시적 주가 급락 염두에 둬야”[본 기사는 한경비즈니스 제 1271호(2020.04.06 ~ 2020.04.12) 기사입니다.]
 당사의 허락 없이 본 글과 사진의 무단 전재 및 재배포를 금합니다.",/news/news_read.nhn?article_id=0000053213&office_id=050&mode=search&query=삼성물산&page=2
,"(서울=연합뉴스) 김아람 기자 = 코스피가 7일 상승세로 출발했다.

이날 오전 9시 30분 현재 코스피는 전 거래일보다 24.60포인트(1.37%) 오른 1,816.48을 가리켰다.

지수는 전장보다 34.84포인트(1.94%) 오른 1,826.72에서 출발해 강세 흐름을 이어가며 장중 한때 1,838.97까지 올랐다.

유가증권시장에서는 개인이 1천889억원어치를 순매수했다. 기관과 외국인은 각각 1천843억원, 61억원을 순매도했다.

지난 6일(현지시간) 뉴욕증시에서는 신종 코로나바이러스 감염증(코로나19) 확산 진정에 대한 기대에 다우존스30 산업평균지수(7.73%), 스탠더드앤드푸어스(S&P)500 지수(7.03%), 나스닥 지수(7.33%)가 모두 큰 폭으로 상승했다.

미국과 유럽의 코로나19 집중발병지역을 중심으로 확산세가 다소 주춤해지는 모습을 보이면서 투자심리가 개선됐다.

이날 개장 전 삼성전자는 올해 1분기 잠정실적을 집계한 결과 매출은 작년 동기보다 4.9% 증가한 55조원, 영업이익은 2.7% 증가한 6조4천억원을 기록했다고 공시했다.

노동길 NH투자증권 연구원은 ""미국 주가를 끌어올린 미국 코로나19 확산세 둔화 흐름은 국내 증시에 전날 반영이 되기도 했으나 삼성전자 실적이 잘 나오면서 지수가 상승 출발했다""고 설명했다.

시가총액 상위 종목은 삼성전자(2.16%), SK하이닉스(3.49%), 삼성바이오로직스(0.94%), 셀트리온(0.24%), LG화학(2.87%),현대차(2.82%), 삼성물산(1.60%), 삼성SDI(2.29%) 등이 올랐다.

네이버(-0.87%), LG생활건강(-0.82%) 등은 내렸다.

업종별로는 은행(3.36%), 운송장비(2.80%), 증권(2.51%), 철강·금속(2.22%), 기계(2.20%)를 비롯해 모든 업종이 강세다.

같은 시각 코스닥지수는 전장보다 2.94포인트(0.49%) 오른 600.15를 나타냈다.

지수는 전장보다 9.00포인트(1.51%) 오른 606.21로 개장해 상승세를 지속하고 있다.

코스닥시장에서는 개인과 기관이 각각 1천577억원, 16억원을 순매수했다. 외국인은 1천552억원을 순매도했다.

시총 상위주 중에는 에이치엘비(0.99%), 펄어비스(0.40%), CJ ENM(3.23%), 케이엠더블유(0.86%), 헬릭스미스(0.13%) 등이 올랐다.

셀트리온헬스케어(-1.42%), 씨젠(-5.14%), 셀트리온제약(2.90%), 스튜디오드래곤(-6.41%), 코미팜(-5.07%) 등은 내렸다.

rice@yna.co.kr",/news/news_read.nhn?article_id=0011528291&office_id=001&mode=search&query=삼성물산&page=2
,"[머니투데이 오정은 기자]
삼성물산 패션부문의 러닝 브랜드 ‘브룩스러닝(Brooks Running)’은 한국에서만 구매할 수 있는 익스클루시브(Exclusive) 라인 ‘화이트 에디션(White Edition)’을 출시했다고 7일 밝혔다.
화이트 에디션은 발의 흔들림을 잡아주는 안정화 ‘아드레날린 GTS 20’과 최상급 쿠션화 ‘글리세린 18’ 등 2개 상품으로 구성됐다.
특히 브룩스러닝은 한국인이 가장 선호하는 컬러인 화이트를 적용했고 러닝화의 기본기는 갖추면서 스타일까지 신경 썼다.
‘아드레날린 GTS(Adrenaline GTS) 20’은 브룩스러닝의 대표 안정화다. 발, 무릎, 엉덩이의 유기적인 움직임과 과도한 흔들림을 방지해 무릎부상을 줄일 수 있는 ‘가이드레일(GuideRails)’ 기술력이 적용됐다.
글리세린(Glycerine) 18’은 브룩스러닝이 자랑하는 쿠션화로서, 2018년 보스톤 마라톤 대회 여성 챔피언 ‘데지레 린덴(Desiree Linden)’이 가장 선호하는 런닝화로 알려져 있다. 일체형 라이닝이 부드럽게 발을 감싸며 달리는 모양에 따라 자연스럽게 수축, 이완된다.
‘화이트 에디션’ 상품은 가장 부드러운 미드솔 쿠셔닝 시스템(DNA Loft)을 적용했다. 공기층과 고무를 적절하게 배합해 가볍고 부드러울 뿐 아니라 반발력과 내구성도 뛰어나다.
가격은 아드레날린 GTS 20은 15만9000원, 글리세린 18이 18만9000원이다.
 브룩스러닝은 화이트 에디션 출시를 기념해 모든 구매 고객에게 스파이크백을 증정하는 이벤트를 진행한다. 오는 30일까지 공식 인스타그램을 통해 화이트 에디션 구매고객 인증샷을 올리면 매주 1명을 추첨해 신발 1족을 추가로 제공한다. 오정은 기자 agentlittle@mt.co.kr
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>",/news/news_read.nhn?article_id=0004390361&office_id=008&mode=search&query=삼성물산&page=2
"막대한 이자비용, 조합 문제 등으로 정부 지침보다 앞당겨","(서울=뉴스1) 국종환 기자 = 서울 서초구 반포동 신반포15차 재건축 조합이 신종 코로나바이러스 감염증(코로나19) 우려에도 시공사 설명회를 강행하기로 해 논란이 예상된다.7일 정비업계에 따르면 신반포15차 재건축 조합은 최근 조합원들에게 시공사 선정 입찰에 참여한 삼성물산, 대림산업, 호반건설의 합동 홍보설명회를 오는 12일 엘루체컨벤션 6층 노천 옥상에서 개최한다는 내용의 공문을 보낸 것으로 알려졌다.조합은 설명회를 야외에서 개최하는 이유에 대해 최근 코로나19로 인해 정부에서 실내 모임을 금지하고, 나아가 사회적 거리두기를 강력하게 시행함에 따라 이에 부응하기 위함이라고 설명했다.그러면서 최근 해외여행을 다녀왔거나 건강에 이상이 있는 경우엔 설명회 참석을 자제해달라고 밝혔다. 또 설명회 참석 시에는 반드시 마스크를 착용해 달라고 당부했다.일각에선 아직 코로나19 사태가 진정되지 않고, 고강도 사회적 거리두기가 2주 연장된 상황에서 조합이 성급한 결정을 내린 것이 아니냐는 비판이 나온다.앞서 국토교통부와 서울시는 지난달 말 시내 재건축·재개발 조합에 코로나19 확산 방지를 위해 조합 총회 등 대규모 모임을 5월18일 이후로 미룰 것을 권고한 바 있다. 이를 무시할 경우 행정상의 불이익을 가할 수도 있다고 경고했다. 대신 조합의 피해를 막기 위해 민간택지 분양가 상한제 시행 유예기간을 3개월 연장해주기로 했다.이로 인해 대부분 조합이 애초 3월 말부터 4월 예정됐던 총회 일정을 잠정 연기한 상태다. 신반포15차 조합 역시 예정됐던 총회 일정을 정부 권고에 따라 미뤄놓은 상태였다.신반포15차 조합은 그러나 일정 연기로 인해 매달 늘어나는 막대한 이자 비용과 조합 내부 갈등 우려 등을 이유로 서울시에 재차 설명회 및 총회 개최를 요구해온 것으로 알려졌다.서울시 관계자는 ""신반포15차의 경우 조합원이 많지 않은 소규모 조합인 데다, 매달 이자 비용이 상당하고 조합 내부 문제 등이 있다""며 ""조합에서도 정부의 방역지침을 따르면서 설명회를 열겠다고 해 무작정 제재할 수만은 없는 상황""이라고 말했다.업계에선 조합 간의 형평성 문제가 있는 만큼 신반포15차 조합이 오는 12일 설명회를 진행할 경우, 다른 조합들도 정부 권고 일정보다 앞당겨 설명회 및 총회를 개최하려는 움직임이 나타날 것으로 예상하고 있다.jhkuk@news1.kr© 뉴스1코리아(), 무단 전재 및 재배포 금지",/news/news_read.nhn?article_id=0004568866&office_id=421&mode=search&query=삼성물산&page=2
