head,text,url
"입국 간소화로 코로나 격리 면제미·중 신냉전, 검찰 수사 악재 속중국이 바짝 추격한 반도체 챙겨새 성장동력 마련 위해 선제 대비","“시간이 없다. 때를 놓치면 안 된다”


이재용 삼성전자 부회장이 18일 중국 시안(西安)에 위치한 메모리 반도체 사업장을 찾았다. 신종 코로나바이러스 감염증(코로나19)으로 멈췄던 해외 현장 경영 행보를 4개월 만에 재개한 것이다. 지난 6일 대국민 사과 이후 검찰 수사와 미·중 무역갈등까지 이 부회장과 삼성을 둘러싼 악재가 산적한 상황에서 흔들림 없는 사업 의지를 드러낸 것으로 풀이된다.


삼성전자에 따르면 이 부회장은 17일 출국했으며, 이날 시안에 있는 낸드 플래시를 만드는 반도체 공장을 방문했다. 코로나19 사태가 발생한 이후 중국을 방문한 글로벌 기업인은 이 부회장이 처음이다. 기업인의 경우 한·중 합의 사항인 기업인 입국 절차 간소화에 따라 14일간의 의무격리가 면제된다. 이날 시안 사업장 방문에는 진교영 삼성전자 메모리사업부장, 박학규 DS부문 경영지원실장, 황득규 중국삼성 사장 등이 동행했다. 이 부회장은 이 자리에서 “과거에 발목 잡히거나 현재에 안주하면 미래가 없다. 새로운 성장동력을 만들기 위해서는 다가오는 거대한 변화에 선제적으로 대비해야 한다”면서 “시간이 없다. 때를 놓치면 안 된다”고 강조했다고 한다.


이 부회장이 코로나19에도 불구하고 첫 해외 방문지로 시안 사업장을 찾은 것은 반도체 사업에 그만큼 큰 기대를 걸고 있다는 뜻이다. 삼성은 지난해 시스템 반도체 분야에서 2030년까지 세계 1위에 오른다는 ‘반도체2030’을 목표로 내세웠다.


이 부회장이 방문한 시안 공장은 삼성의 유일한 해외 메모리 반도체 생산기지이자 중국 시장 공략의 전초 기지다. 현재 150억 달러(약 18조5000억원) 규모의 투자가 진행 중이다. 삼성전자는 미국 오스틴에선 비메모리 반도체를 위탁생산하는 파운드리 공장을 운영 중이다.


현재 삼성과 이 부회장을 둘러싼 경영 환경은 녹록지 않다. 검찰은 삼성바이오로직스 회계부정 의혹과 관련 이 부회장의 소환 조사를 검토 중인 것으로 알려졌다. 이 부회장은 지난 6일 경영권 승계 의혹에 대해 대국민 사과를 하며 ‘새로운 삼성’을 약속하기도 했다.


반도체 분야에서 중국의 추격도 무섭다. 중국 칭화유니그룹 계열사인 양쯔메모리테크놀로지(YMTC)는 지난달 128단 3차원(3D) 낸드플래시 개발에 성공했고, 올해 말 양산에 들어갈 계획을 발표했다. 삼성은 128단 낸드플래시를 지난해 8월부터 양산하고 있지만 중국의 기세가 만만치 않은 상황이다. 이 부회장이 “시간이 없다” “과거에 발목 잡히거나 현재에 안주하면 미래가 없다”고 강조한 배경이다.


최근 고조된 미·중 무역갈등도 중간에 낀 삼성으로선 부담스럽다. 미국 상무부는 최근 미국의 기술을 사용한 해외 반도체 기업이 제품을 화웨이에 팔기 위해서는 허가를 거쳐야 한다는 제재안을 발표했다. 화웨이가 지난 2017~2018년 삼성전자의 5대 매출처 중 한 곳이었던 것을 감안하면 화웨이 제재 가시화는 삼성에 내상을 입힐 수 있다.


트럼프 정부는 그러면서 해외 반도체 기업의 미국 현지 공장 증설을 압박하고 있다. 세계 1위 파운드리(위탁생산) 업체인 대만 TSMC는 120억 달러를 들여 미국 애리조나에 공장을 짓기로 한 데 이어 중국 최대 통신장비업체 화웨이로부터 신규 수주를 받지 않기로 했다고 일본 언론이 18일 보도했다.


삼성도 미국 오스틴 공장의 증설 요구를 마냥 물리칠 수 없는 상황이다. 동시에 중국 측을 달래는 행보도 필요한 실정이다. 이 때문에 코로나19 와중에 이뤄진 이 부회장의 중국 방문에는 ‘중국 시장도 중요하게 여기고 있다’는 메시지까지 담겨있다는 해석이 나온다.


장주영·배정원 기자 jang.jooyoung@joongang.co.kr
▶ ▶
/ ⓒ중앙일보(https://joongang.co.kr), 무단 전재 및 재배포 금지",/news/news_read.nhn?article_id=0003001671&office_id=025&mode=search&query=삼성바이오로직스&page=4
시안 메모리 반도체 공장 방문… ‘사과’ 보름 만에 글로벌 행보,"이재용 삼성전자 부회장이 18일 중국 시안 반도체 사업장을 방문했다. 신종 코로나바이러스감염증(코로나19) 사태 이후 중국을 방문하는 사실상 첫 글로벌 기업인이다.이 부회장은 “시간이 없다”며 위기에 적극 대응하고 미래에 도전하겠다는 의지를 강조했다. 그의 현장 경영은 대외적으로 미국과 중국의 패권 전쟁이 반도체로 불붙고, 대내적으로는 사법 리스크가 가중되는 가운데 이뤄졌다.삼성전자는 이 부회장이 이날 중국 산시성에 있는 시안 반도체 사업장을 찾아 코로나19 장기화에 따른 영향과 대책을 논의하고 임직원들을 격려한다고 밝혔다. 지난 1월 브라질 방문 후 4개월 만의 글로벌 현장 경영이고 9번째 공개 행보다. 이 자리에는 진교영 삼성전자 메모리사업부장 사장, 박학규 삼성전자 DS부문 경영지원실장 사장, 황득규 중국삼성 사장 등이 참석했다. 시안 공장은 삼성의 유일한 해외 메모리반도체 생산 기지로 2공장이 증설되고 있다.이 부회장은 이 자리에서 “과거에 발목 잡히거나 현재에 안주하면 미래는 없다. 새로운 성장동력을 만들기 위해서는 다가오는 거대한 변화에 선제적으로 대비해야 한다. 시간이 없다. 때를 놓치면 안 된다”고 말하며 위기 대응과 미래 도전을 주문했다고 한다. 이 부회장은 지난해 2월에도 중국 시안을 방문해 임직원들을 격려했다.삼성전자는 지난 3월 시안 2공장 투자 출하 기념행사에 이어 지난달에는 2공장에 필요한 기술진 200여명을 전세기로 파견했다. 이 부회장이 코로나19로 중단했던 해외 현장 방문 재개 첫 장소로 시안 반도체 공장을 택한 것은 ‘반도체 2030 비전’에 대한 의지로 해석된다.특히 미·중 갈등이 반도체 시장까지 영향을 미칠 것으로 전망되자 주력 분야인 메모리반도체 생산 현장을 챙길 필요가 있다고 판단한 것으로 보인다. 이 부회장은 코로나19로 현장 설비 엔지니어들조차 꺼리는 중국 출장을 직접 결정한 것으로 알려졌다.업계 관계자는 “‘시간이 없다’는 이 부회장의 중국 발언은 위기 극복이 쉽지 않은 현실에서 여러 답답한 심경을 토로한 것 아니겠느냐”고 말했다. 실제 이 부회장을 둘러싼 대내외 환경은 녹록지 않다. 도널드 트럼프 미국 행정부는 미국 기업의 기술을 사용한 제3국 기업이 중국 기업인 화웨이에 반도체를 팔지 못하도록 했다. 또 세계 1위 파운드리(위탁생산) 업체 대만 TSMC의 초미세 공정 공장을 미국에 짓도록 했다. 중국 정부는 이에 맞서 화웨이 봉쇄 조치 즉각 중단을 촉구했고, 중국 관영 언론은 애플 등 미국 기업에 대한 ‘맞불 제재’ 가능성을 언급하고 있다. 미·중의 대립으로 글로벌 경영 환경이 다시 예측불허 상황으로 치닫고 있다.국내에서는 삼성바이오로직스 수사와 관련해 이 부회장의 검찰 소환이 임박한 것으로 전해졌다. 2017년 시작된 국정농단 관련 재판은 여전히 진행 중이다.강주화 권민지 기자 rula@kmib.co.krGoodNews paper ⓒ , 무단전재 및 재배포금지",/news/news_read.nhn?article_id=0001322539&office_id=005&mode=search&query=삼성바이오로직스&page=4
,"""시간이 없다. 때를 놓치면 안 된다.""이재용
부회장이 18일 중국 시안(西安) 반도체 공장을 방문해 이렇게 말했다. 지난 1월 삼성전자 브라질 마나우스 캄파나스 공장을 찾은 이후 100여일 만의 해외 현장 방문이다. 코로나 사태 이후 중국을 방문한 글로벌 기업인은 이 부회장이 처음이다. 이 부회장은 17일 2박 3일 일정으로 진교영 삼성전자 메모리사업부장(사장), 박학규 DS부문 경영지원실장(사장), 황득규 중국삼성 사장 등과 함께 전세기편으로 시안으로 출국했다. 시안 공장은 2025년까지 반도체 자급률을 70%로 끌어올리겠다는 중국의 반도체 굴기에 맞서는 삼성전자의 최전선 기지다. 삼성전자는 2017년부터 150억달러(약 18조5000억원)를 추가 투자해 시안 반도체 2공장을 증설 중이다. 지난 3월 시안 2공장 일부 가동을 시작했고, 지난달에는 2공장 증설에 필요한 기술진 200여명을 전세기로 파견했다.현재 반도체 업계는 반도체 자국 중심주의를 내세우고 있는 미·중 갈등으로 한 치 앞을 볼 수 없는 상황이다. 최근 미국은 제3국에서 미국의 장비와 소프트웨어를 사용해 만든 반도체를 중국 화웨이에 수출할 경우 허가를 받도록 하는 새로운 제재를 내놨다. 중국도 이에 대응해 애플·퀄컴 등 미국 기업에 대한 보복을 시사했다.삼성전자는 미·중 갈등의 불똥이 메모리 반도체로 튀지 않을까 노심초사하는 상황이다.반도체 업계 관계자는 ""모든 것이 빠르게 변하는 '대격변기'에 적기(適期) 투자 등을 놓치게 되면 돌이키기 힘든 타격을 입을 수 있다""며 ""이 부회장이 코로나로 현장의 설비 엔지니어들조차 꺼리는 중국 출장을 전격적으로 결정한 것도 이런 절박함과 위기감을 반영한 것으로 보인다""고 말했다.일각에서는 이 부회장의 중국 출장이 당초 이날로 예정돼 있던 검찰 소환 조사를 미루기 위한 것 아니냐는 관측도 나온다. 이에 대해 삼성 소식에 정통한 한 재계 인사는 ""이 부회장의 중국 출장은 산시성 지방정부 고위 관계자와의 회동 등으로 오래전부터 계획돼 있던 것으로 알고 있다""고 말했다. 이 부회장은 삼성바이오로직스 분식 회계 의혹과 관련해 다음 주 검찰 조사를 받을 것으로 보인다.[신은진 기자 momof@chosun.com] [김성민 기자] 		▶
		▶ 		▶
	- Copyrights ⓒ 조선일보 & chosun.com, 무단 전재 및 재배포 금지 -",/news/news_read.nhn?article_id=0003532172&office_id=023&mode=search&query=삼성바이오로직스&page=4
,"이재용 삼성전자 부회장이 18일 중국 시안의 반도체 생산기지를 방문했다. 신종 코로나바이러스 감염증(코로나19) 사태로 중단했던 해외 현장경영을 넉 달 만에 재개한 행보다. 특히 중국 정보통신기술(ICT) 기업인 화웨이에 대한 미국의 반도체 수급 차단 조치로 미·중 갈등이 고조된 와중에 이뤄지면서 미묘한 파장을 낳고 있다.이날 삼성전자에 따르면 17일부터 2박3일 일정으로 중국으로 출국한 이 부회장은 방문 첫날부터 산시성 시안의 메모리반도체 사업장을 찾아 코로나19 장기화에 따른 영향 및 대책을 논의하고 임직원을 격려했다. 시안 사업장은 삼성전자의 유일한 해외 메모리반도체 생산기지로, 스마트폰 컴퓨터(PC) 서버 등에 데이터 저장장치로 쓰이는 낸드플래시 메모리를 생산한다. 제1공장은 2014년 준공됐고 제2공장은 지난 3월 말 가동을 시작해 제품 양산과 증설 작업이 동시 진행되고 있다. 이 부회장은 이 자리에서 “과거에 발목 잡히거나 현재에 안주하면 미래가 없다”며 “새로운 성장동력을 만들기 위해서는 다가오는 거대한 변화에 선제적으로 대비해야 한다”는 메시지를 전달했다. 또 “시간이 없다. 때를 놓치면 안 된다”고도 당부했다. 이날 현장엔 진교영 메모리사업부장(사장), 박학규 DS부문 경영지원실장(사장), 황득규 중국삼성 사장 등이 동행했다.올 들어 이 부회장의 해외 경영현장 행보는 코로나19 유행 이전이던 지난 1월 브라질 사업장 방문 이후 두 번째다. 삼성전자 관계자는 “코로나19 사태 발생 이후 글로벌 기업인이 중국을 방문한 것은 처음”이라고 말했다. 이 부회장은 지난해 2월 설 명절에도 임직원 격려차 시안 사업장을 방문하기도 했다. 이 부회장의 방중은 미국 정부에서 지난 15일 전세계 파운드리(반도체 위탁생산) 업체가 화웨이의 의뢰에 따라 반도체를 공급하는 걸 제한하는 조치를 취한 직후 이뤄졌다. 이는 세계 최대 파운드리 업체이자, 화웨이의 주요 거래처인 대만 TSMC의 행보와는 결이 다르다. TSMC는 이번 제재로 전체 매출의 10~12%에 달하는 화웨이 일감이 끊어질 위기에도 미국 현지에 파운드리 공장을 지어달라는 트럼프 정부의 요청에 즉각 응했다. 반면 삼성전자는 미국 텍사스주 오스틴의 파운드리 공장을 증설해달라는 요구에 확답하지 않고 있다. 삼성측에선 이 부회장의 행보를 미·중 갈등 국면과 결부 짓는 시각에 손사래 친다. 150억달러(18조5,000억원)가 투자된 시안 2공장이 가동을 시작한 만큼 총수로서 현장 방문은 당연하단 판단에서다. 중국이 한국 기업인에게 코로나19 의무격리 조치를 면제해 2공장 증설 인력이 대거 입국할 수 있었던 점에 화답할 필요가 있었다는 해석도 나온다. 일부에선 이 부회장이 미중 분쟁에도 불구하고 재판, 코로나 등으로 미국 입국이 여의치 않다 보니 중국부터 급히 찾아 현장 상황 파악에 나섰다는 관측도 나온다. 그룹 안팎에선 미·중 반도체 분쟁이 결국 자국 내 반도체 자급 체제 구축 경쟁으로 비화할 가능성이 높은 만큼 삼성도 양국 사이에서 신중한 전략적 행보를 취할 수밖에 없을 것이란 시나리오도 제기된다. 업계 관계자는 “지금은 미국의 반도체 산업 정책이 ‘화웨이 정밀타격’에 가깝지만 향후 제재가 어디까지 확대될지, 중국이 어떻게 대응할지, 어떤 기업이 변화된 환경을 틈타 부상할지 불확실하다”며 “기존 강자인 삼성전자 입장에선 상황 관리가 필수적”이라고 지적했다.일각에선 이 부회장의 이번 ‘시안 메시지’가 현재 자신과 삼성을 둘러싼 사법적 환경에 대한 심정 표출로 읽힌다는 분석도 나온다. 업계 관계자는 “회사의 모든 역량을 결집해도 위기 극복이 쉽잖은 현실에서 주로 과거와 연관된 파기환송심 재판이나 삼성바이오로직스 수사 등이 지속되는 데에 답답해 하는 심경이 ‘시간이 없다’는 발언 등에 담긴 걸로 보인다”고 말했다.이훈성 기자 hs0213@hankookilbo.com",/news/news_read.nhn?article_id=0000497481&office_id=469&mode=search&query=삼성바이오로직스&page=4
신입사원 채용 연기하고 필요 인력만 수시 채용때 아닌 취업 한파… '비대면' 온라인 채용박람회 열려,"제약 바이오업계 채용 시장도 얼어붙었다. 코로나19 사태 여파로 관련 사업분야의 2분기 실적이 저조할 것으로 예상되면서 비용 절감을 위해 기업들이 허리띠를 졸라매고 있기 때문이다.18일 한국고용정보원에 따르면 지난 3월 기업들이 취업 지원 포털 '워크넷'을 통해 신규 인력을 채용하겠다고 등록한 구인 규모는 14만4886명으로 작년 같은 달보다 4만6982명(25%)이나 줄었다. 코로나 사태로 인한 경영난과 불확실성 등으로 기업들이 채용을 대부분 미룬 탓이다.또 코로나 19 여파로 취업준비생 40% 이상이 채용 취소나 연기 통보를 받는 등 올 상반기 채용 시장을 기다린 구직자들이 암울한 시기를 보냈다.실제로 통계청이 발표한 고용동향을 보면 지난 4월 취업자 수는 2656만2000명으로, 작년 같은 달보다 47만6000명(1.8%) 감소했다. IMF 외환위기 때인 1999년 2월 65만8000명이 감소한 이후 21년여 만에 가장 많이 감소했다.제약바이오 업체들도 올해 상반기 채용 방식을 바꾸거나 일정을 연기하고, 필요 인력만 수시로 채용하고 있다. 셀트리온(완제 의약품 검사 인력), 한미약품(임상디자인, CRF 및 데이터베이스 개발 직무 등), 대웅제약(나보타 생산부문, R&D경력 등) 등이 수시채용을 진행했다.악조건 속에서도 공개 채용을 진행하는 제약 바이오 기업으로는 삼성바이오로직스, 삼성바이오에피스, 한독, 대원제약 등이 있다.대원제약 관계자는 ""코로나19 여파로 채용 여건이 악화된 것은 사실이지만 청년 일자리 창출에 기여하기 위해 예정대로 정기 공채를 진행하기로 결정했다""며 ""다만 최대한 안전한 환경에서 채용 전형이 이뤄질 수 있도록 최선을 다하겠다""고 말했다.매년 9월 열리던 한국제약바이오협회의 한국 제약바이오산업 채용박람회 개최 여부도 현재로선 불투명한 상황이다.지난해 열린 채용박람회의 경우 유한양행, GC녹십자, 한미약품 등 74개 제약바이오기업과 6개 기관 등 총 80개 부스가 마련됐다. 이 가운데 27개 기업은 현장에서 면접을 진행, 면접 참여를 신청한 구직자는 2635명이다. 이날 채용박람회에 다녀간 구직자만 8100여명에 달한다.제약바이오협회 관계자는 ""주최 측이다 보니 민감하게 또 조심스럽게 상황을 지켜보고 있다""면서 ""가을에 코로나19가 재유행하거나 할 경우 온라인으로 개최하는 방법도 검토 중""이라고 설명했다.물론 모든 기업의 채용이 축소된 것은 아니다.코로나19 진단키트 개발로 몸값이 높아진 분자 진단기업 '씨젠'은 올해 전문인력 채용을 작년 대비 5배가량 큰 폭으로 늘릴 계획이다. 코로나19 사태 이후 전 세계적인 진단키트 수요 증가에 대응하기 위해 당초 40명으로 잡았던 전문인력 채용 규모를 180여명으로 확대한 것이다. 진단키트 생산을 위한 단기 계약직원 220명도 추가로 채용한다.18~19일엔 보건산업 국제 컨벤션 바이오 코리아(BIO KOREA 2020) 내 보건산업 일자리 매칭 지원 행사인 바이오 잡페어가 온라인 상에서 열린다.이번 박람회는 '바이오코리아 2020' 홈페이지에서 진행되며, 온라인으로 채용정보 확인과 입사 지원이 가능하다. 회사별로 인사담당 임원과 부서장이 직접 출연해 채용 정보를 동영상으로 제공한다.GC녹십자와 SK케미칼, 동성제약 등 제약사와 휴온스와 티움바이오, 압타바이오 등 바이오기업이 참여한다. 이 밖에도 오스템임플란트, 바이오니아 등 의료기기 기업 등 총 29곳이 참가해 200여명의 정규직을 채용한다.업계 관계자는 ""제약 바이오 기업들의 1분기 실적이 좋지 못 하고, 코로나 여파로 2분기 실적도 나빠질 것이라는 전망 속에서 채용을 일정대로 진행하기가 쉽지 않은 형편""이라면서도 ""필수인력과 전문인력의 경우 비대면 면접이라던지 언택트 채용이 대안으로 떠오르고 있다""고 말했다.데일리안 이은정 기자 (eu@dailian.co.kr)ⓒ (주)데일리안 - 무단전재, 변형, 무단배포 금지",/news/news_read.nhn?article_id=0002402324&office_id=119&mode=search&query=삼성바이오로직스&page=4
외인·기관 ‘사자’…운수장비·은행 4%↑삼성電 등 시총상위주 상승세,"[이데일리 박태진 기자] 코스피 지수가 2%대 상승 출발했다. 전세계적으로 신종 코로나 바이러스 감염증(코로나19) 치료제 및 백신 개발 기대감이 커지고 있는 영향으로 풀이된다. 미국기업 모더나는 코로나19 백신 1차 임상시험 결과 대상자 전원에 항체가 형성되었다고 발표했고, 유럽연합은 길리어드사의 ‘렘데시비르’를 코로나19 치료제로 조건부 판매 승인할 수 있다는 외신 보도도 나왔다.장 초반부터 외국인과 기관이 순매수에 나서면서 상승장을 이끌고 있다. 시가총액 상위 종목들도 상승세를 보이고 있다.19일 마켓포인트에 따르면 코스피 지수는 이날 오전 9시 11분 현재 전 거래일보다 39.37포인트(2.03%) 오른 1976.48에 거래되고 있다. 간밤 뉴욕증시는 코로나19 백신 개발 기대감에 상승했다. 다우존스 30 산업평균지수는 전장 대비 3.85% 올랐고, 스탠더드앤드푸어스(S&P) 500 지수는 전장대비 3.15%, 나스닥지수도 2.44% 각각 상승 마감했다. 수급주체별로 보면 외국인과 기관이 각각 1011억원, 1946억원 순매수 중이다. 개인은 3023억원 순매도 중이다. 프로그램 매매는 차익과 비차익을 합쳐 1135억원 매수 우위를 기록 중이다.업종별로는 음식료품, 서비스업을 제외한 모든 업종이 오르고 있다. 운수장비, 은행, 철강및금속은 4%대 상승 중이다. 또 금융업, 보험은 3%대 상승률을 기록 중이며, 운수창고, 증권, 유통업, 건설업, 화학, 전기·전자는 2%대 상승하고 있다. 시가총액 상위종목들도 상승세를 나타내고 있다. 대장주인 삼성전자(005930)는 2%대, 삼성전자우(005935)는 3%대, 현대차(005380)는 4%대 상승 중이다. 또 SK하이닉스(000660), 삼성바이오로직스(207940), LG화학(051910), 삼성SDI(006400) 등도 상승하고 있다. 반면 네이버(035420), LG생활건강(051900) 등은 하락하고 있다.박태진 (tjpark@edaily.co.kr)＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞",/news/news_read.nhn?article_id=0004643714&office_id=018&mode=search&query=삼성바이오로직스&page=4
외국인·기관 순매수…코스닥은 하락 반전,"[아이뉴스24 류은혁 기자] 코스피가 2% 넘게 오르면서 1970포인트대에서 상승 출발했다. 간밤 미국 증시에서 되살아난 코로나19 치료제의 기대감이 국내 증시에 호재로 작용하고 있다.19일 코스피지수는 전 거래일보다 40.36포인트(2.08%) 오른 1977.47에 거래를 시작해 오전 9시10분 기준 2.01% 상승한 1976.03에 거래되고 있다. 현재 외국인과 기관이 각각 993억원 1천946억원 순매수 중이며 개인이 3천23억원 순매도 중이다.간밤 뉴욕증시에서 주요 지수는 코로나19 백신 기대로 큰 폭 올랐다. 미국 바이오기업 모더나(Moderna)는 성인 남녀 45명을 대상으로 진행된 코로나19 백신 후보 'mRNA-1273' 1차 임상시험 결과 참가자 전원에서 항체가 형성됐다고 밝혔다. 이날 다우존스30 산업평균지수는 3.85% 올랐고, 스탠더드앤드푸어스(S&P) 500지수와 나스닥지수는 각각 3.15%, 2.44% 상승세를 나타냈다.이날 코스피 시가총액 상위 10종목에선 NAVER(-1.86%), 셀트리온(-0.23%), LG생활건강(-0.97%)을 제외하고 상승세를 보이고 있다. 삼성전자 2.46%, SK하이닉스 1.48%, 삼성바이오로직스 0.17%, 삼성전자우 3.37%의 상승률을 보이고 있다.코스닥지수는 전 거래일보다 5.16포인트(0.75%) 오른 696.01에 장을 시작해 오전 9시 10분 기준 0.07% 내린 690.34에 거래되고 있다. 개인은 483억원 순매수 중인 반면 외국인과 기관은 각각 160억원, 219억원 순매도하고 있다.시가총액 상위 10종목은 대부분 상승세를 보이고 있다. 셀트리온헬스케어(-1.54%), 셀트리온제약(-2.84%), 씨젠(-7.83%)이 내림세를 보이고 있고 에이치엘비 0.51%, 펄어비스 0.05%, CJ ENM 3.13%, 알테오젠 1.69%의 오름세를 보이고 있다. ehryu@inews24.com [ⓒ 아이뉴스24 무단전재 및 재배포 금지]",/news/news_read.nhn?article_id=0000538930&office_id=031&mode=search&query=삼성바이오로직스&page=4
,"코로나19 치료제 개발 기대감에 1,980선 '터치'외국인 7거래일 만에 장중 순매수 전환

(서울=연합뉴스) 곽민서 기자 = 코스피가 19일 상승세로 출발해 장중 1,980선을 돌파했다.

이날 오전 9시 19분 현재 코스피는 전 거래일보다 39.36포인트(2.03%) 오른 1,976.47을 가리켰다.

지수는 전 거래일보다 40.36포인트(2.08%) 뛰어오른 1,977.47로 출발해 장중 한때 1,980.84까지 오르는 등 강세 흐름을 이어가고 있다.

앞서 18일(현지시간) 뉴욕 증시에서는 신종 코로나바이러스 감염증(코로나19)의 백신 개발에 대한 기대감이 반영되면서 다우존스 30 산업평균지수(3.85%)와 스탠더드앤드푸어스(S&P) 500 지수, 나스닥 지수(2.44%) 등 주요 지수가 일제히 급등했다.

서상영 키움증권 연구원은 ""백신 개발에 대한 기대감으로 경제 재개 속도가 빨라질 수 있다는 점이 부각되며 위험자산 선호 심리가 높아졌다""고 분석했다.

이어 ""경기 회복 지연에 대한 우려가 완화되면서 외국인 수급도 개선될 것으로 기대된다""고 덧붙였다.

이날 현재 유가증권시장에서 기관은 3천114억원을 순매수했다.

 외국인 역시 641억원어치를 사들이며 7거래일 만에 장중 순매수로 전환했다.

 반면 개인은 4천14억원을 순매도했다.

시가총액 상위 종목 가운데는 삼성전자(2.46%)와 SK하이닉스(0.86%)가 함께 올랐다.

 현대차(4.57%)와 현대모비스(3.47%), 삼성SDI(1.59%), LG화학(1.41%) 등도 동반 급등했다.

반면 삼성바이오로직스(-0.67%)와 셀트리온(-1.17%) 등은 내렸다.

업종별로는 운송장비(4.60%)와 은행(4.26%), 철강·금속(4.26%), 금융업(3.83%), 전기·전자(2.14%) 등이 강세였고 음식료품(-1.30%)과 서비스업(-0.24%) 등은 약세를 보였다.

같은 시각 코스닥지수는 전 거래일보다 2.18포인트(0.32%) 내린 688.67을 나타냈다.

지수는 전장보다 5.16포인트(0.75%) 오른 696.01로 개장한 뒤 하락세로 돌아섰다.

코스닥시장에서는 개인이 1천623억원을 순매수했다. 반면 기관은 1천153억원, 외국인은 217억원을 각각 순매도했다.

시총 상위주 가운데는 에이치엘비(0.41%)와 펄어비스(0.25%), CJ ENM(2.69%), 에코프로비엠(4.52%) 등이 올랐다.

셀트리온헬스케어(-2.53%)와 셀트리온제약(-3.91%)은 주가가 내렸다. 코로나19 진단업체인 씨젠(-7.31%) 역시 급락했다.

mskwak@yna.co.kr",/news/news_read.nhn?article_id=0011617324&office_id=001&mode=search&query=삼성바이오로직스&page=4
,"손희연 기자 son90@mt.co.kr
<저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스' 머니S, 무단전재 및 재배포 금지>",/news/news_read.nhn?article_id=0000543975&office_id=417&mode=search&query=삼성바이오로직스&page=4
외국인·기관 동반 순매수,"신종 코로나바이러스 감염증(코로나19) 백신이 나올 것이라는 기대감에 증시가 큰 폭으로 올랐다. 전세계적으로 코로나19 백신 개발이 진행중인 가운데 미국 바이오기업 '모더나(Moderna)'가 백신 후보(mRNA-1273)에 대한 1상 임상시험에서 시험 참가자 45명 전원에게서 코로나19 항체가 형성된 결과를 얻었다고 밝히면서 글로벌 증시가 상승세로 거래를 마쳤다.코스피 지수도 장 초반 강한 반등세를 기록중이다.19일 오전 9시 26분 현재 코스피 지수는 전장대비 40.85포인트(2.11%) 상승한 1977.55를 기록중이다. 이날 외국인과 기관이 각각 1505억원, 2775억원을 순매수하며 장을 이끌고 있다. 개인은 홀로 4315억원 어치를 팔고 있다.시가총액 상위종목별로 살펴보면 삼성전자(2.36%)를 비롯해 SK하이닉스(1.11%), 삼성바이오로직스(0.17%), 네이버(0.70%), LG화학(1.27%), LG생활건강(0.35%), 삼성SDI(2.07%) 등이 상승세를 기록한 반면 셀트리온만 홀로 -0.23%을 기록중이다.다만 코스닥 지수는 전장대비 0.87포인트(0.13%) 하락한 689.98을 기록중이다. 개인이 571억원어치 순매수하는 가운데 외국인과 기관이 각각 105억원, 306억원 동반 순매도하고 있다.18일(현지시간) 뉴욕증권거래소(NYSE)에서 다우존스 30 산업평균지수는 전날대비 911.95포인트(3.85%) 급등한 2만4597.37에 거래를 마쳤다. 다우지수는 장중 한때 전장 대비 1,000포인트 이상 오르는 등 지난 4월 8일 이후 최대 상승 폭을 기록했다.스탠더드앤드푸어스(S&P) 500 지수는 전장보다 90.21포인트(3.15%) 급등한 2953.91에, 기술주 중심의 나스닥 지수는 220.27포인트(2.44%) 상승한 9234.83에 장을 마감했다.데일리안 이미경 기자 (esit917@dailian.co.kr)ⓒ (주)데일리안 - 무단전재, 변형, 무단배포 금지",/news/news_read.nhn?article_id=0002402355&office_id=119&mode=search&query=삼성바이오로직스&page=4
