title,url,press,summary,date
킹 메이커는 누구…금융지주 이사회 지형 바뀐다,/news/news_read.nhn?article_id=0001642551&office_id=016&mode=search&query=KB금융&page=3,헤럴드경제,"회장 임기 만료를 앞둔 KB금융, 하나금융, NH농협 지주에서 이른바 ‘킹 메이커’인 회장후보추천위원회(회추위)의 인적 구성이 어떻게 변할지 주...",2020-03-02 09:56
인공지능신약개발지원센터장에 김화종 교수 선임,/news/news_read.nhn?article_id=0009731367&office_id=003&mode=search&query=KB금융&page=3,뉴시스,"최근에는 LG전자, 한국전력공사, LS그룹, 두산, KB금융 등 기업의 AI 도입과 기존 사업의 디지털 전환에 필요한 ‘데이터사이언티스트’ 양성...",2020-03-02 10:15
"금융당국-5대 금융지주 ""고객 없이 금융사 없다"" 코로나 대응 적극 한 목소리",/news/news_read.nhn?article_id=0004634461&office_id=277&mode=search&query=KB금융&page=3,아시아경제,"윤종규 KB금융지주 회장은 ""중소기업ㆍ소상공인에 대한 금리우대 및 대출지원, 소외계층에 대한 예방키트 지원 등을 통해 코로나19 피해극복을 위한...",2020-03-02 10:36
"은성수 위원장, 코로나19 관련 5대금융지주 조찬간담회",/news/news_read.nhn?article_id=0009731465&office_id=003&mode=search&query=KB금융&page=3,뉴시스,"왼쪽부터 시계방향으로 윤종규 KB금융지주 회장, 김정태 하나금융지주 회장, 은성수 금융위원장, 김광수 NH농협금융지주 회장, 손태승 우리금융지주...",2020-03-02 10:43
"은성수 위원장, 코로나19 관련 5대금융지주 조찬간담회",/news/news_read.nhn?article_id=0009731464&office_id=003&mode=search&query=KB금융&page=3,뉴시스,"왼쪽부터 시계방향으로 윤종규 KB금융지주 회장, 김정태 하나금융지주 회장, 은성수 금융위원장, 김광수 NH농협금융지주 회장, 손태승 우리금융지주...",2020-03-02 10:43
"은성수 위원장, 코로나19 관련 5대금융지주 조찬간담회",/news/news_read.nhn?article_id=0009731464&office_id=003&mode=search&query=KB금융&page=2,뉴시스,"왼쪽부터 시계방향으로 윤종규 KB금융지주 회장, 김정태 하나금융지주 회장, 은성수 금융위원장, 김광수 NH농협금융지주 회장, 손태승 우리금융지주...",2020-03-02 10:43
"배당금, 코스피 업체·규모 줄고 코스닥은 늘고",/news/news_read.nhn?article_id=0000527678&office_id=031&mode=search&query=KB금융&page=2,아이뉴스24,"올해 배당규모 상위 5곳은 삼성전자(2조4천54억원), KB금융(8천611억원), 신한지주(8천839억원), 현대자동차(7천905억원), SK하...",2020-03-02 10:45
"금융위-은행권 ""대구?경북 비대면으로 대출만기 자동 연장키로""",/news/news_read.nhn?article_id=0002219665&office_id=123&mode=search&query=KB금융&page=2,조세일보,"KB금융지주 윤종규 회장은 중소기업·소상공인에 대한 금리우대 및 대출지원, 소외계층에 대한 예방키트 지원 등을 통해 코로나19 피해극복을 위한 ...",2020-03-02 10:50
"금융위-5대 금융지주 수장 ""코로나19 사태에 적극 대응""",/news/news_read.nhn?article_id=0009731529&office_id=003&mode=search&query=KB금융&page=2,뉴시스,"간담회에는 윤종규 KB금융지주 회장, 조용병 신한금융지주 회장, 김정태 하나금융지주 회장, 김광수 농협 금융지주 회장, 손태승 우리금융지주 회장...",2020-03-02 10:54
"은성수 ""코로나19 대응, 금융지주 회장이 발 벗고 나서야""",/news/news_read.nhn?article_id=0000511888&office_id=417&mode=search&query=KB금융&page=2,머니S,"이날 간담회에는 윤종규 KB금융지주 회장, 조용병 신한금융지주 회장, 김정태 하나금융지주 회장, 김광수 농협금융지주 회장, 손태승 우리금융지주 ...",2020-03-02 10:55
