title,url,press,summary,date
서울 9억초과 아파트 거래 12·16대책 이후 61% 줄어,/news/news_read.nhn?article_id=0003276993&office_id=020&mode=search&query=KB금융&page=1,동아일보,23일 KB금융지주의 부동산플랫폼 ‘리브온(Liiv On)’이 분석한 아파트 매매거래 분석 결과에 따르면 12·16대책 직후 3개월간 서울에서 9억 원 초과 아파트의 실거...,2020-03-24 03:05
63빌딩보다 싸진 한화생명 시총,/news/news_read.nhn?article_id=0003517105&office_id=023&mode=search&query=KB금융&page=1,조선일보,신한·KB금융도 밀어내며 '금융 대장주' 지위에 올랐었다. 그러나 지금은 27위로 전락했다. 삼성생명 시총(7조3000억원)은 삼성생명이 들고 있는 삼성전자 지분(8.51...,2020-03-24 03:05
'드라이브 스루'에 유튜브 생중계까지…코로나가 바꾼 '주총',/news/news_read.nhn?article_id=0004539068&office_id=421&mode=search&query=KB금융&page=1,뉴스1,지난 20일 주주총회에서 윤종규 KB금융지주 회장은 마스크를 쓴 채로 총회를 진행하다 주주와의 거리를 감안해 안전하다고 판단한듯 도중에 마스크를...,2020-03-24 03:28
"KB금융, 대출·창업…혁신기업의 든든한 후원자",/news/news_read.nhn?article_id=0004542430&office_id=009&mode=search&query=KB금융&page=1,매일경제,◆ 창간 54 혁신금융 ◆ KB금융그룹은 'KB혁신금융협의회'를 중심으로 '혁신기업 여신 지원 강화' '혁신성장 투자 확대' '창업 지원과 일자...,2020-03-24 04:02
"KB손해보험, 병원 키오스크 통해 실손보험금 접수",/news/news_read.nhn?article_id=0004542445&office_id=009&mode=search&query=KB금융&page=1,매일경제,이 같은 시너지 효과를 창출하기 위해 KB금융의 KB 이노베이션 허브와 사내 디지털 관련 부서를 연결했다. 이와 함께 KB손보는 병원·헬스케어 ...,2020-03-24 04:02
[창간 54 혁신금융] `회색 코뿔소`가 앞당긴 新금융…핀테크·챗봇 질주,/news/news_read.nhn?article_id=0004542478&office_id=009&mode=search&query=KB금융&page=1,매일경제,KB금융은 핀테크랩 'KB 이노베이션 허브'를 통해 혁신 기업을 발굴해 지원하고 있다. 이 중 'KB 스타터스'로 선발된 기업은 그룹 차원의 전...,2020-03-24 04:04
'역대급 저평가' 금융株…투자자들은 외면,/news/news_read.nhn?article_id=0004381694&office_id=008&mode=search&query=KB금융&page=1,머니투데이,"은행업에서는 우리금융지주가 11.83%대 하락했고 하나금융지주, KB금융, BNK금융지주, DGB금융지주, 기업은행, 신한지주 등 대부분 은행주...",2020-03-24 04:30
작년 KB카드 성장에 일회성 요인 있었다,/news/news_read.nhn?article_id=0004381695&office_id=008&mode=search&query=KB금융&page=1,머니투데이,KB금융그룹은 2월초 KB카드의 지난해 당기순이익은 3166억원으로 전년대비 10.4% 증가했다고 발표했다. 가맹점 수수료율 인하에 따른 신용판...,2020-03-24 04:31
"정부, 오늘 금융시장 안정화 방안 발표…무슨 내용 담기나",/news/news_read.nhn?article_id=0009772918&office_id=003&mode=search&query=KB금융&page=1,뉴시스,은행권에 따르면 KB금융·신한금융·우리금융·하나금융·NH농협금융지주 등 5대 금융지주는 이 채권안정펀드와 증시안정펀드 조성을 위해 각각 2조원씩...,2020-03-24 06:07
"'10조원+α' 채안펀드 통할까… ""한은이 연준처럼 나서야"" 한목소리",/news/news_read.nhn?article_id=0000521674&office_id=417&mode=search&query=KB금융&page=1,머니S,은행권에 따르면 KB금융·신한금융·우리금융·하나금융·NH농협금융지주 등 5대 금융지주는 채권안정펀드와 증시안정펀드 조성을 위해 각각 2조원씩 총...,2020-03-24 09:15
