title,url,press,summary,date
동학개미들 4월들어 삼성전자 팔고 셀트리온헬스케어 샀다,/news/news_read.nhn?article_id=0004595118&office_id=421&mode=search&query=LG생활건강&page=2,뉴스1,"기관이 사들인 종목은 현대차(920억원), KT&G(630억원), 스튜디오드래곤(525억원), 삼성바이오로직스(490억원), LG생활건강(475...",2020-04-19 05:52
"LG생건 vs 애경 ‘머릿결 전쟁’… 전지현·수지, 누굴 닮고 싶니?",/news/news_read.nhn?article_id=0000511762&office_id=366&mode=search&query=LG생활건강&page=2,조선비즈,"LG생활건강(051900)은 지난해 ‘엘라스틴’ 모델로 배우 전지현을 7년 만에 재발탁했고, 애경산업(018250)은 최근 배우 겸 가수 수지를...",2020-04-19 06:02
'동학개미' 성공할까…반등장세 투자성적표는 외국인 '판정승',/news/news_read.nhn?article_id=0011557384&office_id=001&mode=search&query=LG생활건강&page=2,연합뉴스,기관 순매수 1·2위 종목은 현대차와 LG생활건강이었다. 다만 LG생활건강 주가 상승률은 13.86%로 코스피 상승률에 한참 못 미쳤다. 기관 ...,2020-04-19 06:33
"CJ대한통운, LG생건 상품 24시간 내 배송…""이커머스 풀필먼트 접목""",/news/news_read.nhn?article_id=0004595206&office_id=421&mode=search&query=LG생활건강&page=1,뉴스1,앞으로 네이버 브랜드스토어에서 LG생활건강 상품을 주문하면 24시간 내에 배송받을 수 있게 된다. CJ대한통운은 네이버 브랜드스토어에서 판매하는...,2020-04-19 09:00
"""네이버 주문 24시간내 배송""…CJ대한통운, 풀필먼트 서비스",/news/news_read.nhn?article_id=0011557486&office_id=001&mode=search&query=LG생활건강&page=1,연합뉴스,CJ대한통운은 네이버 브랜드 스토어에서 판매되는 LG생활건강 상품을 고객에게 24시간 내로 배송해주는 '풀필먼트' 서비스를 시작한다고 19일 밝...,2020-04-19 09:00
밤12시에 주문해도 다음날 상품이 '턱'…CJ대한통운의 택배 혁신,/news/news_read.nhn?article_id=0004396520&office_id=008&mode=search&query=LG생활건강&page=1,머니투데이,19일 CJ대한통운은 LG생활건강 상품을 고객에게 24시간 내 배송해주는 'e-풀필먼트’ 서비스를 제공한다고 밝혔다. LG생활건강의 네이버 브랜...,2020-04-19 09:00
"CJ대한통운, 亞 최대 택배 인프라 기반 갖춘다…‘창고혁명’",/news/news_read.nhn?article_id=0004622669&office_id=018&mode=search&query=LG생활건강&page=1,이데일리,CJ대한통운 곤지암 풀필먼트 센터에서 작업자가 LG생활건강 제품을 주문에 맞게 선별하고 있다. (사진=CJ대한통운)[이데일리 이윤화 기자] CJ...,2020-04-19 09:01
"CJ대한통운, 아시아 최대 택배 인프라 기반 ‘창고혁명’…글로벌 수준 초격차 서...",/news/news_read.nhn?article_id=0003457720&office_id=022&mode=search&query=LG생활건강&page=1,세계일보,CJ대한통운은 LG생활건강과 풀필먼트 계약을 맺고 네이버 브랜드스토어에서 판매되는 LG생활건강의 상품을 고객에게 24시간 내 배송해주는 풀필먼트...,2020-04-19 09:02
"CJ대한통운, 풀필먼트 서비스 본격화…주문 마감시간 대폭 연장",/news/news_read.nhn?article_id=0004559427&office_id=009&mode=search&query=LG생활건강&page=1,매일경제,CJ대한통운은 LG생활건강과 풀필먼트 계약을 맺고 네이버 브랜드스토어에서 판매되는 LG생활건강의 상품을 고객에게 24시간 내 배송해주는 풀필먼트...,2020-04-19 09:04
"LG생건 닥터벨머 비타 세린 톤결 세럼, '봄 스페셜 에디션' 선봬",/news/news_read.nhn?article_id=0004410545&office_id=014&mode=search&query=LG생활건강&page=1,파이낸셜뉴스,"LG생활건강은 일명 ‘오렌지 세럼’으로 많은 사랑을 받은 닥터벨머 ‘비타 세린 톤결 세럼’의 봄 한정 스페셜 에디션, ‘비타 세린 톤결 세럼-비...",2020-04-19 10:16
"LG생건, ‘닥터벨머 비타 세린 톤결 세럼 비타민 에디션’ 출시",/news/news_read.nhn?article_id=0004622713&office_id=018&mode=search&query=LG생활건강&page=1,이데일리,(사진=LG생활건강)[이데일리 이윤화 기자] LG생활건강은 일명 ‘오렌지 세럼’으로 많은 사랑을 받은 닥터벨머 ‘비타 세린 톤결 세럼’의 봄 한...,2020-04-19 10:23
`동학개미` 반등장서 33% 수익냈지만…49% 외국인 ‘판정승’,/news/news_read.nhn?article_id=0002594122&office_id=029&mode=search&query=LG생활건강&page=1,디지털타임스,기관 순매수 1·2위 종목은 현대차와 LG생활건강이었다. 다만 LG생활건강 주가 상승률은 13.86%로 코스피 상승률에 한참 못 미쳤다. 기관 ...,2020-04-19 10:41
"밤 12시 주문해도 다음날 문앞에...CJ대한통운, 창고 혁명 일으키나",/news/news_read.nhn?article_id=0003726346&office_id=011&mode=search&query=LG생활건강&page=1,서울경제,"네이버 브랜드스토어에서 LG생활건강 상품을 주문하면 24시간 내에 배송받을 수 있다. 아마존, 알리바바와 같이 제품선별-포장-배송 일괄처리까지 ...",2020-04-19 11:07
밤 12시 주문 다음날 도착...CJ대한통운 풀필먼트 본격화,/news/news_read.nhn?article_id=0004410621&office_id=014&mode=search&query=LG생활건강&page=1,파이낸셜뉴스,19일 CJ대한통운은 LG생활건강과 풀필먼트 계약을 맺고 네이버 브랜드스토어에서 판매되는 LG생활건강 상품을 고객에게 24시간 내 배송해주는 서...,2020-04-19 12:08
"CJ대한통운, ‘곤지암 메가허브’에 풀필먼트 서비스 오픈",/news/news_read.nhn?article_id=0002397024&office_id=119&mode=search&query=LG생활건강&page=1,데일리안,CJ대한통운은 LG생활건강과 풀필먼트 계약을 맺고 네이버 브랜드스토어에서 판매되는 LG생활건강의 상품을 고객에게 24시간 내 배송해주는 풀필먼트...,2020-04-19 12:28
"CJ대한통운, 풀필먼트 서비스…""네이버 주문 24시간내 배송""",/news/news_read.nhn?article_id=0000996889&office_id=082&mode=search&query=LG생활건강&page=1,부산일보,CJ대한통운 곤지암 풀필먼트 센터에서 작업자가 LG생활건강 제품을 주문에 맞게 선별하고 있다. CJ대한통운 제공 CJ대한통운은 네이버 브랜드 스...,2020-04-19 15:29
"""쿠팡, 게 섰거라""... CJ대한통운도 하루 배송 서비스",/news/news_read.nhn?article_id=0003524746&office_id=023&mode=search&query=LG생활건강&page=1,조선일보,CJ대한통운은 가장 먼저 LG생활건강과 계약을 맺고 네이버 브랜드스토어에서 판매되는 LG생활건강의 상품을 고객에게 24시간 내 배송해주는 풀필먼...,2020-04-19 17:01
밤 12시에 주문해도 다음날 배송…CJ대한통운 풀필먼트,/news/news_read.nhn?article_id=0004410752&office_id=014&mode=search&query=LG생활건강&page=1,파이낸셜뉴스,CJ대한통운은 19일 LG생활건강과 풀필먼트 계약을 맺고 네이버 브랜드스토어에서 판매되는 LG생활건강 상품을 고객에게 24시간 내 배송해주는 서...,2020-04-19 17:02
LG생건 ‘비타 세린 톤결 세럼’ 봄 한정 스페셜 에디션,/news/news_read.nhn?article_id=0004410768&office_id=014&mode=search&query=LG생활건강&page=1,파이낸셜뉴스,"LG생활건강은 일명 '오렌지 세럼'으로 많은 사랑을 받은 닥터벨머 '비타 세린 톤결 세럼'의 봄 한정 스페셜 에디션, '비타 세린 톤결 세럼-비...",2020-04-19 17:16
"[CEO] 이경수 코스맥스그룹 회장 ""코로나로 화장품도 온라인서 기회…코스맥스에 ...",/news/news_read.nhn?article_id=0004559609&office_id=009&mode=search&query=LG생활건강&page=1,매일경제,"모든 치아가 빠질 정도로 경영에 전념하며 코스맥스를 미샤, 닥터자르트, 클리오, LG생활건강, 로레알, 존슨앤드존슨, 유니레버 등 국내외 유명 ...",2020-04-19 17:37
"대한통운 ""상품 보관부터 배송까지 다 해드려요""",/news/news_read.nhn?article_id=0004326760&office_id=015&mode=search&query=LG생활건강&page=1,한국경제,CJ대한통운이 네이버 브랜드 스토어에서 판매되는 LG생활건강 상품들을 구매자에게 24시간 내 배송해주는 풀필먼트(fulfillment) 서비스를 시작한다고 19일 밝혔다....,2020-04-19 17:53
"증시 반등장 수익률, 외국인>기관>개인",/news/news_read.nhn?article_id=0003457836&office_id=022&mode=search&query=LG생활건강&page=1,세계일보,중 주가가 가장 큰 폭으로 오른 종목은 경영권 분쟁 이슈가 있었던 한진칼로 166.75% 상승했다. 기관의 순매수 1·2위 종목은 현대차와 LG...,2020-04-19 19:58
"'창고혁신' CJ대한통운, 이커머스 주문도 24시간내 배송",/news/news_read.nhn?article_id=0003351129&office_id=079&mode=search&query=LG생활건강&page=1,노컷뉴스,CJ대한통운이 LG생활건강과 풀필먼트 계약을 맺고 네이버 브랜드스토어에서 판매되는 상품을 고객에게 24시간 안에 배송해주는 서비스를 제공한다고 ...,2020-04-19 20:32
