title,url,press,summary,date
LG화학-SK이노 '배터리 전쟁' 속 현대차는 삼성과 '러브라인'(종합),/news/news_read.nhn?article_id=0009861027&office_id=003&mode=search&query=LG화학&page=6,뉴시스,국내를 대표하는 완성차 제조업체인 현대차그룹은 LG화학과 SK이노베이션으로부터 전기차 배터리를 공급받고 있지만 삼성SDI로부터는 배터리를 공급받...,2020-05-14 00:01
"[서재근의 Biz이코노미] 이태원 클럽서 흘린 '땀', 경제계에 '피눈물'",/news/news_read.nhn?article_id=0000025627&office_id=629&mode=search&query=LG화학&page=6,더팩트,"기술적인 요인도 있지만, 현대기아차가 그간 생산·판매한 전기차에는 LG화학과 SK이노베이션의 배터리가 탑재됐고, 그나마 이 부회장이 인수를 추진...",2020-05-14 00:01
"‘미래차 동맹’ 첫걸음, 이재용·정의선 만났다",/news/news_read.nhn?article_id=0003000506&office_id=025&mode=search&query=LG화학&page=6,중앙일보,파우치형 배터리는 국내에서 LG화학과 SK이노베이션 등이 만든다. 현대차가 지난해 3만 대 넘게 수출한 전기차인 코나 일렉트릭은 LG화학의 배터...,2020-05-14 00:05
여수 ‘웅천 트리마제 벨마레’ 분양홍보관 개관,/news/news_read.nhn?article_id=0003464948&office_id=022&mode=search&query=LG화학&page=6,세계일보,"LG화학 ? 한화케미칼 등이 집적된 여수국가산단뿐 아니라 율촌산단 ? 오천산단 ? 전남테크노파크 등이 차량으로 10분대 거리에 위치해, 출퇴근 ...",2020-05-14 03:04
이재용·정의선 '차세대 전기차 배터리' 손잡다,/news/news_read.nhn?article_id=0003530940&office_id=023&mode=search&query=LG화학&page=6,조선일보,"현대차가 전기차 배터리를 LG화학, SK이노베이션에서만 공급받고, 삼성SDI를 철저히 배제한 데에는 이런 '과거'가 적지 않게 작용했다는 분석이...",2020-05-14 03:04
"LG화학, 가스 사고 수습 총력… 노국래 본부장 인도 현지 급파",/news/news_read.nhn?article_id=0001321044&office_id=005&mode=search&query=LG화학&page=6,국민일보,LG화학이 인도 가스 유출사고 수습을 위해 13일 노국래 LG화학 석유화학사업본부장을 단장으로 하는 현장 지원단을 파견했다. 신학철 LG화학 부...,2020-05-14 04:04
이재용-정의선 첫 단독 회동… 재계 1·2위 ‘배터리 동맹’ 시작되나,/news/news_read.nhn?article_id=0001321066&office_id=005&mode=search&query=LG화학&page=6,국민일보,"현대차 모델에는 LG화학 배터리가, 기아차에는 SK이노베이션 배터리가 주로 사용된다. 업계 관계자는 “그동안 현대차가 삼성 배터리를 납품받지 않...",2020-05-14 04:07
"삼성·현대차, 新배터리 동맹… 전기차 시장 ‘K드림팀’ 시동",/news/news_read.nhn?article_id=0003090265&office_id=081&mode=search&query=LG화학&page=5,서울신문,"특히 삼성SDI는 리튬이온 세계 배터리 시장에서 LG화학에, 현대·기아차는 전기차 시장에서 테슬라, 르노닛산 얼라이언스 등에 각각 밀리고 있어 ...",2020-05-14 05:07
"삼성SDI, 3분기 EV전지 매출 1조 넘어설 듯...'전기차' 시대 맞아 본격 ...",/news/news_read.nhn?article_id=0009861099&office_id=003&mode=search&query=LG화학&page=5,뉴시스,그 동안 현대차는 전기차용 배터리를 LG화학과 SK이노베이션으로부터 공급받아왔지만 삼성SDI로 거래선을 확충하는 모습이다. 이에 따라 신규 고객...,2020-05-14 06:00
‘전차(電車)군단’의 미래차?… 이재용·정의선 첫 단독 회동,/news/news_read.nhn?article_id=0003464985&office_id=022&mode=search&query=LG화학&page=5,세계일보,"그간 현대차 전동화 모델엔 LG화학 배터리, 기아차 모델엔 SK이노베이션 배터리가 주로 사용됐다. 현대차는 △전동화 △자율주행 △차량공유 등으로...",2020-05-14 06:03
