title,url,press,summary,date
"POSCO, 주주가치 제고노력 긍정적 -삼성증권",/news/news_read.nhn?article_id=0004393368&office_id=008&mode=search&query=POSCO&page=1,머니투데이,"13일 POSCO에 대해 자사주 매입 통한 주주가치 제고 노력이 긍정적이라며 투자의견 '매수' 및 목표주가 25만5000원을 유지했다. 백재승 삼성증권 연구원은 ""POSC...",2020-04-13 07:39
"POSCO 1조 자사주 매입, 목표가 24% 상향-키움證",/news/news_read.nhn?article_id=0004393377&office_id=008&mode=search&query=POSCO&page=1,머니투데이,"키움증권은 13일 POSCO의 목표가를 종전 21만원에서 26만원으로 23.8... 이종형 연구원은 ""POSCO는 지난 10일 1조원 규모의 자사주 신탁계약 체결 결정을 ...",2020-04-13 07:52
"""포스코 1조 자사주 취득, 강력한 주가방어 의지""-유진",/news/news_read.nhn?article_id=0004618518&office_id=018&mode=search&query=POSCO&page=1,이데일리,유진투자증권은 13일 POSCO(005490)의 1조원 규모 자기주식(자사주) 취득 신탁 계약 체결이 강력한 주가방어 의지에서 비롯했다고 진단했...,2020-04-13 08:05
"[Hot-Line] ""POSCO, 자사주 매입 등 주주친화정책 긍정적""",/news/news_read.nhn?article_id=0004555718&office_id=009&mode=search&query=POSCO&page=1,매일경제,"나서는 POSCO에 대해 지난 2016년 분기배당을 결정한 데 이은 또 다른 주주친화정책이라는 점에서 긍정적이라며 투자의견 '매수', 목표주가 ...",2020-04-13 08:22
"""POSCO, 1조 자사주 매입 주가에 긍정적""...목표주가 ↑",/news/news_read.nhn?article_id=0003723563&office_id=011&mode=search&query=POSCO&page=1,서울경제,키움증권은 POSCO(005490)(포스코)가 지난 10일 1조원 규모의 자사주 취득 신탁계약을 체결한 것에 대해 “주주가치 제고와 수급 관점에서 주가에 긍정적”이라고 1...,2020-04-13 08:58
"'POSCO' 5% 이상 상승, 전일 기관 대량 순매수",/news/news_read.nhn?article_id=0004323088&office_id=015&mode=search&query=POSCO&page=1,한국경제,"[그래프]POSCO 외국인/기관 매매동향 ◆ 최근 애널리스트 분석의견 - 실적 반등의... 애널리스트는 POSCO에 대해 ""2분기 실적 개선 어...",2020-04-13 09:05
"[특징주] POSCO, 1조원 규모 자사주 매입 결정에 강세",/news/news_read.nhn?article_id=0004555779&office_id=009&mode=search&query=POSCO&page=1,매일경제,POSCO가 1조원 규모의 자사주를 매입하기로 결정했다는 공시에 강세를 보이고 있다. 13일 오전 9시 2분 현재 POSCO는 전일 대비 1만원(5.62%) 오른 18만8...,2020-04-13 09:10
"코스피, 외국인·기관 동반 팔자에 3거래일 만에 하락 출발…1850선 약보합",/news/news_read.nhn?article_id=0004555776&office_id=009&mode=search&query=POSCO&page=1,매일경제,"삼성전자, SK하이닉스, NAVER, LG화학, 현대차, LG생활건강 등이 하락하고 있는 반면 삼성바이오로직스, 셀트리온, 삼성물산, POSCO...",2020-04-13 09:10
"포스코, 1조원 자사주 취득에 이틀 연속 강세…6% 급등",/news/news_read.nhn?article_id=0004393425&office_id=008&mode=search&query=POSCO&page=1,머니투데이,POSCO가 1조원 자사주 취득 소식에 2거래일째 강세다. 13일 오전 9시 10분 현재 유가증권시장에서 POSCO는 전 거래일 대비 1만1000원(6.18%) 오른 18...,2020-04-13 09:16
"[특징주] 포스코 1조 규모 자사주 매입, 급등세",/news/news_read.nhn?article_id=0000530316&office_id=417&mode=search&query=POSCO&page=1,머니S,포스코(POSCO) 주가가 급등했다. 1조원 규모의 자사주 매입 공시가 주가를 끌어올렸다. 포스코는 13일 오전 9시 21분 현재 전 거래일보다 5.06%(9000원) 오...,2020-04-13 09:24
