title,url,press,summary,date
"코로나發 업무혁신…대기업, 재택근무 상시화 시동",/news/news_read.nhn?article_id=0009884771&office_id=003&mode=search&query=SK&page=18,뉴시스,SK그룹과 롯데그룹 등 주요 대기업이 일시적 재택근무가 아닌 장기적으로 일하는... 27일 관련 업계에 따르면 SK그룹의 핵심 계열사인 SK이노...,2020-05-28 00:00
"안전·환경문제 질타 받은 석화업계, 6000억 설비 개선 의지에 '화색'",/news/news_read.nhn?article_id=0000027252&office_id=629&mode=search&query=SK&page=18,더팩트,27일 환경부와 석유화학업계에 따르면 SK종합화학·LG화학·롯데케미칼·한화토탈·여천NCC·대한유화 등 6개 석유화학업체가 통합환경허가제도 이행을...,2020-05-28 00:01
신기술 해외기업 M&A 서둘러 5G 비메모리 시장 선점을,/news/news_read.nhn?article_id=0003004315&office_id=025&mode=search&query=SK&page=17,중앙일보,박 교수는 삼성전자와 SK하이닉스 생산라인 구축에 참여하는 등 이론과 현장을... 최근 중국 YMTC(양쯔 메모리 테크놀로지)가 삼성이나 SK하...,2020-05-28 00:04
청계천 옆 역세권 소형 아파트,/news/news_read.nhn?article_id=0003004327&office_id=025&mode=search&query=SK&page=17,중앙일보,"주변에 SK그룹·한화그룹·현대그룹 등이 모여 있다. 서울지하철 2·5호선 을지로4가역이 가깝고 2·3호선 을지로3가역, 3·4호선 충무로역을 이...",2020-05-28 00:04
반도체 인재 배출 스탠퍼드 5배 늘릴때 서울대 15년 제자리,/news/news_read.nhn?article_id=0003004321&office_id=025&mode=search&query=SK&page=17,중앙일보,삼성전자와 SK하이닉스는 반도체 전문 인력 양성을 위해 고려대·연세대 등과 개별적으로 계약을 맺고 내년부터 반도체 공학과 학생을 모집한다. 또 메모리에서...,2020-05-28 00:04
"AI·자율차 이끌 두뇌 비메모리, 한국 점유율은 4%뿐",/news/news_read.nhn?article_id=0003004316&office_id=025&mode=search&query=SK&page=17,중앙일보,시장조사업체 트렌드포스에 따르면 올해 1분기 글로벌 D램 시장에서 삼성전자(44.1%)와 SK하이닉스(29.3%)의 점유율을 합치면 70%가 넘...,2020-05-28 00:04
삼성SDI 시총이 매출 5배 SK이노의 2.2배…석유의 눈물,/news/news_read.nhn?article_id=0003004355&office_id=025&mode=search&query=SK&page=17,중앙일보,SK이노베이션은 지난해 49조8765억원의 매출(영업이익 1조2693억원)을 올려... SK이노베이션이 LG화학 등과의 갈등에도 불구하고 배터리...,2020-05-28 00:06
코로나 와중에도 인재는 필요 대기업들 오프라인 신입 공채,/news/news_read.nhn?article_id=0003004356&office_id=025&mode=search&query=SK&page=17,중앙일보,"SK그룹은 지난 24일 서울 내 대학 두 곳에서 필기시험을 치렀고, 삼성은 ‘삼성고시’로 불리는 직무적성검사(GSAT)를 30~31일 온라인으로 시행한다. 롯데그룹은 다음...",2020-05-28 00:06
매달 3주는 집에서 코로나 끝나도 재택근무 계속된다,/news/news_read.nhn?article_id=0003004354&office_id=025&mode=search&query=SK&page=17,중앙일보,SK이노베이션이 지난 18일부터 일부 부서를 대상으로 ‘1+3주’의 재택근무를... 최태원 SK 회장은 최근 “코로나19 이후 근무 환경에 대한...,2020-05-28 00:06
"[고수익 ELS의 유혹]만기 길고, 상환기회 많고, 손실기준 낮아야 유리",/news/news_read.nhn?article_id=0004650045&office_id=018&mode=search&query=SK&page=17,이데일리,기초자산은 SK하이닉스(000660) 보통주와 SK이노베이션(096770) 보통주를 담았고 만기는 1년이다. 조기상환은 3개월마다 이뤄지는데 기...,2020-05-28 00:13
코로나 쇼크 속 생산실적 희비…반도체 웃고 항공·운송업계 울고(종합),/news/news_read.nhn?article_id=0009884777&office_id=003&mode=search&query=SK&page=17,뉴시스,"4%, SK하이닉스는 5조1048억원에서 5조7343억원으로 12.3% 늘렸고, 두 회사 모두... SK하이닉스도 올해 1분기 D램의 계절적 비...",2020-05-28 00:20
'선무당'에 치이는 애널리스트…증권사 리포트 유료화 딜레마,/news/news_read.nhn?article_id=0004650050&office_id=018&mode=search&query=SK&page=17,이데일리,"최석원 SK증권 리서치센터장은 “유튜버들이 공짜로 보고서를 가져가 수익을 내는... SK증권, 하이투자증권, NH투자증권, KB증권 등은 몇몇 ...",2020-05-28 01:21
"현대·기아車 차세대 전기차, LG화학 배터리 장착한다",/news/news_read.nhn?article_id=0004348944&office_id=015&mode=search&query=SK&page=17,한국경제,공급사로 SK이노베이션을 선정한 바 있다. 이번에 선정한 LG화학의 배터리는 이... LG화학과 SK이노베이션의 배터리가 혼용돼 쓰일 것이란 전망이 나온다. 현대차는......,2020-05-28 02:11
[백브리핑] 3년前 손 뗀 e스포츠에 다시 손내민 삼성전자,/news/news_read.nhn?article_id=0003534467&office_id=023&mode=search&query=SK&page=17,조선일보,"SKT 게임단과 파트너십 계약 업계 ""매몰차게 떠날땐 언제고…"" 삼성전자가 27일 SK... SK텔레콤보다 4년 앞선 2000년 '삼성 갤럭시 ...",2020-05-28 03:03
"'1주 출근, 3주 재택' 근무… SK이노베이션의 실험",/news/news_read.nhn?article_id=0003534469&office_id=023&mode=search&query=SK&page=17,조선일보,"SK그룹이 코로나 사태를 계기로 기존 '사무실 근무' 중심의 일하는 형태에서 벗어난 근무 방식 혁신 작업에 속도를 내고 있다. 27일 SK이노베이션에 따르면, 이 회사는....",2020-05-28 03:04
"[단독]LG화학, 현대기아차에 수조원대 배터리 공급",/news/news_read.nhn?article_id=0003288660&office_id=020&mode=search&query=SK&page=17,동아일보,"현대·기아차가 총 4차례에 걸쳐 발주할 물량 중 2차 물량으로, 1차 공급사로는 SK이노베이션이 선정된 바 있다. 내년 말부터 공급되는 1차 물량에 이어 2차는...",2020-05-28 03:04
"""코스피 최대 2400까지 가능…단, 코로나 봉쇄 풀려야""",/news/news_read.nhn?article_id=0004415732&office_id=008&mode=search&query=SK&page=17,머니투데이,"이날 삼성증권, 하나금융투자, 메리츠증권, 유진투자증권, SK증권 등은 올 하반기... 현대모비스, SK이노베이션 등에 관심을 가질 필요가 있다...",2020-05-28 04:40
‘저평가보다 고평가’...2000선 재진입에 다시 조명 받는 성장주,/news/news_read.nhn?article_id=0002404171&office_id=119&mode=search&query=SK&page=17,데일리안,PER10배 이하 종목 가운데 SK하이닉스(9.1배)는 한달전대비 주가가 1.5% 가까이 내려갔다. 신한지주(4.7배)는 같은 기간 0.83% ...,2020-05-28 05:00
우량 자회사 덕 본 모기업...주가 반등 시그널?,/news/news_read.nhn?article_id=0002404170&office_id=119&mode=search&query=SK&page=17,데일리안,28일 한국거래소에 따르면 전날 SK는 전장 대비 1.35% 내린 25만5500원에 거래를 마쳤다. SK는 핵심 자회사인 SK바이오팜의 주식시장...,2020-05-28 05:00
'오너 리스크'에도 꿋꿋한 삼성·SK그룹株…투자 신뢰도 더 커지나,/news/news_read.nhn?article_id=0002404169&office_id=119&mode=search&query=SK&page=17,데일리안,삼성과 SK그룹 주가가 오너발 잡음에도 불구하고 기업가치 잠재력에 힘입어 상승 날개를 펼치고 있다. 그룹 대장주인 삼성전자와 SK는 물론이고 계...,2020-05-28 05:00
"부담되네~한 템포 쉰 주도주…""이젠 소외 종목 관심 가질 때""",/news/news_read.nhn?article_id=0004415746&office_id=008&mode=search&query=SK&page=17,머니투데이,"코스닥 시총 상위주에서는 셀트리온헬스케어와 셀트리온제약이 나란히 4%대 약세였고, 펄어비스, SK머티리얼즈 등도 1~2%가량 내렸다. 그러나 알...",2020-05-28 05:20
'경영권 분쟁' 한진칼 코스피200 편입까지…매수타이밍은?,/news/news_read.nhn?article_id=0004415751&office_id=008&mode=search&query=SK&page=17,머니투데이,"코스닥150에서는 신라젠이 빠지고 SK바이오랜드 등 새로운 종목으로 교체됐다.... 우리기술투자, SK바이오랜드, KH바텍, 이베스트투자증권, ...",2020-05-28 05:30
국내 최초 '등대 공장'...'유턴기업' 길 밝힌다,/news/news_read.nhn?article_id=0004415752&office_id=008&mode=search&query=SK&page=16,머니투데이,"SK텔레콤과 KT, LG유플러스 등 이동통신 3사가 5G 기반의 AI(인공지능) 영상분석, AR... SK텔레콤은 SK하이닉스 반도체 공장에 ‘...",2020-05-28 05:30
[출근길] 달라진 코스피200·코스닥150… 한진칼·SK바이오랜드 편입,/news/news_read.nhn?article_id=0000547852&office_id=417&mode=search&query=SK&page=16,머니S,"코스닥150 지수에 새로 들어간 종목은 브이티지엠피, 다우데이타, 상상인, 우리기술투자, SK바이오랜드, KH바텍, 이베스트투자증권, 유비쿼스홀...",2020-05-28 05:55
"석화업계, 친환경 사업에 꽂혔다... 화학 원료의 변신은 무죄",/news/news_read.nhn?article_id=0002404181&office_id=119&mode=search&query=SK&page=16,데일리안,SK이노베이션 자회사인 SK종합화학도 지난 20일 친환경 사업 확대 계획을 발표했다. SK종합화학은 현 20% 수준인 친환경 제품 판매량을 20...,2020-05-28 06:00
지난달 주식·회사채 28.8% 감소…CP·단기채도 24.3% 줄어,/news/news_read.nhn?article_id=0009884835&office_id=003&mode=search&query=SK&page=16,뉴시스,"삼성카드(9700억원), 국민은행(6500억원), 기아자동차(6000억원), SK에너지(5500억원), 신한금융지주회사(5000억원), 케이비캐...",2020-05-28 06:00
"IT서비스 빅3, 2900억 산업은행 프로젝트 수주전 ‘격돌’",/news/news_read.nhn?article_id=0002404175&office_id=119&mode=search&query=SK&page=16,데일리안,"기존에 사업을 맡고 있는 SK(주) C&C와 삼성SDS, LG CNS 간 치열한 3파전이 펼쳐질... 현재 산업은행의 정보시스템 운영업무를 맡고...",2020-05-28 06:00
포스트 코로나 시대를 잘살기 위한 솔루션,/news/news_read.nhn?article_id=0004415766&office_id=008&mode=search&query=SK&page=16,머니투데이,"정영배 SK텔레콤 팀장, 존 첸 뱁슨최고경영자교육과정 상무이사가 혁신 성공 사례를 통해 아이디어를 제시한다. 스테파니 룰릭 스타트업 보스턴 창업...",2020-05-28 06:00
코로나19 기업 돈 줄 옥죈다.. 주식·회사채 한달새 4조원 급감,/news/news_read.nhn?article_id=0004432614&office_id=014&mode=search&query=SK&page=16,파이낸셜뉴스,"회사채 발행 기업은 삼성카드(9700억원), 국민은행(6500억원), 기아자동차(6000억원), SK에너지(5500억원), 신한금융지주회사(50...",2020-05-28 06:01
[재송]27일 장 마감 후 주요 종목뉴스,/news/news_read.nhn?article_id=0004650086&office_id=018&mode=search&query=SK&page=16,이데일리,△SK이노베이션(096770)은 미국 소재 자회사인 SK배터리아메리카에 5567억원 규모의 채무보증을 결정했다고 공시. △신영증권(001720)은 6월19일 오전 9시 서...,2020-05-28 06:02
주식·회사채 등 기업의 직접조달 자금 일제히 하락,/news/news_read.nhn?article_id=0001678981&office_id=016&mode=search&query=SK&page=16,헤럴드경제,"회사채 발행 규모는 삼성카드(9700억원), 국민은행(6500억원), 기아자동차(6000억원), SK에너지(5500억원), 신한금융지주회사(50...",2020-05-28 06:02
잔인했던 4월…기업공개 제로·유상증자도 급감,/news/news_read.nhn?article_id=0004650085&office_id=018&mode=search&query=SK&page=16,이데일리,"지난달 회사채 발행액이 가장 컸던 것은 삼성카드로 9700억원이고 뒤디어 국민은행(6500억원), 기아자동차(6000억원), SK에너지(5500...",2020-05-28 06:02
'포스트 코로나' 코스피 2000이 다른 3가지 이유,/news/news_read.nhn?article_id=0004662482&office_id=421&mode=search&query=SK&page=16,뉴스1,"삼성전자, SK하이닉스, 삼성전자우, 삼성바이오로직스, 네이버, LG화학, 현대차... 이날 주가가 2% 넘게 빠졌지만 개인은 삼성전자(5089...",2020-05-28 06:05
LG·SK·한화…계열사들 적자 나도 지주사에 수백억 브랜드 사용료 낸다는데,/news/news_read.nhn?article_id=0000529660&office_id=366&mode=search&query=SK&page=16,조선비즈,"당시 기업집단별 상표권 사용료 수입은 LG가 2684억원으로 가장 많았고, SK(2332억원)와 한화(1529억원)가 그 뒤를 이었다. 지난해에...",2020-05-28 06:12
현대백화점그룹 인수설…SK바이오랜드 어떤 회사?,/news/news_read.nhn?article_id=0004415776&office_id=008&mode=search&query=SK&page=16,머니투데이,현대백화점그룹이 화장품 원료 업체인 SK바이오랜드 인수를 추진 중인 것으로 전해졌다. 28일 복수 매체에 따르면 현대백화점그룹은 SK바이오랜드의...,2020-05-28 06:29
[e공시 눈에 띄네]코스피-27일,/news/news_read.nhn?article_id=0004686763&office_id=277&mode=search&query=SK&page=16,아시아경제,◆SK이노베이션=미국·헝가리 자회사에 1조2000억 규모 채무보증 ◆신영증권=보통주 1주당 2500원 현금배당 ◆하나금융지주=더케이손해보험 자회사로 편입...,2020-05-28 06:39
