title,url,press,summary,date
"[경제 브리핑] SK, 빌게이츠 백신 지원금 44억 확보",/news/news_read.nhn?article_id=0003001689&office_id=025&mode=search&query=SK&page=17,중앙일보,SK바이오사이언스는 코로나19 백신 개발을 위해 빌앤드멜린다게이츠 재단에서 360만 달러(약 44억원)의 연구개발비를 지원받는다고 18일 밝혔다. SK는 코로나19 백신....,2020-05-19 00:05
이게 바로 윈-윈이다… ‘될성부른’ 사내벤처에 공들이는 재계,/news/news_read.nhn?article_id=0001322522&office_id=005&mode=search&query=SK&page=17,국민일보,SK그룹도 적극적이다. SK하이닉스는 2018년부터 ‘하이게러지(HiGarage)’ 프로그램을 운영하면서 구성원의 우수한 아이디어에 창업 기회를...,2020-05-19 00:23
수도권 입지규제 풀어 ‘기업 유턴’ 추진,/news/news_read.nhn?article_id=0003286713&office_id=020&mode=search&query=SK&page=17,동아일보,"앞서 15일 삼성, 현대자동차, LG, SK, 롯데 등 5개 그룹 전문경영인은 홍 부총리와 조찬 간담회를 열고 투자 활성화를 위한 지원과 규제개혁, 리쇼어링 지원 확대 등...",2020-05-19 03:01
"SK바이오사이언스 코로나 백신개발, 빌&멀린다 게이츠재단서 44억원 유치",/news/news_read.nhn?article_id=0003286819&office_id=020&mode=search&query=SK&page=17,동아일보,SK바이오사이언스는 18일 빌&멀린다 게이츠 재단으로부터 신종 코로나바이러스... SK바이오사이언스는 앞으로 전 세계 코로나19 백신 연구개발(R&D)을 주도하는...,2020-05-19 03:04
"""TSMC, 화웨이와 거래중단"" 소식에 시장 요동",/news/news_read.nhn?article_id=0003532096&office_id=023&mode=search&query=SK&page=17,조선일보,삼성전자와 SK하이닉스는 미국의 화웨이 제재가 미치는 영향을 분석하느라 분주하다. 미국의 제재가 D램 등 메모리 반도체로 확대되면 삼성전자와 S...,2020-05-19 03:04
11번가 아모레퍼시픽과 손잡고 라이브방송 진행,/news/news_read.nhn?article_id=0003466351&office_id=022&mode=search&query=SK&page=17,세계일보,"라이브방송 중 상품을 구매한 고객에게는 SK페이 포인트 2000포인트 적립, 방송 중 주문번호를 인증한 20명의 고객에게는 블랙 파운데이션, 블랙 스트랩 등으로 구성된.....",2020-05-19 03:04
"SKT, AR 기술로 프로야구 응원 지원",/news/news_read.nhn?article_id=0003466357&office_id=022&mode=search&query=SK&page=17,세계일보,"SK텔레콤은 SK 와이번스와 키움, NC, 삼성, 한화, 롯데 등 6개 한국야구위원회(KBO) 구단의 유니폼을 ‘점프 AR’ 동물에 적용한 ‘점...",2020-05-19 03:05
[장기투자가 답이다] 차곡차곡 담아둔 우량주…수년 뒤 열어보면 `알짜`,/news/news_read.nhn?article_id=0004577462&office_id=009&mode=search&query=SK&page=17,매일경제,"삼성전자, SK하이닉스 등 대형 우량주를 통해 수익을 내면서 그간 늘 손실만 본다는 개미투자자의 오명도 벗고 있다. 다만 최근에는 원유상품 투자...",2020-05-19 04:03
"SK바이오사이언스, 코로나 백신 개발 속도전",/news/news_read.nhn?article_id=0001322573&office_id=005&mode=search&query=SK&page=17,국민일보,빌&멜린다게이츠재단이 18일 SK바이오사이언스에 코로나19 백신 개발을 위한 지원금 44억원을 쾌척했다. SK바이오사이언스는 코로나19 백신 연...,2020-05-19 04:09
"'요금인가제' 폐지 임박…""통신비 인상""vs""통신비 경쟁""",/news/news_read.nhn?article_id=0003361319&office_id=079&mode=search&query=SK&page=17,노컷뉴스,인가제를 폐지하되 SK텔레콤 등 시장 지배적 사업자가 새로운 통신요금을 최초로 신고한 뒤 정부가 15일간 심사를 해 문제가 발견되면 반려할 수 ...,2020-05-19 04:42
코로나로 어려운데 미중 갈등 재점화까지…울고 싶은 삼성·SK·LG,/news/news_read.nhn?article_id=0004644629&office_id=421&mode=search&query=SK&page=17,뉴스1,"세계 메모리반도체 판매 1, 2위에 올라 있는 삼성전자와 SK하이닉스는 화웨이를... 삼성전자보다 사업구조가 메모리반도체로 단출한 SK하이닉스의...",2020-05-19 05:00
화웨이 앞길 막은 트럼프...국내 반도체주 득될까 독될까,/news/news_read.nhn?article_id=0002402311&office_id=119&mode=search&query=SK&page=17,데일리안,SK하이닉스는 800원(0.98%) 내린 8만1100원으로 마감했다. 이날 삼성전자는 장초반 약세를 보이다가 이내 상승세로 돌아섰지만 SK하이닉...,2020-05-19 05:00
큰 공장 1개 컴백에 울산 들썩이는데···머나먼 기업 유턴,/news/news_read.nhn?article_id=0003001733&office_id=025&mode=search&query=SK&page=17,중앙일보,SK하이닉스가 추진 중인 경기 용인의 반도체 클러스터 사업도 대규모 국내 투자로 주목받고 있다. SK하이닉스는 용인시 처인구 원삼면 일대 448...,2020-05-19 05:01
韓반도체 40%는 중국행…화웨이 무너지면 삼성·SK도 타격,/news/news_read.nhn?article_id=0004643536&office_id=018&mode=search&query=SK&page=17,이데일리,화웨이가 어려워지면 삼성전자나 SK하이닉스의 공급도 덩달아 줄어드는 것이다. 산업통상자원부 관계자는 “우리 주력 수출품목인 메모리반도체의 경쟁력...,2020-05-19 05:02
"이재용 부회장, 미중 분쟁 속 '7세대 V 낸드' 초격차 드라이브",/news/news_read.nhn?article_id=0009868333&office_id=003&mode=search&query=SK&page=16,뉴시스,"삼성전자, SK하이닉스와의 치열한 경쟁이 예상된다. 인텔은 올해 144단 낸드를 개발해 연내 144단 낸드가 들어간 SSD를 선보이겠다는 계획을...",2020-05-19 06:00
미중 반도체發 무역갈등 재고조…삼성전자·SK하이닉스에 약일까 독일까,/news/news_read.nhn?article_id=0009868311&office_id=003&mode=search&query=SK&page=16,뉴시스,삼성전자와 SK하이닉스에 불똥이 튀는게 아닌지 우려가 나오고 있다. 화웨이의... 삼성전자와 SK하이닉스 등 국내 반도체 업체에 직접적인 영향을...,2020-05-19 06:00
美 렌터카업계 파산 위기인데…韓은 롯데·SK 선두 경쟁 치열,/news/news_read.nhn?article_id=0000525034&office_id=366&mode=search&query=SK&page=16,조선비즈,롯데·SK 공격적 인수 나서 미국 렌터카 산업이 코로나 사태로 경영난에 빠진... 실제 SK렌터카는 지난 4~5월 황금연휴 기간 자사 제주 렌터...,2020-05-19 06:12
"[2020 여기, 타임캡슐에 담다] ③도심의 변신은 무죄… 을지로는 더이상 공구거...",/news/news_read.nhn?article_id=0000525030&office_id=366&mode=search&query=SK&page=16,조선비즈,상가정보연구소가 SK텔레콤 빅데이터 서비스 플랫폼 지오비전 통계를 분석한 결과 지난해 9월 기준 을지로3가의 일 평균 유동인구는 6만2000여명...,2020-05-19 06:12
네이버 통장·카카오 보험…테크핀 시장 격돌,/news/news_read.nhn?article_id=0001038691&office_id=214&mode=search&query=SK&page=16,MBC,"가운데, SK텔레콤은 고금리 예금을 내놓을 예정이고, 네이버도 이번 달 말에 통장을 출시합니다. 이미 확보하고 있는 가입자 4천 2백만 명의 검...",2020-05-19 06:49
제약바이오 업계도 고용시장 ‘꽁꽁’,/news/news_read.nhn?article_id=0002402324&office_id=119&mode=search&query=SK&page=16,데일리안,"GC녹십자와 SK케미칼, 동성제약 등 제약사와 휴온스와 티움바이오, 압타바이오 등 바이오기업이 참여한다. 이 밖에도 오스템임플란트, 바이오니아 ...",2020-05-19 07:00
공인인증서 사라지면…카카오·이통3사·은행연합 등 '춘추전국',/news/news_read.nhn?article_id=0011617125&office_id=001&mode=search&query=SK&page=16,연합뉴스,통신 3사(SK·KT·LGU+)와 핀테크 보안 기업 '아톤'이 만든 이 서비스는 출시 9개월여만인 올해 초 발급 건수 1천만건을 돌파하는 등 빠...,2020-05-19 07:01
[마켓인사이트]조금씩 풀리는 회사채시장…SK루브리컨츠·현대트랜시스 ‘흥행’,/news/news_read.nhn?article_id=0004343011&office_id=015&mode=search&query=SK&page=16,한국경제,기사입니다≫ SK루브리컨츠와 현대트랜시스가 회사채 발행에 나서 나란히... 19일 투자은행(IB)업계에 따르면 SK루브리컨츠가 2000억원 규모...,2020-05-19 07:01
화웨이와 손절한 TSMC.. 삼성은 웃고 하이닉스는 운다?,/news/news_read.nhn?article_id=0003739241&office_id=011&mode=search&query=SK&page=16,서울경제,(005930)와 SK하이닉스(000660)에 미칠 영향도 상당할 전망이다. 예상은 엇갈린다. 화웨이 스마트폰 판매량 감소 전망에 따라 삼성전자...,2020-05-19 07:07
"미중 갈등 변수…‘기로’ 韓반도체, 위기 돌파 어떻게?",/news/news_read.nhn?article_id=0000211743&office_id=374&mode=search&query=SK&page=16,SBS CNBC,"화웨이는 지난해 기준 삼성전자의 매출처 톱5에 포함돼 있고, SK하이닉스는 지난해 매출 절반가량이 중국에서 나왔기 때문입니다. 하지만 10년 내...",2020-05-19 07:17
"아파트 분양 불패 지역, 후속단지 기대감↑",/news/news_read.nhn?article_id=0000543889&office_id=417&mode=search&query=SK&page=16,머니S,"본격적인 분양시장이 열리면서 경기 감일지구와 광명시, 인천 송도국제도시, 대구 달서구 등 최근 호성적을 거둔 지역에 수요자의 관심이 다시 한 번...",2020-05-19 07:39
공인인증서 사라진다는데…대체 서비스 3파전,/news/news_read.nhn?article_id=0000871724&office_id=215&mode=search&query=SK&page=16,한국경제TV,통신 3사(SK·KT·LGU+)와 핀테크 보안 기업 '아톤'이 만든 이 서비스는 출시 9개월여만인 올해 초 발급 건수 1천만건을 돌파하는 등 빠...,2020-05-19 07:45
[주코노미TV] 코로나19 끝나도 'K바이오' 계속 성장한다,/news/news_read.nhn?article_id=0004343028&office_id=015&mode=search&query=SK&page=16,한국경제,녹십자와 SK바이오사이언스도 코로나19 백신을 개발 중입니다. ▶ 장경영 전문위원 코로나19 이후 유망한 산업을 조사했는데 ‘바이오·헬스케어’가...,2020-05-19 07:48
[빅데이터MSI]19일 오전 주식시장 심리 4단계 '보통',/news/news_read.nhn?article_id=0009868376&office_id=003&mode=search&query=SK&page=16,뉴시스,"시가총액 상위 종목 중 SK하이닉스는 1단계, LG화학은 2단계, 현대차는 3단계, 셀트리온은 7단계로 나타났다. 뉴시스와 코스콤은 250개 주...",2020-05-19 07:50
SK텔레콤 올해 자사주 취득 등 주주환원 증가 전망-하나금투,/news/news_read.nhn?article_id=0004410863&office_id=008&mode=search&query=SK&page=16,머니투데이,"하나금융투자는 19일 SK텔레콤이 올해 자사주 취득 등 늘어난 주주환원 활동을... 김홍식 연구원은 ""올해 SK텔레콤의 자사주 매입 가능성이 높고 7월 SK텔레콤이 중간....",2020-05-19 07:52
미중 반도체 전쟁 '불똥 튈라'…한국 기업들 긴장,/news/news_read.nhn?article_id=0000815497&office_id=055&mode=search&query=SK&page=16,SBS,"삼성전자와 SK하이닉스 매출 역시 줄어들 수 있습니다. 중국 정부가 자국 반도체 기업을 국유화해 집중 지원하려는 움직임을 보이는 가운데, 삼성 ...",2020-05-19 07:56
"SK텔레콤, 자사주 취득으로 주가 상승 기대-하나금투",/news/news_read.nhn?article_id=0004410864&office_id=008&mode=search&query=SK&page=16,머니투데이,"하나금융투자는 19일 SK텔레콤에 대해 올해 자사주 취득이 예상돼 주가 상승이 기대된다고 분석했다. 투자의견은 '매수', 목표주가는 33만원을 유지했다. 18일 종가는.....",2020-05-19 07:58
