title,url,press,summary,date
"[포토] SKT·KASAD, 5G 기반 제조 혁신 앞장선다",/news/news_read.nhn?article_id=0003459804&office_id=022&mode=search&query=SK텔레콤&page=1,세계일보,SK텔레콤은 24일 중소벤처기업부 산하 사단법인 한국스마트팩토리데이터협회와 국내 중견 및 중소·소공인 기업 대상 '제조 데이터 분석 기반 스마트...,2020-04-25 03:06
홍대 상권 내 카페 매출 감소세…젠트리피케이션·코로나19 영향,/news/news_read.nhn?article_id=0002398309&office_id=119&mode=search&query=SK텔레콤&page=1,데일리안,한편 상가정보연구소가 SK텔레콤 빅데이터 서비스 플랫폼 지오비전 통계를 통해 홍대 상권을 분석한 결과 올해 2월 기준 홍대 상권 일평균 유동인구...,2020-04-25 06:00
"[주목!e스몰캡]인크로스, SK그룹사 시너지 효과 기대",/news/news_read.nhn?article_id=0004627468&office_id=018&mode=search&query=SK텔레콤&page=1,이데일리,지난해 SK텔레콤(017670)이 인수한 효과를 올해 본격적으로 볼 것으로 관측되는 등 향후 실적도 견조하게 나올 것으로 평가되고 있습니다. 인...,2020-04-25 08:31
5월 중저가 스마트폰 대전 누가 웃을까,/news/news_read.nhn?article_id=0001666494&office_id=016&mode=search&query=SK텔레콤&page=1,헤럴드경제,"갤럭시A71은 SK텔레콤 전용 5G(세대) 스마트폰이다. 6400만화소 메인카메라에 1200만화소 광각카메라, 500만화소 매크로 카메라, 50...",2020-04-25 10:02
[김유성의 금융CAST]'양날의 검'이 된 저축성보험,/news/news_read.nhn?article_id=0004627582&office_id=018&mode=search&query=SK텔레콤&page=1,이데일리,"이런 구조는 SK텔레콤, KT, LG유플러스와 판매·대리점 간의 관계에서도 볼 수 있습니다. 이동통신사들이 많이 팔아야하는 스마트폰(예를 들면 ...",2020-04-25 13:01
[꿀팁!금융] 혜택·편리성 높이는 통신사 연계 금융상품,/news/news_read.nhn?article_id=0004627605&office_id=018&mode=search&query=SK텔레콤&page=1,이데일리,Sh수협은행은 지난 13일 SK텔레콤의 패스(PASS) 가입고객을 대상으로 한 ‘패스(PASS) 정기적금’을 출시했다. 6개월 만기로 매월 20...,2020-04-25 15:00
5G구축부터 패스까지 ‘뭉쳐야 산다’...적과 동침하는 통신사 왜?,/news/news_read.nhn?article_id=0003729547&office_id=011&mode=search&query=SK텔레콤&page=1,서울경제,적으로서 치열하게 치고받던 SK텔레콤·KT·LG유플러스(032640) 등 이동통신 3사가 최근 초월적 협력을 이어가고 있다. 가격 담합이 아닌 ...,2020-04-25 16:00
서울 대표 상권 홍대 마저...지난해 12월부터 카페 매출 감소세,/news/news_read.nhn?article_id=0004414524&office_id=014&mode=search&query=SK텔레콤&page=1,파이낸셜뉴스,25일 수익형부동산 연구개발기업 상가정보연구소가 SK텔레콤 빅데이터 서비스 플랫폼 지오비전 통계를 통해 홍대 상권을 분석한 결과 2020년 2월...,2020-04-25 16:34
"기사님, 조용히 가주세요 택시 ‘새 기능’ 이용해봤더니",/news/news_read.nhn?article_id=0000490827&office_id=469&mode=search&query=SK텔레콤&page=1,한국일보,SK텔레콤의 택시 호출 어플리케이션(앱) T맵 택시는 이 같은 승객들의 고충을 반영해 최근 ‘조용히 가고 싶어요’라는 요청 기능을 선보였습니다....,2020-04-25 18:02
"T1, ‘LCK V9’ 대업 달성…페이커 코로나19 속 팬들 응원에 감사(종합...",/news/news_read.nhn?article_id=0004627637&office_id=018&mode=search&query=SK텔레콤&page=1,이데일리,라이엇 게임즈 제공[이데일리 노재웅 기자] T1이 전신 SK텔레콤(017670) T1 시절부터 이어온 전설적인 행보를 계속해서 이어갔다. 리그오...,2020-04-25 21:20
