title,url,press,summary,date
국내 200대 상장사 여성 등기임원은 39명 뿐…2.7%에 그쳐,/news/news_read.nhn?article_id=0011456134&office_id=001&mode=search&query=SK하이닉스&page=2,연합뉴스,"(한세실업) 등 3명이, 사외이사 후보에는 한애라 성균관대 교수(SK하이닉스), 제니스 리 김앤장 고문(삼성물산), 이젬마 경희대 교수(미래에셋...",2020-03-08 07:05
"코로나 장기화에 기업 재택근무 연장…""스마트워크 확산 계기도""",/news/news_read.nhn?article_id=0011456161&office_id=001&mode=search&query=SK하이닉스&page=2,연합뉴스,SK하이닉스는 SK그룹 차원의 재택근무에서 제외됐다. SK하이닉스는 임신부 특별휴가 기간을 기존의 '2.25∼3.8'에서 22일까지로 늘리고 가...,2020-03-08 08:01
국내 200대 상장사 여성 등기임원 39명...전체 2.7% 불과,/news/news_read.nhn?article_id=0009744079&office_id=003&mode=search&query=SK하이닉스&page=2,뉴시스,"사외이사 후보에는 한애라 성균관대 교수(SK하이닉스), 제니스 리 김앤장 고문(삼성물산), 이젬마 경희대 교수(미래에셋대우) 등 17명이 포함됐...",2020-03-08 08:20
코로나19 확산에 고용지표 개선 '제동'…세수 '적신호',/news/news_read.nhn?article_id=0004592343&office_id=018&mode=search&query=SK하이닉스&page=1,이데일리,"지난해 삼성전자(005930), SK하이닉스(000660) 등 반도체 기업의 실적이 악화해 올해 납부되는 법인세가 급격히 줄어들 전망이다. 여기...",2020-03-08 08:31
[마켓포인트]코스피 주간 기관 순매수 1위 'SK하이닉스',/news/news_read.nhn?article_id=0004592382&office_id=018&mode=search&query=SK하이닉스&page=1,이데일리,김성훈,2020-03-08 09:44
"외국인, 4주 연속 '팔자'…한진칼 가장 많이 담아",/news/news_read.nhn?article_id=0004638548&office_id=277&mode=search&query=SK하이닉스&page=1,아시아경제,"이어 SK하이닉스를 2574억원 팔았다. 이밖에 삼성전자우(1931억원), 현대차(1528억원), SK이노베이션(779억원), SK(565억원), 카카오(441억원), 한...",2020-03-08 10:00
국내 200대 상장사 여성 등기임원 39명…전체 2.7% 불과,/news/news_read.nhn?article_id=0004592403&office_id=018&mode=search&query=SK하이닉스&page=1,이데일리,"등 3명, 사외이사 후보에는 한애라 성균관대 교수(SK하이닉스), 제니스 리 김앤장 고문(삼성물산), 이젬마 경희대 교수(미래에셋대우) 등 17...",2020-03-08 10:13
[이번주 증시] 팬데믹 공포에 널뛰는 투심…'확산추이 관건',/news/news_read.nhn?article_id=0000528646&office_id=031&mode=search&query=SK하이닉스&page=1,아이뉴스24,"한대훈 SK증권 주식전략 담당 연구원은 ""정답은 역시 주도주에 있다""며 ""데이터센터 증설 수혜가 기대되는 삼성전자와 SK하이닉스, 한국형 플랫폼...",2020-03-08 10:41
中 의존도 높아진 하이닉스 코로나에 긴장,/news/news_read.nhn?article_id=0003706206&office_id=011&mode=search&query=SK하이닉스&page=1,서울경제,SK하이닉스(000660)의 중국 의존도가 꾸준히 높아지고 있다. 미중 무역분쟁 등의 영향으로 지난해 SK하이닉스의 중국 매출 비중은 전년 대비...,2020-03-08 11:24
8일부터 삼성전자·SK하이닉스·현대차 등 105개사 전자투표 실시,/news/news_read.nhn?article_id=0004638617&office_id=277&mode=search&query=SK하이닉스&page=1,아시아경제,"8일 예탁결제원에 따르면 이날부터 삼성전자·현대모비스 등이, 9일부터 현대자동차·현대글로비스 등이, 10일부터 삼성물산·에스케이하이닉스·종근당바이오...",2020-03-08 11:27
국내 200대 상장사 여성임원 100명 중 3명뿐,/news/news_read.nhn?article_id=0004638689&office_id=277&mode=search&query=SK하이닉스&page=1,아시아경제,"(한세실업) 등 3명이, 사외이사 후보에는 한애라 성균관대 교수(SK하이닉스), 제니스 리 김앤장 고문(삼성물산), 이젬마 경희대 교수(미래에셋...",2020-03-08 14:09
국내 200대 상장사 여성 등기임원 39명…전체 임원의 달랑 2.7%,/news/news_read.nhn?article_id=0003445086&office_id=022&mode=search&query=SK하이닉스&page=1,세계일보,"(한세실업) 등 3명이, 사외이사 후보에는 한애라 성균관대 교수(SK하이닉스), 제니스 리 김앤장 고문(삼성물산), 이젬마 경희대 교수(미래에셋...",2020-03-08 14:24
서버D램 3년만의 가격상승 전망…코로나19 충격 상쇄,/news/news_read.nhn?article_id=0001645514&office_id=016&mode=search&query=SK하이닉스&page=1,헤럴드경제,"김동원·황고운 KB증권 연구원은 “1분기 현재 삼성전자, SK하이닉스 등의 서버 D램 주문은 기존 예상을 크게 상회하며 수요가 공급을 20% 이...",2020-03-08 14:41
코로나19 여파… 기업들 재택근무 연장 잇따라,/news/news_read.nhn?article_id=0003445096&office_id=022&mode=search&query=SK하이닉스&page=1,세계일보,"SK하이닉스는 SK그룹 차원의 재택근무에서 제외됐다. SK하이닉스 관계자는 “반도체 산업의 보안, 기술개발 연속성, 생산시설 24시간 가동 등의...",2020-03-08 14:49
코로나19 여파로 주요기업 재택근무 연장…스마트워크 활용에도 적극 나서,/news/news_read.nhn?article_id=0003539414&office_id=076&mode=search&query=SK하이닉스&page=1,스포츠조선,"SK그룹 계열사인 SK하이닉스도 재택근무에서 제외됐다. 대신 임신부 특별휴가 기간을 2월 25일에서 3월 22일까지로 연장하고, 가족돌봄휴가 사용일을 10일에서 30일로....",2020-03-08 14:58
삼성電·SK하이닉스·현대차 등 8일부터 전자투표 실시,/news/news_read.nhn?article_id=0004592626&office_id=018&mode=search&query=SK하이닉스&page=1,이데일리,"8일부터 삼성전자·현대모비스 등이, 9일부터 현대자동차·현대글로비스 등이, 10일부터 삼성물산·에스케이하이닉스·종근당바이오·한진중공업홀딩스 등이 이용...",2020-03-08 15:47
메모리 반도체 가격 상승세…삼성전자·SK하이닉스 실적 기대,/news/news_read.nhn?article_id=0004303004&office_id=015&mode=search&query=SK하이닉스&page=1,한국경제,세계 1~2위 메모리반도체 기업인 삼성전자와 SK하이닉스의 재고가 소진되는 시점과 맞물려 글로벌 서버 수요가 살아남으로써 이들 기업의 올해 실적...,2020-03-08 16:13
주가 조정받자…SK계열사 자사주 매입 러시,/news/news_read.nhn?article_id=0004532174&office_id=009&mode=search&query=SK하이닉스&page=1,매일경제,SK그룹은 SK하이닉스를 제외하면 실적 부진을 겪고 있다. 가장 눈에 띄는 계열사는 SK네트웍스다. SK네트웍스는 지난 1년 사이 주가가 19.7% 폭락한 상태다. 그만큼...,2020-03-08 17:02
컨퍼런스콜 서비스 기업 `텔레투게더` 콜 늘었다,/news/news_read.nhn?article_id=0004532191&office_id=009&mode=search&query=SK하이닉스&page=1,매일경제,우리나라 주요 기업의 사내회의뿐 아니라 삼성전자 SK하이닉스 KB금융 등 국내 주요 상장사의 분기 실적 발표 컨퍼런스콜도 텔레투게더가 담당한다....,2020-03-08 17:22
"외국인이 던진 삼성전자, 개미 '4兆 싹쓸이'",/news/news_read.nhn?article_id=0004303068&office_id=015&mode=search&query=SK하이닉스&page=1,한국경제,"이 기간 삼성전자를 2조2447억원, SK하이닉스를 7674억원어치 팔아치웠다. 같은 기간 개인투자자들이 기록적인 매수세를 보이며 외국인들의 매...",2020-03-08 17:41
"中, 한국인 비자 발급 사실상 중단…삼성전자·SK하이닉스 ""애가 탄다""",/news/news_read.nhn?article_id=0004303111&office_id=015&mode=search&query=SK하이닉스&page=1,한국경제,"삼성전자, SK하이닉스 등 중국에 진출한 국내 대기업과 협력업체들은 중국 공장 운영에 차질을 빚을까봐 노심초사하고 있다. 최근 비자를 신청한 임...",2020-03-08 18:35
코로나19 장기화에 기업 재택근무 기간 늘어나,/news/news_read.nhn?article_id=0000986818&office_id=082&mode=search&query=SK하이닉스&page=1,부산일보,"SK하이닉스도 SK그룹 차원의 재택근무에서 제외됐다. SK하이닉스는 가족돌봄휴가 사용일을 10일에서 30일로 확대했지만, 재택근무는 고려하지 않...",2020-03-08 19:23
"삼성전자·TSMC, 퀄컴·브로드컴 맞손..5나노 파운드리 경쟁 본격화",/news/news_read.nhn?article_id=0004592694&office_id=018&mode=search&query=SK하이닉스&page=1,이데일리,"실제 D램 메모리 반도체에선 ‘초(超)격차’ 기술을 바탕으로 삼성전자가 시장의 전체 절반을 차지한 가운데 SK하이닉스, 미국 마이크론 등 ‘빅(...",2020-03-08 20:16
