title,url,press,summary,date
"韓기업 생산기지, 코로나19 확산 여파에 잇달아 가동 중단(종합)",/news/news_read.nhn?article_id=0009793721&office_id=003&mode=search&query=기아차&page=2,뉴시스,"기아차는 미국 조지아 공장과 유럽 슬로바키아 질리나 공장, 인도 공장이 가동을... 현대·기아차 해외 공장이 멈추면서 현대제철도 가동 중단이 불...",2020-04-03 00:00
"현대·기아차, 코로나19에 보증수리 기간 연장",/news/news_read.nhn?article_id=0009793730&office_id=003&mode=search&query=기아차&page=2,뉴시스,"현대차·기아차 전국 서비스네트워크(전국 서비스센터 및 블루핸즈/오토큐)를 방문해 보증 수리를 받으면 된다. 현대차·기아차 관계자는 ""코로나19 ...",2020-04-03 00:54
'감염보다 무서운 감원'…'코로나 구조조정' 현실로,/news/news_read.nhn?article_id=0003344495&office_id=079&mode=search&query=기아차&page=2,노컷뉴스,"현대차와 기아차의 해외공장이 가동을 멈추자 일감이 더욱 감소한 자동차 부품업체 가운데는 생산직의 3분의 1을 내보내고, 관리직도 교대 근무 중인...",2020-04-03 04:11
항공·정유업계 신용도 줄하락… 국내 기업 신용등급 ‘초비상’,/news/news_read.nhn?article_id=0000483943&office_id=469&mode=search&query=기아차&page=2,한국일보,또 무디스는 지난 2월 현대제철의 신용등급을 Baa3로 하향 조정한 데 이어 현대차와 기아차의 신용등급 하향 여부도 검토 중이다. ◇상대적 선방...,2020-04-03 04:33
"코로나 어닝쇼크 예고… 주요기업 1분기 영업익 전망, 한달 새 2.6조↓",/news/news_read.nhn?article_id=0000483944&office_id=469&mode=search&query=기아차&page=2,한국일보,"현대ㆍ기아차의 해외 12개 생산기지는 중국을 제외하고 모두 생산을 멈췄거나... 현대차와 기아차는 한 달 만에 각각 20.9%, 15.1%씩 실...",2020-04-03 04:33
"[구조조정 칼바람] 車업계 ""임금인상? 일자리부터 걱정해야""",/news/news_read.nhn?article_id=0002393293&office_id=119&mode=search&query=기아차&page=2,데일리안,"현대차 노조의 요구안이 같은 계열의 기아차 노조의 가이드라인이 될 수 있고, 한국GM 및 부품업체 노조에도 영향을 미친다. 기아차 노조는 201...",2020-04-03 05:00
"현대·기아차, 해외공장 셧다운 연장…‘3월보다 더 두려운 4월’",/news/news_read.nhn?article_id=0003079420&office_id=081&mode=search&query=기아차&page=1,서울신문,2일 현대·기아차에 따르면 문을 닫은 해외 공장의 재가동 시점이 잇달아 연기되고... 기아차 조지아 공장도 이달 10일까지 더 쉬기로 했다. 3...,2020-04-03 05:07
"'쾌속질주 급제동' 현대·기아차, 3월 美 판매 30% 급감",/news/news_read.nhn?article_id=0004561506&office_id=421&mode=search&query=기아차&page=1,뉴스1,현대·기아차의 지난달 미국 시장 판매 실적이 급감했다. 신종 코로나바이러스... 3일 현대·기아차 및 외신 등에 따르면 현대·기아차는 지난달 미...,2020-04-03 05:10
"3월 미국 車판매, 코로나로 38% 역성장…현대·기아 31%↓",/news/news_read.nhn?article_id=0009793759&office_id=003&mode=search&query=기아차&page=1,뉴시스,현대·기아차의 현지 판매도 31% 감소했다. 신종 코로나바이러스 감염증의... 현대·기아차의 양사 합산 판매는 31% 감소한 8만1000대 수준...,2020-04-03 05:22
'연봉 3500만원 車공장'은 끝내 꿈이었나…,/news/news_read.nhn?article_id=0004388548&office_id=008&mode=search&query=기아차&page=1,머니투데이,현대차와 기아차는 민주노총(전국민주노동조합총연맹)의 핵심 사업장이다. 광주형일자리 사업엔 현대차가 500억원 정도를 투자할 예정이었다. 때문에 ...,2020-04-03 05:30
"현대·기아차, 유럽선 공장 멈추고 미국선 판매 급감(종합)",/news/news_read.nhn?article_id=0009793764&office_id=003&mode=search&query=기아차&page=1,뉴시스,"3만6000대, 기아차는 19% 감소한 4만5000대를 각각 판매했다. 양사 합산 판매... 현대차에 비해 공장가동일수가 많은 기아차의 사정은 ...",2020-04-03 05:49
"코로나19 여파에도 반도체 생산 증가, 왜?",/news/news_read.nhn?article_id=0004388578&office_id=008&mode=search&query=기아차&page=1,머니투데이,"대표적으로 전 세계 9개 국가에서 14개 완성차 생산공장을 가동 중인 현대기아차... 감소했고, 기아차도 202만대 수준에서 75만대로 전체 생...",2020-04-03 06:20
"[기자의 눈] 전기차 배터리 전쟁, '순망치한' 되새겨야",/news/news_read.nhn?article_id=0002393311&office_id=119&mode=search&query=기아차&page=1,데일리안,이를테면 플랫폼을 공유하는 현대차 아이오닉과 기아차 니로의 경우... 만일 이 중 한 업체가 사라진다면 다른 한 곳이 현대·기아차의 배터리 공급...,2020-04-03 07:00
"[빅데이터MSI]시장심리 톱5, 빙그레·농심·LG생활건강·네이버·LG유플러스",/news/news_read.nhn?article_id=0009794000&office_id=003&mode=search&query=기아차&page=1,뉴시스,시장심리가 낮은 '워스트5'에는 대한항공·OCI·현대차·풍산·기아차가 꼽혔다.... 기아차의 MSI지수는 전 거래일보다 6단계 하락한 1단계 '...,2020-04-03 09:34
해외공장 '셧다운' 공포…韓기업 생산도 판매도 어쩌나,/news/news_read.nhn?article_id=0000532758&office_id=031&mode=search&query=기아차&page=1,아이뉴스24,"기아차는 미국 조지아 공장과 유럽 슬로바키아 질리나 공장, 인도 공장이 가동을 중단한 상태다. 멕시코 공장도 6~8일 가동을 중단하기로 했다. ...",2020-04-03 09:40
코로나19 여파 기업 신용등급 줄하향…자금조달 비상,/news/news_read.nhn?article_id=0011520403&office_id=001&mode=search&query=기아차&page=1,연합뉴스,"또 현대차(Baa1), 기아차(Baa1), 현대모비스(Baa1), 현대글로비스(Baa1), 한화생명(A1)... 아울러 현대차(BBB+), 기아...",2020-04-03 10:12
무디스 아태기업 20% 코로나 쇼크,/news/news_read.nhn?article_id=0001657458&office_id=016&mode=search&query=기아차&page=1,헤럴드경제,"이같은 전망에는 현대·기아차와 한화토탈, 롯데쇼핑 등 국내 기업들도 포함돼... 노출도가 높은 자동차 업체 중 국내에서는 현대차와 기아차, 현대...",2020-04-03 10:15
코로나19 여파 기업 신용등급 줄줄이 하락…자금조달 비상,/news/news_read.nhn?article_id=0001439820&office_id=057&mode=search&query=기아차&page=1,MBN,"또 현대차(Baa1), 기아차(Baa1), 현대모비스(Baa1), 현대글로비스(Baa1), 한화생명(A1)... 아울러 현대차(BBB+), 기아차(BBB+), 현대모비스(...",2020-04-03 10:52
수입차 판매 12% 증가..코로나 효과로 차 잘 팔린다?,/news/news_read.nhn?article_id=0003520608&office_id=023&mode=search&query=기아차&page=1,조선일보,"기아차는 15.3% 뛰어 5만1008대를 기록했다. 현대·기아차의 해외 판매가 각각 26%, 11% 감소한 것과 정반대의 상황이다. 르노삼성 역...",2020-04-03 10:55
"무디스 亞太기업 20%, 코로나 리스크 심각",/news/news_read.nhn?article_id=0001657598&office_id=016&mode=search&query=기아차&page=1,헤럴드경제,"이같은 전망에는 현대·기아차와 한화토탈, 롯데쇼핑 등 국내 기업도 포함돼... 노출도가 높은 자동차 업체 중 국내에서는 현대차와 기아차, 현대모비스 모두...",2020-04-03 11:22
"기아차 광주공장 노사, 코로나 극복 헌혈",/news/news_read.nhn?article_id=0011520842&office_id=001&mode=search&query=기아차&page=1,연합뉴스,"기아차 관계자는 3일 ""코로나19 감염증 확산으로 부족한 혈액 수급 문제에 조금이나마 보탬이 되고자 노사가 함께 헌혈캠페인을 추진하기로 했다""며...",2020-04-03 11:26
"기아차 광주공장 노사, 코로나19 극복 헌혈 참여",/news/news_read.nhn?article_id=0011520848&office_id=001&mode=search&query=기아차&page=1,연합뉴스,기아자동차 광주공장 노사가 신종 코로나바이러스 감염증(코로나19) 위기 극복을 위한 헌혈 행사를 한다고 3일 밝혔다. 노사 임직원들은 대한적십자...,2020-04-03 11:28
"세컨드카도 큰 차가 인기…케이카, 설문조사 결과 발표",/news/news_read.nhn?article_id=0000532833&office_id=031&mode=search&query=기아차&page=1,아이뉴스24,"차종별 희망 모델에는 각각 기아자동차 카니발, 기아차 모닝, 포르쉐 911, 쉐보레 콜로라도 등이 꼽혔다. 세컨드카 구매 예산을 묻는 질문에는 ...",2020-04-03 15:03
완성차 유럽판매도 '비상'…현대차 53%↓·기아차 32%↓,/news/news_read.nhn?article_id=0009795007&office_id=003&mode=search&query=기아차&page=1,뉴시스,기아차의 유럽 소매 판매도 32% 감소한 3만3000대를 나타냈다. 지난 3일 오전 9시... 기아차 슬로바키아 공장 역시 23일부터 3일까지 ...,2020-04-03 15:37
현금곳간 채우는 기업들…107조 `역대 최고`,/news/news_read.nhn?article_id=0004550503&office_id=009&mode=search&query=기아차&page=1,매일경제,기아차는 보유 현금이 1년 새 86.2% 증가했다. 지난해 말 기준 현금자산은 4조2687억원에 이른다. 예금이 4조2686억원이며 나머지는 현...,2020-04-03 17:37
삼성 미국 공장도 멈춰…국내 기업 신용등급 줄줄이 '하향',/news/news_read.nhn?article_id=0000235186&office_id=437&mode=search&query=기아차&page=1,JTBC,현대차와 기아차는 중국 공장만 유지하고 있습니다. 해외 주요 신용등급 평가사들은 국내 기업들의 신용 등급을 줄줄이 낮췄습니다. 무디스는 LG화학...,2020-04-03 20:49
