title,url,press,summary,date
[株머니 주요산업 증시기상도] 반도체·2차전지株 과매도 국면…반등 모색 기대감,/news/news_read.nhn?article_id=0004545209&office_id=009&mode=search&query=삼성SDI&page=2,매일경제,◆ 2차전지 삼성SDI 최근 한 달간 시가총액이 10조원 감소했다. 이를 2020년 이익규모로 환산하면 70% 가까이 영업이익이 증발했음을 의미...,2020-03-27 04:05
"[특징주] 시총상위주, 코스피 급등 속 일제히 '상승'",/news/news_read.nhn?article_id=0000531584&office_id=031&mode=search&query=삼성SDI&page=2,아이뉴스24,"이외에도 삼성물산(3.44%)과 삼성전자(3.24%), 삼성SDI(3.23%), LG화학(3.01%)가 일제히 3%대 강세다. LG생활건강(2.57%)과 삼성바이오로직스(...",2020-03-27 09:10
롯데쇼핑·CJ CGV·오비맥주…1등 기업도 위험하다,/news/news_read.nhn?article_id=0000064912&office_id=024&mode=search&query=삼성SDI&page=2,매경이코노미,"LG화학은 전기차 배터리 시장에서 삼성SDI, SK이노베이션을 제치고 국내 1위를 달리지만 결코 안심할 수 없는 처지다. SK이노베이션과 소송전...",2020-03-27 09:11
"재계·금융사 비상경영 돌입 | 삼성, 민간외교로 입국제한 풀어현대차, 올들어 생산...",/news/news_read.nhn?article_id=0000064915&office_id=024&mode=search&query=삼성SDI&page=2,매경이코노미,"또 삼성디스플레이, 삼성SDI 등 전자 관계사의 공장과 카메라 모듈, 기판 등 삼성 협력사가 모여 있다. LG디스플레이 직원 역시 베트남 입국을...",2020-03-27 09:12
"코스피, 4% 급등해 1,750선 회복 출발(종합)",/news/news_read.nhn?article_id=0011502933&office_id=001&mode=search&query=삼성SDI&page=2,연합뉴스,"시가총액 상위 종목은 SK하이닉스(4.96%), 네이버(4.59%), 현대차(3.65%), 삼성물산(3.09%), 셀트리온(3.03%), LG화...",2020-03-27 09:23
"코스피, 美 증시 폭등에 상승세…외국인 '팔자' 규모 축소",/news/news_read.nhn?article_id=0004314184&office_id=015&mode=search&query=삼성SDI&page=2,한국경제,네이버 셀트리온 LG화학 현대차 삼성SDI 현대모비스 SK텔레콤도 상승세다. 코스닥지수도 오르고 있다. 같은 시간 코스닥은 전날보다 20.65포...,2020-03-27 09:23
"[개장] 미국 경기부양책 기대감, 코스피 4% 급등… 1750선 출발",/news/news_read.nhn?article_id=0000523338&office_id=417&mode=search&query=삼성SDI&page=2,머니S,"삼성전자(3.35%), SK하이닉스(5.08%), 삼성전자우(3.07%), 삼성바이오로직스(1.64%), 네이버(4.26%), 현대차(4.36%...",2020-03-27 09:26
[특징주]코스피 반등 속 삼성전자 등 시총 상위주 일제히 상승,/news/news_read.nhn?article_id=0003715837&office_id=011&mode=search&query=삼성SDI&page=2,서울경제,"03%), LG화학(051910)(2.34%), 현대차(005380)(3.77%), 삼성SDI(006400)(2.82%), LG생활건강(051900)(2.66%), 삼성물...",2020-03-27 09:30
코스피·코스닥 4%내외 급등…한은 양적완화·美 경기부양책 영향,/news/news_read.nhn?article_id=0004547236&office_id=421&mode=search&query=삼성SDI&page=2,뉴스1,"삼성전자(2.41%), SK하이닉스(5.08%), 삼성전자우(2.33%), 삼성바이오로직스(1.20%), 네이버(5.57%), 셀트리온(2.48...",2020-03-27 09:31
코스피·코스닥 동반 강세…美 부양책 낙수효과 기대,/news/news_read.nhn?article_id=0004545347&office_id=009&mode=search&query=삼성SDI&page=2,매일경제,"SK하이닉스, 현대모비스, NAVER 등이 5% 이상 뛰었고 삼성전자, 삼성바이오로직스, 셀트리온, LG화학, 현대차, 삼성SDI 등이 연이어 ...",2020-03-27 09:32
[특징주] 코스피 반등에 시총 상위주 상승… 삼성전자 3% '강세',/news/news_read.nhn?article_id=0000523350&office_id=417&mode=search&query=삼성SDI&page=1,머니S,"삼성전자가 3.24% 오른 4만9350원을 기록했고 SK하이닉스(4.34%), 삼성바이오로직스(1.2%), NAVER(5.9%), 셀트리온(2....",2020-03-27 09:39
미 증시 사흘간 최대 상승…코스피 3%대 ↑,/news/news_read.nhn?article_id=0002391773&office_id=119&mode=search&query=삼성SDI&page=1,데일리안,"57%), 삼성SDI(2.02%) 등 줄줄이 상승세를 기록중이다. 코스닥 시장은 전장대비 20.36포인트(3.94%) 상승한 537.16을 기록...",2020-03-27 09:42
"中, 28일부터 외국인 입국금지...삼성·LG·SK 등 ""큰 문제 없어""",/news/news_read.nhn?article_id=0009780960&office_id=003&mode=search&query=삼성SDI&page=1,뉴시스,"톈진, 시안 등 중국에 공장 3곳을 보유한 삼성SDI의 경우에도 ""코로나19 이후에도 중국 공장은 잘 가동되고 있다""며 ""중국이 외국인 입국을 ...",2020-03-27 10:41
"코스피, 4% 급등 출발…환율은 하락",/news/news_read.nhn?article_id=0001654438&office_id=016&mode=search&query=삼성SDI&page=1,헤럴드경제,"01%), 삼성SDI(0.60%), 삼성물산(2.41%) 등 10위권 내 대부분 종목이 올랐다. 같은 시각 코스닥지수는 전 거래일보다 18.58포인트(3.60%) 오른 5...",2020-03-27 10:50
