title,url,press,summary,date
"이재용 소환에 길어지는 사법리스크...재계·학계 ""삼성, 코로나·미중분쟁에 재판까...",/news/news_read.nhn?article_id=0009882489&office_id=003&mode=search&query=삼성물산&page=4,뉴시스,"김종민 고은결 기자 = 이재용 삼성전자 부회장이 삼성물산-제일모직 합병, 삼성바이오로직스 분식 등 경영권 승계를 둘러싼 의혹과 관련해 26일 검...",2020-05-27 00:00
"[서재근의 Biz이코노미] 삼성 총수 이재용, '카렌시아' 조차 없는 '투우(鬪牛...",/news/news_read.nhn?article_id=0000027122&office_id=629&mode=search&query=삼성물산&page=3,더팩트,지난 2015년 삼성물산과 제일모직 합병 과정에서 불거진 여러 불법 의혹과 관련해 이 부회장이 과거 그룹 컨트롤타워 역할을 했던 미래전략실에서 ...,2020-05-27 00:01
"이재용, 검찰 조사 17시간만에 귀가…""지시한 적 없다""",/news/news_read.nhn?article_id=0009882502&office_id=003&mode=search&query=삼성물산&page=3,뉴시스,이재용 삼성전자 부회장이 삼성물산과 제일모직 합병 의혹 등과 관련해 검찰에 출석한지 17시간만에 귀가했다. 27일 검찰에 따르면 서울중앙지검 경...,2020-05-27 02:09
'삼성합병 의혹' 이재용 조사 17시간만에 종료…혐의 부인(종합),/news/news_read.nhn?article_id=0004659909&office_id=421&mode=search&query=삼성물산&page=3,뉴스1,"이장호 기자,서미선 기자 = 이재용 삼성전자 부회장의 삼성물산과 제일모직 합병 및 부정승계 의혹에 대한 검찰의 첫 소환조사가 17시간만에 종료됐...",2020-05-27 02:15
"17시간 조사 받은 이재용 합병·회계부정, 보고도 지시도 없었다",/news/news_read.nhn?article_id=0003743210&office_id=011&mode=search&query=삼성물산&page=3,서울경제,이 부회장은 이날 검찰 조사에서 삼성바이오로직스 회계처리 및 삼성물산 합병 등을 둘러싼 의혹에 대해 “(해당 과정에 대해) 보고받거나 지시한 사...,2020-05-27 02:27
이재용 ‘삼성 합병’ 검찰조사… 의혹 강력 부인,/news/news_read.nhn?article_id=0003288294&office_id=020&mode=search&query=삼성물산&page=3,동아일보,"서울중앙지검 경제범죄형사부(부장검사 이복현)는 이 부회장을 상대로 2015년 삼성물산과 제일모직 합병 과정, 제일모직 자회사인 삼성바이오의 분식회계 의혹 등을...",2020-05-27 03:02
이재용 17시간 검찰 조사받고 귀가…재소환 가능성,/news/news_read.nhn?article_id=0000873660&office_id=215&mode=search&query=삼성물산&page=3,한국경제TV,이재용(52) 삼성전자 부회장이 삼성물산-제일모직 합병과 경영권 승계를 둘러싼 의혹으로 17시간 동안 검찰 조사를 받고 27일 오전 귀가했다. ...,2020-05-27 05:52
"이재용, 경영권 승계 관련 검찰 조사…의혹 강력 부인",/news/news_read.nhn?article_id=0000212363&office_id=374&mode=search&query=삼성물산&page=3,SBS CNBC,"검찰은 이 부회장을 상대로 경영권 승계를 위해 삼성물산과 제일모직 합병 과정, 그리고 삼성바이오로직스 회계처리 과정 등에 관여했는지 여부를 전반...",2020-05-27 06:42
대국민 사과 20일 만에 검찰 소환…이재용의 숨 가빴던 5월,/news/news_read.nhn?article_id=0004659995&office_id=421&mode=search&query=삼성물산&page=3,뉴스1,이 부회장은 삼성물산과 제일모직 합병 및 부정승계 의혹에 대한 조사를 받기 위해 26일 오전 8시쯤 검찰에 출석했다. 이 부회장이 검찰에 출석해...,2020-05-27 06:53
"[모닝브리핑] 고2 이하 237만명 등교…뉴욕증시, 경제 재개 기대감에 급등",/news/news_read.nhn?article_id=0004348107&office_id=015&mode=search&query=삼성물산&page=3,한국경제,◆ 이재용 17시간 검찰 조사받고 새벽 귀가 이재용(52) 삼성전자 부회장이 삼성물산-제일모직 합병과 경영권 승계를 둘러싼 의혹으로 17시간 동...,2020-05-27 06:58
"이재용 17시간 검찰 조사…""합병·승계 지시나 보고 없었다""",/news/news_read.nhn?article_id=0000873674&office_id=215&mode=search&query=삼성물산&page=3,한국경제TV,이재용 삼성전자 부회장이 삼성물산-제일모직 합병과 경영권 승계를 둘러싼 의혹으로 자정을 넘긴 27일 새벽까지 약 17시간 동안 검찰 조사를 받고...,2020-05-27 07:20
"이재용 ""부정 승계 보고·지시 없어""...17시간 조사 후 귀가",/news/news_read.nhn?article_id=0002403903&office_id=119&mode=search&query=삼성물산&page=3,데일리안,이재용 삼성전자 부회장이 삼성물산·제일모직 합병과 경영권 부정 승계를 둘러싼 의혹과 관련 약 17시간 동안 검찰 조사를 받고 27일 오전 귀가했...,2020-05-27 07:30
불공정 얼룩진 재건축 수주전…클린 사업장 '말뿐',/news/news_read.nhn?article_id=0000430374&office_id=422&mode=search&query=삼성물산&page=3,연합뉴스TV,수주전을 벌이는 건설사는 대우건설과 삼성물산. 대우건설은 A씨가 삼성물산과 공모해 자사를 비방하고 삼성물산을 대리 홍보했다며 경찰에 고발했습니다...,2020-05-27 08:16
'삼성합병' 18개월 수사 종료 국면…사법처리 여부 주목,/news/news_read.nhn?article_id=0009882648&office_id=003&mode=search&query=삼성물산&page=3,뉴시스,검찰이 삼성물산과 제일모직 합병 의혹 등 이 사건 정점에 있는 이재용 삼성전자 부회장을 소환 조사하면서 1년6개월간 진행됐던 수사가 마무리 국면...,2020-05-27 08:30
"[빅데이터MSI]시장심리 톱5, LG화학·카카오·삼성SDI·현대로템·SK이노베이션",/news/news_read.nhn?article_id=0009882666&office_id=003&mode=search&query=삼성물산&page=3,뉴시스,시장심리가 낮은 '워스트5'에는 삼성물산·세아베스틸·국도화학·LG유플러스·금호타이어가 꼽혔다. 삼성물산의 시장심리지수는 전 거래일보다 4단계 내...,2020-05-27 08:45
지방 분양시장 10대 브랜드가 싹쓸이...평균경쟁률 ‘37대1’,/news/news_read.nhn?article_id=0001678487&office_id=016&mode=search&query=삼성물산&page=3,헤럴드경제,"현대건설 ‘힐스테이트’, 삼성물산 ‘래미안’, 대우건설 ‘푸르지오’, GS건설 ‘자이’, 대림산업 ‘e편한세상’, 현대산업개발 ‘아이파크’, 포...",2020-05-27 08:50
"""90년대 벙거지의 진화""…삼성물산 패션, '버킷햇' 라인 눈길",/news/news_read.nhn?article_id=0004660127&office_id=421&mode=search&query=삼성물산&page=3,뉴스1,삼성물산 패션부문은 컬러·소재·디테일 등을 다채롭게 적용해 TPO(시간·공간·경우)에 따라 색다른 분위기를 연출해주는 만능 버킷햇 스타일을 선보...,2020-05-27 08:56
"삼성물산패션, 여행지에서 출근길에도 버킷햇 하나 툭~",/news/news_read.nhn?article_id=0002600557&office_id=029&mode=search&query=삼성물산&page=3,디지털타임스,"26일 삼성물산 패션부문은 컬러, 소재, 디테일 등을 다채롭게 적용해 색다른 분위기를 연출해주는 만능 '버킷햇'을 선보인다. '빈폴레이디스'는 ...",2020-05-27 08:56
여름 휴가지에서 뿐 아니라 출근룩 포인트 된 `버킷햇`,/news/news_read.nhn?article_id=0004583032&office_id=009&mode=search&query=삼성물산&page=3,매일경제,"삼성물산 패션부문은 컬러, 소재, 디테일 등을 다채롭게 적용해 TPO에 따라 색다른 분위기를 연출해주는 만능 '버킷햇' 스타일을 제안한다. '빈...",2020-05-27 09:22
DK도시개발 ‘검암역 로열파크씨티 푸르지오’ 29일 견본주택 개관,/news/news_read.nhn?article_id=0001678520&office_id=016&mode=search&query=삼성물산&page=3,헤럴드경제,"DK도시개발 측은 삼성물산 리조트부문과 업무협약을 맺고 아파트 단지 내 최초로 ‘미니 에버랜드 조경’을 도입해, 100만 그루에 가까운 꽃과 나...",2020-05-27 09:23
[오늘의 키워드] 삼성 이재용 경영권 승계 의혹 조사…출석·귀가 비공개,/news/news_read.nhn?article_id=0000212390&office_id=374&mode=search&query=삼성물산&page=3,SBS CNBC,"검찰, 삼성물산·제일모직 합병 관련 집중 추궁 - '1조 이혼소송' 최태원·노소영, 2차변론 불출석 - 노소영, SK 지분 42.29% 요구…약...",2020-05-27 09:53
국내 최초 리조트형 아파트 `검암역 로열파크씨티 푸르지오` 견본주택 29일 개관,/news/news_read.nhn?article_id=0002600589&office_id=029&mode=search&query=삼성물산&page=2,디지털타임스,DK도시개발·DK아시아는 삼성물산 리조트부문과 협업해 단지 내 최초 '미니 에버랜드 조경'과 100만 주에 가까운 꽃과 나무를 심는 '밀리언 파...,2020-05-27 09:56
'검암역 로열파크씨티 푸르지오' 견본주택 29일 개관,/news/news_read.nhn?article_id=0004660468&office_id=421&mode=search&query=삼성물산&page=2,뉴스1,단지 내에는 삼성물산 리조트 부문이 아파트 최초 '미니 에버랜드 조경'과 100만그루에 가까운 꽃과 나무를 심는 '밀리언 파크'를 선보인다. L...,2020-05-27 10:11
이재용 17시간 검찰 조사…국정농단 재판에 영향 미칠까,/news/news_read.nhn?article_id=0000212393&office_id=374&mode=search&query=삼성물산&page=2,SBS CNBC,검찰은 지난 삼성물산-제일모직 합병을 둘러싼 각종 불법 의혹을 들여다보고 있는데요. 이번 수사의 쟁점은 뭐라고 보십니까? Q. 현재 서울고법에서...,2020-05-27 10:18
전체 물량 80%가 추첨 ‘검암역 로열파크씨티 푸르지오’ 29일 분양,/news/news_read.nhn?article_id=0004649350&office_id=018&mode=search&query=삼성물산&page=2,이데일리,단지 조경은 삼성물산 리조트부문이 맡아 ‘미니 에버랜드 조경’과 100만주에 가까운 꽃과 나무를 심는 ‘밀리언 파크‘(Million Park)로...,2020-05-27 10:26
"삼성물산, 20년간 역량 모아 반포3주구에 기념비적 작품 선보인다.",/news/news_read.nhn?article_id=0004432034&office_id=014&mode=search&query=삼성물산&page=2,파이낸셜뉴스,삼성물산은 서울시 서초구 반포동 반포주공1단지 3주구(반포3주구)를 '래미안 20년'을 대표하는 기념비적 작품으로 만들어 주거의 새로운 패러다임...,2020-05-27 10:41
길어지는 아파트 이름…아들집 못 찾아가겠어요,/news/news_read.nhn?article_id=0001678656&office_id=016&mode=search&query=삼성물산&page=2,헤럴드경제,개포주공2단지를 재건축해 작년 준공한 '개포래미안블레스티지'는 삼성물산 아파트 브랜드인 ‘래미안’에 축복의 의미를 담은 ‘블레스’가 더해졌다. ...,2020-05-27 10:53
"다시 부각된 '사법 리스크', 이재용의 '뉴삼성' 광폭 행보 제동",/news/news_read.nhn?article_id=0003026204&office_id=241&mode=search&query=삼성물산&page=2,일간스포츠,이재용 삼성전자 부회장이 삼성물산-제일모직 합병과 경영권 승계를 둘러싼 의혹으로 17시간 동안 검찰 조사를 받고 27일 귀가했다. 서울중앙지검 ...,2020-05-27 11:03
본질 망각한 '삼성 때리기'…사법리스크에 승계의혹까지 먹구름 낀 '뉴삼성',/news/news_read.nhn?article_id=0000540196&office_id=031&mode=search&query=삼성물산&page=2,아이뉴스24,27일 재계에 따르면 이 부회장이 삼성물산-제일모직 합병과 경영권 승계 의혹 건으로 검찰에 소환된 것은 이번이 처음이라는 점에서 우려의 목소리가...,2020-05-27 11:06
인천 '검암역 로열파크씨티 푸르지오' 4805가구 분양,/news/news_read.nhn?article_id=0004686314&office_id=277&mode=search&query=삼성물산&page=2,아시아경제,시공능력평가 조경부문 1위인 삼성물산 리조트부문과 '미니 에버랜드 조경'을 꾸미는 한편 100만주에 가까운 꽃과 나무를 심어 단지 '밀리언 파크...,2020-05-27 11:15
90년대 벙거지가 돌아왔다… 올 여름 트렌드는 '버킷햇',/news/news_read.nhn?article_id=0000547536&office_id=417&mode=search&query=삼성물산&page=2,머니S,"삼성물산 패션부문은 컬러, 소재, 디테일 등을 다채롭게 적용해 TPO에 따라 색다른 분위기를 연출해주는 만능 ‘버킷햇’ 스타일을 제안한다. ‘빈...",2020-05-27 11:17
이재용 승계 관련 보고 받거나 지시한 적 없다,/news/news_read.nhn?article_id=0001678711&office_id=016&mode=search&query=삼성물산&page=2,헤럴드경제,이재용(52) 삼성전자 부회장이 26일 검찰이 제기한 삼성바이오로직스 회계처리 및 삼성물산 합병 등의 의혹에 대해 “보고 받거나 지시한 사실이 전혀 없다”고 전면...,2020-05-27 11:25
삼성물산 반포3주구 기념비적 작품으로 짓겠다,/news/news_read.nhn?article_id=0002404029&office_id=119&mode=search&query=삼성물산&page=2,데일리안,삼성물산은 반포3주구를 래미안 20년을 대표하는 기념비적 작품으로 만들어 주거의 새로운 패러다임을 제시한다는 계획이다. 27일 삼성물산에 따르면...,2020-05-27 11:26
"삼성물산, ""반포3주구, 래미안 20년 기념비 작품으로 짓겠다""",/news/news_read.nhn?article_id=0004660886&office_id=421&mode=search&query=삼성물산&page=2,뉴스1,삼성물산 건설부문은 현재 재건축 입찰을 진행 중인 서울 '반포아파트 3주구'를 래미안 20년의 역사를 대표하는 기념비적 작품으로 짓겠다고 27일...,2020-05-27 11:32
DK도시개발 ‘검암역 로열파크씨티 푸르지오’ 29일 견본주택 개관,/news/news_read.nhn?article_id=0001678746&office_id=016&mode=search&query=삼성물산&page=2,헤럴드경제,"DK도시개발 측은 삼성물산 리조트부문과 업무협약을 맺고 아파트 단지 내 최초로 ‘미니 에버랜드 조경’을 도입해, 100만 그루에 가까운 꽃과 나...",2020-05-27 11:35
아들집을 도저히 못 찾아가겠어요,/news/news_read.nhn?article_id=0001678767&office_id=016&mode=search&query=삼성물산&page=2,헤럴드경제,개포주공2단지를 재건축 해 작년 준공한 ‘개포래미안블레스티지’는 삼성물산 아파트 브랜드인 ‘래미안’에 축복의 의미를 담은 ‘블레스’가 더해졌다....,2020-05-27 11:43
"DK도시개발·DK아시아, 리조트형 아파트 `검암역 로열파크씨티 푸르지오` 29일 ...",/news/news_read.nhn?article_id=0004583227&office_id=009&mode=search&query=삼성물산&page=2,매일경제,아울러 삼성물산 리조트부문이 단지 안에 '미니 에버랜드 조경'과 100만주에 육박하는 꽃과 나무를 식재하는 '밀리언 파크'(Million Par...,2020-05-27 11:47
지역 신부촌지도 만드는 1군 빅브랜드 타운 관심,/news/news_read.nhn?article_id=0004583230&office_id=009&mode=search&query=삼성물산&page=2,매일경제,같은 달 삼성물산·HDC현대산업개발·대림산업·현대건설이 컨소시엄을 통해 건설해 지난 2008년 9월 입주한 엘스(5678세대) 전용 84㎡C도 ...,2020-05-27 12:01
"삼성물산, 반포 3주구에 삼성전자 등 계열사 역량 총동원",/news/news_read.nhn?article_id=0001678799&office_id=016&mode=search&query=삼성물산&page=2,헤럴드경제,삼성물산이 현재 재건축 시공사 입찰에 참여한 반포주공 1단지 3주구에 삼성전자 등 계열사 역량을 모아 차별화된 서비스를 제공하겠다고 밝혔다. 2...,2020-05-27 12:05
삼성물산 반포3주구에 래미안 20년 역량 총동원,/news/news_read.nhn?article_id=0002600644&office_id=029&mode=search&query=삼성물산&page=2,디지털타임스,삼성물산 건설부문이 이달 말 시공사 선정총회를 앞두고 있는 반포3주구를 20년을 대표하는 기념비적 단지로 조성하겠는 포부를 밝혔다. 27일 삼성...,2020-05-27 13:15
"전국 11곳에 2만6,053세대 일반 공급···’브랜드 매머드 단지’ 뜬다",/news/news_read.nhn?article_id=0003743522&office_id=011&mode=search&query=삼성물산&page=2,서울경제,"같은 달 삼성물산·HDC현대산업개발·대림산업·현대건설이 컨소시엄을 통해 건설해 지난 2008년 9월 입주한 엘스(5,678세대) 전용 84㎡C형...",2020-05-27 13:19
디지털 중심 SOC 사업·스마트시티 육성… 건설업계에 단비될까,/news/news_read.nhn?article_id=0000529451&office_id=366&mode=search&query=삼성물산&page=1,조선비즈,삼성물산(028260)은 해외 스마트시티 시장 개척을 노리는 모습이다. 지난해 9월 이재용 삼성전자 부회장과 사우디아라비아의 실권자인 모하메드 ...,2020-05-27 13:31
"3,000세대 이상 빅(BIG)브랜드 타운 올해 5만5,406세대 공급 예정",/news/news_read.nhn?article_id=0004432216&office_id=014&mode=search&query=삼성물산&page=1,파이낸셜뉴스,"같은 달 삼성물산?HDC현대산업개발?대림산업?현대건설이 컨소시엄을 통해 건설해 지난 2008년 9월 입주한 엘스(5,678세대) 전용 84㎡C형...",2020-05-27 13:44
GTX 수혜받는 신규 분양단지는 어디?,/news/news_read.nhn?article_id=0004649626&office_id=018&mode=search&query=삼성물산&page=1,이데일리,"삼성물산은 6월 서울 동대문구 용두동에 ‘래미안 엘리니티’를 분양한다. 전용면적 51~121㎡, 총 1048가구 규모로 이 중 475가구가 일반...",2020-05-27 14:20
