title,url,press,summary,date
"금융지원 4종세트 다 나왔다, 속도전이 관건",/news/news_read.nhn?article_id=0002987032&office_id=025&mode=search&query=삼성바이오로직스&page=2,중앙일보,결국 삼성전자 주가는 10.47% 급등했고 SK하이닉스(13.4%)와 삼성바이오로직스(9.17%)도 많이 올랐다. 이영곤 하나금융투자 연구원은 ...,2020-03-25 00:06
"[그게머니]솟아날 구멍 있었다, 3월 대폭락장서 22% 번 주식",/news/news_read.nhn?article_id=0002987140&office_id=025&mode=search&query=삼성바이오로직스&page=2,중앙일보,"이외에 농심(-1.1%), 오리온(-1.5%), 삼성바이오로직스(-1.6%), 엔씨소프트(-2.5%) 순으로 하락폭이 적었다. ━ #바이러스에는...",2020-03-25 06:01
셀트리온 바이오대장주 될까?… 삼바 바짝 추격,/news/news_read.nhn?article_id=0000522131&office_id=417&mode=search&query=삼성바이오로직스&page=2,머니S,사흘 연속 상승하며 바이오대장주인 삼성바이오로직스에 바짝 다가선 모습이다. 25일 한국거래소에 따르면 셀트리온은 전날 주식시장에서 전일대비 5....,2020-03-25 06:50
"[특징주] 코스피 시총 상위주, 연이틀 강세",/news/news_read.nhn?article_id=0000858928&office_id=215&mode=search&query=삼성바이오로직스&page=2,한국경제TV,"같은 시각 SK하이닉스(4.96%)와 삼성바이오로직스(3.26%), NAVER(4.17%), 셀트리온(3.26%), LG화학(7.64%), 삼성SDI(7.51%), LG생...",2020-03-25 09:07
"[속보]코스피, 美 재정지출 합의 기대에 5% 급등…원화도 '강세'",/news/news_read.nhn?article_id=0004312899&office_id=015&mode=search&query=삼성바이오로직스&page=2,한국경제,삼성바이오로직스 NAVER 셀트리온 LG화학 등 시총 상위주가 모두 강세다. 코스닥지수는 500선을 회복했다. 같은 시간 코스닥지수는 전날보다 ...,2020-03-25 09:15
"코스피, 韓·美 유동성 공급에 4%대 상승 출발…`1670선`",/news/news_read.nhn?article_id=0004605090&office_id=018&mode=search&query=삼성바이오로직스&page=2,이데일리,"SK하이닉스(000660)(4.32%), 삼성바이오로직스(207940)(2%), NAVER(035420)(2.56), 셀트리온(068270)(0.54%) 등도 줄줄이 주가...",2020-03-25 09:16
[특징주] 시가총액 상위종목도 강세 행진,/news/news_read.nhn?article_id=0000531168&office_id=031&mode=search&query=삼성바이오로직스&page=2,아이뉴스24,"이 외에도 삼성바이오로직스(1.68%), NAVER(1.92%), 셀트리온(1.09%) 등이 일제히 상승 중이다. 반면 LG생활건강은 전 거래일 대비 0.35%(4천원) ...",2020-03-25 09:18
코스피 상승에 시총 상위주 강세…삼성전자 4%·현대차 7%↑,/news/news_read.nhn?article_id=0004382694&office_id=008&mode=search&query=삼성바이오로직스&page=2,머니투데이,"이밖에 삼성바이오로직스(1.68%), NAVER(1.60%), 셀트리온(1.36%), LG화학(7.64%), 삼성SDI(7.10%), 현대차(7.09%) 등이 강세를 보인...",2020-03-25 09:22
"코스피 장중 5.5% 급등…1,690선 회복(종합)",/news/news_read.nhn?article_id=0011496823&office_id=001&mode=search&query=삼성바이오로직스&page=2,연합뉴스,"시가총액 상위 종목은 LG화학(9.38%), 삼성SDI(9.13%), 현대차(8.02%), 삼성전자(5.22%), SK하이닉스(4.96%), 삼...",2020-03-25 09:27
증시 상승에 시총상위株 '활짝'…삼성전자 이틀째 강세,/news/news_read.nhn?article_id=0004312916&office_id=015&mode=search&query=삼성바이오로직스&page=2,한국경제,삼성바이오로직스 네이버 삼성물산 SK텔레콤 카카오 등도 1~3% 상승 중이다. 같은시간 코스피 지수는 전날보다 3.9% 오르며 1670선에서 거...,2020-03-25 09:34
미 다우지수 11% 폭등...코스피 장초반 4% 껑충,/news/news_read.nhn?article_id=0002391229&office_id=119&mode=search&query=삼성바이오로직스&page=2,데일리안,"삼성전자(3.62%)와 SK하이닉스(3.68%), 삼성바이오로직스(1.16%), 네이버(1.92%), LG화학(6.77%), 삼성SDI(6.09...",2020-03-25 09:34
"코스피 장중 5.5% 급등…1,690선 회복",/news/news_read.nhn?article_id=0001436180&office_id=057&mode=search&query=삼성바이오로직스&page=2,MBN,"시가총액 상위 종목은 LG화학(9.38%), 삼성SDI(9.13%), 현대차(8.02%), 삼성전자(5.22%), SK하이닉스(4.96%), 삼성물산(4.66%), NAV...",2020-03-25 09:37
"코스피, 개인·외국인 동반 매수에 3% 상승 출발",/news/news_read.nhn?article_id=0009775749&office_id=003&mode=search&query=삼성바이오로직스&page=2,뉴시스,"나머지 종목들은 오름 순으로 현대차(7.35%), 삼성SDI(6.09%), SK하이닉스(4.45%), 삼성물산(3.23%), 네이버(2.56%)...",2020-03-25 09:40
"급등장에 14일 만에 ‘팔자’ 돌아선 개미, 삼성전자 2807억원 던졌다",/news/news_read.nhn?article_id=0001653145&office_id=016&mode=search&query=삼성바이오로직스&page=2,헤럴드경제,"개인은 이밖에도 SK하이닉스(954억원), 셀트리온(785억원), 삼성바이오로직스(323억원), 엔씨소프트(219억원) 등 시총 상위 종목과 아...",2020-03-25 09:43
"[개장] 미국 의회 재정지출 합의 기대감… 코스피, 1660선 상승 출발",/news/news_read.nhn?article_id=0000522254&office_id=417&mode=search&query=삼성바이오로직스&page=2,머니S,"삼성전자(5.11%), SK하이닉스(5.72%), 삼성전자우(7.92%), 삼성바이오로직스(2.42%), 네이버(2.56%), 셀트리온(2.45...",2020-03-25 09:52
미국 부양책 기대에 코스피 4% 급등…원화값 1230원대,/news/news_read.nhn?article_id=0002987177&office_id=025&mode=search&query=삼성바이오로직스&page=1,중앙일보,"삼성전자가 전날보다 3.94% 오르고 있고 SK하이닉스(3.94%), 삼성바이오로직스(1.26%), 네이버(0.96%), LG화학(6.6%) 등...",2020-03-25 10:03
"금감원, 손태승 중징계 효력정지에 즉시항고 '수순'",/news/news_read.nhn?article_id=0004396110&office_id=014&mode=search&query=삼성바이오로직스&page=1,파이낸셜뉴스,"금감원측은 ""과거 삼성바이오로직스 회계처리 징계 관련 가처분 인용 당시에도 절차에 따라 법원에 즉시항고를 한바 있다""며 ""이번에도 이같은 수순을 거칠 것이며...",2020-03-25 11:06
14일만에 ‘팔자’ 돌아선 개미…삼성전자 2807억 던졌다,/news/news_read.nhn?article_id=0001653351&office_id=016&mode=search&query=삼성바이오로직스&page=1,헤럴드경제,"개인은 이밖에도 SK하이닉스(954억원), 셀트리온(785억원), 삼성바이오로직스(323억원), 엔씨소프트(219억원) 등 시총 상위 종목과 아...",2020-03-25 11:27
"화우 ""김재옥 전 고검 송무부장·이진석 전 재판연구관"" 영입",/news/news_read.nhn?article_id=0002221083&office_id=123&mode=search&query=삼성바이오로직스&page=1,조세일보,"한편 화우의 형사대응그룹은 삼성바이오로직스 회계분식 사건, 코오롱 인보사 사건, 라임 사건 등 최근 이슈로 떠오른 주요 형사 사건을 맡고 있으며...",2020-03-25 14:11
코스피 4%대 상승 1680선…원화 이틀째 강세,/news/news_read.nhn?article_id=0004543315&office_id=421&mode=search&query=삼성바이오로직스&page=1,뉴스1,"시가총액 상위 종목에서는 삼성바이오로직스(-1.26%)와 네이버(-0.64%), 셀트리온(-1.63%), 엘지생활건강(-3.06%)이 하락했고 ...",2020-03-25 14:52
"'영끌'했던 개미들, 주식 오르자 '삼성전자'부터 던졌다",/news/news_read.nhn?article_id=0003340786&office_id=079&mode=search&query=삼성바이오로직스&page=1,노컷뉴스,"개인은 이밖에도 SK하이닉스(954억원), 셀트리온(785억원), 삼성바이오로직스(323억원), 엔씨소프트(219억원) 등 시총 상위 종목과 아...",2020-03-25 15:28
[코스피 마감]9일만에 1700선 탈환…美 부양책 합의 '훈풍',/news/news_read.nhn?article_id=0004605633&office_id=018&mode=search&query=삼성바이오로직스&page=1,이데일리,"반면 삼성바이오로직스(207940)(-0.21%), 셀트리온(068270)(-0.54%), LG생활건강(051900)(-2.1%) 등은 소폭 약...",2020-03-25 15:52
"코스피, 글로벌 경기 부양 기대감에 1700선 회복… 코스닥 500선 복귀",/news/news_read.nhn?article_id=0004649457&office_id=277&mode=search&query=삼성바이오로직스&page=1,아시아경제,"반면LG생활건강(-2.10%), 셀트리온(-0.54%), 삼성바이오로직스(-0.21%) 등은 하락했다. 이날 코스피 시장에서는 상한가를 기록한 ...",2020-03-25 15:57
