title,url,press,summary,date
폭락장에 5700억 투입한 연기금…IT·대형주 쓸어 담았다,/news/news_read.nhn?article_id=0004375710&office_id=008&mode=search&query=삼성전자&page=2,머니투데이,이날 연기금의 순매수 규모가 가장 큰 종목은 국내 증시 시가총액 1위인 삼성전자로 그 규모가 1931억원에 달했다. SK하이닉스에도 627억원 ...,2020-03-14 04:20
해외사업 뇌관 '코로나 입국제한'…기업들 개별협상으로 뚫는다,/news/news_read.nhn?article_id=0004375737&office_id=008&mode=search&query=삼성전자&page=2,머니투데이,삼성전자는 박닌과 타이응우옌에 스마트폰 공장 2곳을 운영하고 있으며 호찌민에는 소비자가전 복합단지도 있다. 삼성전자 베트남 법인의 수출액만 60...,2020-03-14 06:00
"삼성전자, 지난해 日 스마트폰 시장서 3위…애플 1위",/news/news_read.nhn?article_id=0000529625&office_id=031&mode=search&query=삼성전자&page=2,아이뉴스24,삼성전자가 지난해 일본 스마트폰 시장에서 3위에 이름을 올랐다. 지난해 4위에서 한 계단 도약했다. 갤럭시S10 시리즈가 상반기 인기를 끈 것이...,2020-03-14 06:01
"대통령 한마디에 증시 요동, 나온 대책은 공매도 금지뿐",/news/news_read.nhn?article_id=0003514874&office_id=023&mode=search&query=삼성전자&page=2,조선일보,코스피를 대표하는 삼성전자는 장중에 8% 빠지면서 4만6850원까지 내려앉는 등 이날 오전에만 코스피 전체 2300여개 종목 중 2200여개 종...,2020-03-14 06:25
급락이 기회? 주식형펀드로 자금 유입,/news/news_read.nhn?article_id=0009756456&office_id=003&mode=search&query=삼성전자&page=2,뉴시스,"또다른 증권사 관계자는 ""증시가 급락하면서 그동안 주식 거래를 안했던 투자자들의 문의가 늘었다""며 ""주로 삼성전자 등 잘 알려진 대형주를 선호하...",2020-03-14 06:25
"코로나 1339 콜센터 ""이 기술 때문에 재택근무 가능해진다""",/news/news_read.nhn?article_id=0004375745&office_id=008&mode=search&query=삼성전자&page=1,머니투데이,특히 상담원이 통화한 개인 핸드폰에는 국제적으로 인정받은 삼성전자의 모바일 보안 플랫폼 '녹스'(Knox)가 운영되기 때문에 어떤 정보도 밖으로...,2020-03-14 06:30
‘코로나19’가 바꾼 주총풍경,/news/news_read.nhn?article_id=0000517731&office_id=417&mode=search&query=삼성전자&page=1,머니S,"삼성전자, 현대차, 삼성물산·에스케이하이닉스·종근당바이오·한진중공업홀딩스 등이 이번주부터 전자투표·전자위임장 이용을 개시한 상태다. 이와 함께 ...",2020-03-14 06:40
"'주주 61만명' 삼성전자, 내주 주총 개최…코로나19에 긴장",/news/news_read.nhn?article_id=0011471990&office_id=001&mode=search&query=삼성전자&page=1,연합뉴스,사상 첫 외부장소 개최·전자투표 도입…대혼란은 피할 듯 삼성전자가 내주 정기 주주총회 개최를 앞두고 신종 코로나바이러스 감염증(코로나19) 사태...,2020-03-14 07:01
"[종목 현미경] 코로나19 직격탄 반도체株…""상대적 우위 여전""",/news/news_read.nhn?article_id=0004521772&office_id=421&mode=search&query=삼성전자&page=1,뉴스1,주당 6만원을 넘겼던 대장주 삼성전자의 주가는 외국인의 연이은 매도 공세에 5만원 아래로 다시 내려갔다. 하지만 전문가들은 글로벌 증시에 드리운...,2020-03-14 07:05
[양희동의 타임머신]11년만 `팬데믹`…신종플루 때 삼성전자는?,/news/news_read.nhn?article_id=0004597151&office_id=018&mode=search&query=삼성전자&page=1,이데일리,특히 국내 최대 기업인 삼성전자(005930)의 주가는 13일 종가 기준 4만 9950원으로 5만원 선이 무너지며 올 들어 고점(6만 2800원...,2020-03-14 07:31
"코로나에 내주 주총 방역 비상…정의선, 이사회 의장 선임여부도 관심",/news/news_read.nhn?article_id=0004521792&office_id=421&mode=search&query=삼성전자&page=1,뉴스1,"삼성전자, 현대자동차, SK하이닉스, LG화학 등 주요 대기업들의 정기주주총회가 다음 주(16~20일) 잇따라 열린다. 이번 정기주주총회에서는 ...",2020-03-14 08:00
데뷔 화려했던 삼성생명…씁쓸한 '상장 10년',/news/news_read.nhn?article_id=0004642562&office_id=277&mode=search&query=삼성전자&page=1,아시아경제,"공모가(11만원) 보다 높은 11만4000원에 첫 거래를 마쳐 삼성전자와 포스코, 현대차에 이어 단숨에 시총 4위(22조8000억원)에 올라섰다...",2020-03-14 08:10
'연장 또 연장'…대기업 '코로나19 재택근무' 장기화 추세,/news/news_read.nhn?article_id=0011472028&office_id=001&mode=search&query=삼성전자&page=1,연합뉴스,삼성전자서비스는 현재 휴업 중인 대구 콜센터에서 확진자가 잇달아 발생함에 따라 12일 재택근무를 시범 도입하기로 결정했다. 삼성전자서비스는 자택...,2020-03-14 08:11
증시 대폭락...공포 후엔 허무가 몰려왔다,/news/news_read.nhn?article_id=0004375779&office_id=008&mode=search&query=삼성전자&page=1,머니투데이,삼성전자를 사들인 개인들이 대표적입니다. 투자자들은 지난달 중순까지만해도 6만원대에 거래됐던 삼성전자가 5만원대로 다시 떨어지자 '저가매수'를 ...,2020-03-14 09:00
"[주목!e스몰캡]에스티아이, 본업 성장에 잉크젯 프린팅 수혜 전망",/news/news_read.nhn?article_id=0004597183&office_id=018&mode=search&query=삼성전자&page=1,이데일리,"주 고객사는 삼성전자(005930), SK하이닉스(000660), 마이크론(미국), 삼성디스플레이, BOE(중국), CSOT(중국) 등과 같은 ...",2020-03-14 09:01
1회 충전에 800㎞ 질주···삼성의 '배터리 초격차',/news/news_read.nhn?article_id=0003709475&office_id=011&mode=search&query=삼성전자&page=1,서울경제,삼성전자(005930)가 차세대 배터리라고 불리는 전고체 배터리의 원천기술을 확보했다. 전고체 배터리는 배터리의 양극과 음극 사이에 있는 액체 ...,2020-03-14 09:24
"쿠팡, ‘세계에서 가장 혁신적인 기업’ 아태지역 2위",/news/news_read.nhn?article_id=0003010217&office_id=241&mode=search&query=삼성전자&page=1,일간스포츠,"올해 아태지역 10대 혁신 기업 1위는 싱가포르에 본사를 둔 패션 전자상거래 업체 질링고(Zilingo)에 돌아갔다. 2위에는 쿠팡이, 3위에는...",2020-03-14 09:35
"재계, 코로나 극복 '기부 릴레이'...성금만 1000억 넘게 모여",/news/news_read.nhn?article_id=0009756500&office_id=003&mode=search&query=삼성전자&page=1,뉴시스,이재용 삼성전자 부회장은 “국민의 성원으로 성장한 삼성은 지금과 같은 때 마땅히 우리 사회와 같이 나누고 함께해야 한다”며 “이번 일로 고통 받...,2020-03-14 10:00
"삼성-LG, 렌털서도 맞붙는다",/news/news_read.nhn?article_id=0003709489&office_id=011&mode=search&query=삼성전자&page=1,서울경제,국내 양대 가전업체인 삼성전자(005930)와 LG전자(066570)가 연간 40조원대 렌털 시장에서 격전을 예고하고 있다. 올해로 ‘렌털 10...,2020-03-14 10:28
공짜폰에 차비까지 준다고?...갤S20 대신 갤S10에 쏠린 대란,/news/news_read.nhn?article_id=0003709490&office_id=011&mode=search&query=삼성전자&page=1,서울경제,삼성전자(005930) 플래그십폰 갤럭시 S20 시리즈가 이동통신 3사의 낮은 지원금으로 맥을 못추는 가운데 1년 전 모델인 갤럭시 S10에 ‘...,2020-03-14 10:31
‘연장 또는 도입’…대기업 ‘코로나19 재택근무’ 장기화 추세,/news/news_read.nhn?article_id=0000207218&office_id=374&mode=search&query=삼성전자&page=1,SBS CNBC,다만 대기업 중 SK하이닉스와 삼성전자는 반도체 제조업 특성에 따라 재택근무를 원칙적으로 시행하지 않고 있습니다. 제조업 기반 대기업들은 보안과...,2020-03-14 10:55
'코로나19'로 다음 주 주총 앞둔 기업들 방역 비상,/news/news_read.nhn?article_id=0001414552&office_id=052&mode=search&query=삼성전자&page=1,YTN,다음 주부터 주주총회를 앞둔 삼성전자와 SK하이닉스 등 주요 대기업들이 '코로나19'로 긴장하고 있습니다. 오는 18일 주총을 여는 삼성전자는 '코로나19' 예방...,2020-03-14 11:23
[주간추천주]하나금융투자,/news/news_read.nhn?article_id=0004597268&office_id=018&mode=search&query=삼성전자&page=1,이데일리,◇코스피 삼성전자(005930) -서버 DRAM 중심으로 메모리 반도체 가격 반등에 따른 수혜 기대 -지수 반등 시 IT/반도체주 반등에 따른 주가 상승 여력 존재 김성훈,2020-03-14 12:31
‘코로나19’ 재계 ‘재택근무’ 언제까지… ‘재연장’ 이어져,/news/news_read.nhn?article_id=0004597281&office_id=018&mode=search&query=삼성전자&page=1,이데일리,대표적인 곳은 삼성전자와 SK하이닉스다. 관련 제조업 특성상 보안 및 장비 등을 이유로 연구개발(R&D) 직종 대상으로 재택근무를 제한하고 있다...,2020-03-14 13:54
대구 공기업 자회사·병원·구치소 코로나19 집단 감염 비상(종합2보),/news/news_read.nhn?article_id=0011472534&office_id=001&mode=search&query=삼성전자&page=1,연합뉴스,"다수 확진자가 발생한 콜센터는 중구 ABL타워 내 신한카드, 중구 교보빌딩·우석타워 내 DB손해보험 2곳, 달서구 삼성전자서비스 등 4곳이다. ...",2020-03-14 16:25
