title,url,press,summary,date
코스피 시총 '톱10' 비중 커졌다…전체 45% 육박,/news/news_read.nhn?article_id=0011644741&office_id=001&mode=search&query=셀트리온&page=2,연합뉴스,"셀트리온도 7위(1.6%)에서 5위(2.2%)로 상승했고, 비중도 0.6%포인트 높아졌다. 네이버는 순위는 4위로 1계단 내려갔지만, 비중은 2...",2020-05-31 06:07
5월에도 이어진 '동학개미' 삼성전자 사랑…언택트株도 담았다,/news/news_read.nhn?article_id=0004667575&office_id=421&mode=search&query=셀트리온&page=2,뉴스1,"코스닥 시장에서 개인 투자자들은 셀트리온헬스케어(1457억원), 케이엠더블유(988억원), 메드팩토(588억원) 등을 사들였다. 순매도 상위에는...",2020-05-31 06:10
"5월에도 셀코리아 外人, '돌풍' 엔씨소프트·카카오는 담았다",/news/news_read.nhn?article_id=0004667577&office_id=421&mode=search&query=셀트리온&page=2,뉴스1,"외국인은 삼성바이오로직스(1278억원), 셀트리온제약(1002억원), LG생활건강... 한 주간 삼성전자에 대한 순매수 규모는 3151억원으로 ...",2020-05-31 06:14
주식부호 대변동…서정진·김범수 약진하고 정몽구 하락,/news/news_read.nhn?article_id=0011644760&office_id=001&mode=search&query=셀트리온&page=2,연합뉴스,"셀트리온·카카오 등 '바이오·언택트' 기업 오너 주식 가치 급등 CEO스코어... 서정진 셀트리온 회장이 4조8천967억원, 서경배 아모레퍼시픽...",2020-05-31 06:31
"송도에서 대구까지 바이오밸리 대표는 우리가""",/news/news_read.nhn?article_id=0004417358&office_id=008&mode=search&query=셀트리온&page=2,머니투데이,송도에는 현재 셀트리온과 삼성바이오로직스 등 60여개 기업을 비롯해 길병원·뇌연구원 등 연구소들과 연세대·인천대·겐트대 등 3개 대학이 입주해 ...,2020-05-31 07:30
[통통 지역경제] '한국형 실리콘밸리' 인천 스타트업 파크,/news/news_read.nhn?article_id=0011644809&office_id=001&mode=search&query=셀트리온&page=2,연합뉴스,신한금융지주와 셀트리온이 선정돼 4년간 운영에 참여한다. 인천시는 스타트업... 협업기관인 셀트리온은 49억원 상당의 현물을 투자해 바이오·헬스...,2020-05-31 08:00
[마켓포인트]코스닥 주간 외국인 순매수 1위 '셀트리온제약',/news/news_read.nhn?article_id=0004652661&office_id=018&mode=search&query=셀트리온&page=1,이데일리,유현욱,2020-05-31 09:58
[마켓포인트]코스닥 주간 개인 순매도 1위 '셀트리온제약',/news/news_read.nhn?article_id=0004652666&office_id=018&mode=search&query=셀트리온&page=1,이데일리,유현욱,2020-05-31 09:58
[마켓포인트]코스닥 주간 외국인 순매도 1위 '셀트리온헬스케어',/news/news_read.nhn?article_id=0004652662&office_id=018&mode=search&query=셀트리온&page=1,이데일리,유현욱,2020-05-31 09:58
[마켓포인트]코스닥 주간 개인 순매수 1위 '셀트리온헬스케어',/news/news_read.nhn?article_id=0004652665&office_id=018&mode=search&query=셀트리온&page=1,이데일리,유현욱,2020-05-31 09:58
