title,url,press,summary,date
셀트리온 서정진·넥슨 김정주 재산 급증,/news/news_read.nhn?article_id=0003529123&office_id=023&mode=search&query=셀트리온&page=3,조선일보,"이건희 삼성전자 회장과 이재용 부회장, 서정진 셀트리온 회장, 김정주 넥슨... 서 회장은 셀트리온헬스케어 지분을 35%가량 보유하고 있다. 셀...",2020-05-07 04:08
[제약사 온라인 영업] 불법리베이트요? 웨비나가 답이죠,/news/news_read.nhn?article_id=0000539173&office_id=417&mode=search&query=셀트리온&page=3,머니S,종근당·셀트리온·JW중외제약·GC녹십자웰빙·동구바이오제약 등 기존 16곳과 올해 10개 이상의 다국적제약사가 키닥과 손을 잡았다. 제약사의 협업...,2020-05-07 05:56
외국인 지난달 '현대차' 팔고 '삼바' 샀다,/news/news_read.nhn?article_id=0009849275&office_id=003&mode=search&query=셀트리온&page=3,뉴시스,코스닥 시장에서는 셀트리온헬스케어 종목이 순매도 1위에 이름을 올렸다.... 반면 코로나19 사태로 주가가 급상승한 종목으로 분류되는 셀트리온헬...,2020-05-07 06:26
[빅데이터MSI]7일 오전 주식시장 심리 4단계 '보통',/news/news_read.nhn?article_id=0009849307&office_id=003&mode=search&query=셀트리온&page=3,뉴시스,"시가총액 상위 종목 중 SK하이닉스는 3단계, LG화학은 3단계, 현대차는 4단계, 셀트리온은 3단계로 나타났다. 뉴시스와 코스콤은 250개 주...",2020-05-07 07:50
"유진투자증권 ""신규 고객에 최대 삼성전자 100주 드려요""",/news/news_read.nhn?article_id=0004419926&office_id=014&mode=search&query=셀트리온&page=3,파이낸셜뉴스,"이중 현대자동차, 삼성전자, 삼성바이오로직스, 셀트리온 관련 주식(셀트리온, 셀트리온제약, 셀트리온헬스케어)을 이관한다면 최대 250만원이 추가...",2020-05-07 08:30
유진투자증권 주식 거래하고 삼성전자 100주 받아가세요,/news/news_read.nhn?article_id=0004673436&office_id=277&mode=search&query=셀트리온&page=3,아시아경제,"현대자동차, 삼성전자, 삼성바이오로직스, 셀트리온 주식 종목이관 이벤트도... 이중 현대자동차, 삼성전자, 삼성바이오로직스, 셀트리온 관련 주식...",2020-05-07 08:47
유진투자증권 '삼성전자 100주 증정' 이벤트 실시,/news/news_read.nhn?article_id=0000537117&office_id=031&mode=search&query=셀트리온&page=3,아이뉴스24,"이중 현대자동차, 삼성전자, 삼성바이오로직스, 셀트리온그룹주(셀트리온, 셀트리온제약, 셀트리온헬스케어)를 이관한다면 최대 250만원이 추가 지급...",2020-05-07 08:50
"코스피, 1920선 약보합 출발…기관 `팔자`",/news/news_read.nhn?article_id=0004570007&office_id=009&mode=search&query=셀트리온&page=3,매일경제,"삼성전자, SK하이닉스, 삼성바이오로직스, NAVER, 셀트리온, LG화학, LG생활건강, 삼성물산, 현대차 등 주요 대형주가 줄줄이 하락하고 ...",2020-05-07 09:09
"코스피, 미·중 무역갈등 우려 하락 출발",/news/news_read.nhn?article_id=0004634681&office_id=018&mode=search&query=셀트리온&page=3,이데일리,시가총액 상위 종목 대부분이 하락세를 보이는 가운데 삼성전자(005930) SK하이닉스(000660) 삼성바이오로직스(207940) 셀트리온(068270) LG화학(051...,2020-05-07 09:15
"코스닥, 개인 매수에 상승 출발…660선",/news/news_read.nhn?article_id=0004634687&office_id=018&mode=search&query=셀트리온&page=3,이데일리,셀트리온제약(068760)과 펄어비스(263750)는 강보합을 유지하고 있다. 나머지 종목은 내림세지만 하락폭은 1% 안쪽에 머물고 있다. 종목을 가운데 에스모...,2020-05-07 09:16
