title,url,press,summary,date
[오늘 기업·사람] 신한금융지주·두산그룹,/news/news_read.nhn?article_id=0000208348&office_id=374&mode=search&query=신한지주&page=2,SBS CNBC,"◇ 재일동포 주주들의 힘 '조용병 신한금융지주' - 조용병 신한금융지주 회장 연임 확정 - 조용병 회장, 채용비리 라임사태 비판에도 연임 성공 ...",2020-03-30 08:40
"""가시화된 'E충격' 대비 못하면 '제2 외환위기' 올수도""",/news/news_read.nhn?article_id=0004385393&office_id=008&mode=search&query=신한지주&page=2,머니투데이,"한국에서는 KB금융, 신한지주, 하나금융지주, 우리금융지주, DGB금융지주 등을 비롯해 삼성화재, 신한생명, 현대해상, DB손해보험 등 보험사들...",2020-03-30 08:48
조용병의 오렌지 vs 윤종규의 푸르덴셜…승자는,/news/news_read.nhn?article_id=0001655304&office_id=016&mode=search&query=신한지주&page=2,헤럴드경제,2조6000억 KB금융이 푸르덴셜생명 본입찰에서 최고가를 제시하며 유력한 인수 후보로 떠오른 가운데 신한지주의 오렌지라이프 인수 사례가 대비되고...,2020-03-30 11:07
조용병의 오렌지 vs 윤종규의 푸르덴셜…승자는,/news/news_read.nhn?article_id=0001655362&office_id=016&mode=search&query=신한지주&page=2,헤럴드경제,2조6000억 KB금융이 푸르덴셜생명 본입찰에서 최고가를 제시하며 유력한 인수 후보로 떠오른 가운데 신한지주의 오렌지라이프 인수 사례가 대비되고...,2020-03-30 11:28
신한 '지주''은행''카드'..능률협회 브랜드 파워 1위 '싹쓸이',/news/news_read.nhn?article_id=0003717006&office_id=011&mode=search&query=신한지주&page=2,서울경제,"신한금융그룹은 한국능률협회컨설팅(KMAC)에서 주관하는 제22회 한국산업의 브랜드파워(K-BPI) 조사에서 신한금융지주, 신한은행, 신한카드가 ...",2020-03-30 16:29
"신한금융그룹, 브랜드파워 조사서 8개 부문 1위",/news/news_read.nhn?article_id=0003013523&office_id=241&mode=search&query=신한지주&page=2,일간스포츠,"신한금융그룹은 한국능률협회컨설팅(KMAC)에서 주관하는 제22회 한국산업의 브랜드파워(K-BPI) 조사에서 신한금융지주, 신한은행, 신한카드가 ...",2020-03-30 16:30
"신한지주·은행·카드, KMAC 주관 브랜드 1위",/news/news_read.nhn?article_id=0004608936&office_id=018&mode=search&query=신한지주&page=2,이데일리,"신한금융그룹은 한국능률협회컨설팅(KMAC)에서 주관하는 제22회 ‘한국산업의 브랜드파워(K-BPI)’ 조사에서 신한금융지주, 신한은행, 신한카드...",2020-03-30 17:08
은행·카드 등 신한금융그룹 브랜드파워 1위 자리 군림,/news/news_read.nhn?article_id=0000532006&office_id=031&mode=search&query=신한지주&page=2,아이뉴스24,"신한금융그룹은 한국능률협회컨설팅(KMAC)에서 주관하는 제22회 '한국산업의 브랜드파워(K-BPI)' 조사에서 신한금융지주, 신한은행, 신한카드...",2020-03-30 17:08
증권가 '사장보다 많이 번 직원' 수두룩,/news/news_read.nhn?article_id=0003717130&office_id=011&mode=search&query=신한지주&page=2,서울경제,"심지어는 모(母)회사인 신한금융지주의 조용병 회장(12억6,000만원)보다 더 많은 돈을 손에 쥐었다. 상여금으로 총 11억2,600만원을 받은...",2020-03-30 17:52
"신한금융그룹, 브랜드파워(K-BPI) 8개 부문 1위",/news/news_read.nhn?article_id=0000642622&office_id=468&mode=search&query=신한지주&page=2,스포츠서울,"신한금융그룹이 한국능률협회컨설팅(KMAC)에서 주관하는 제22회 한국산업의 브랜드파워(K-BPI) 조사에서 신한금융지주, 신한은행, 신한카드가 ...",2020-03-30 17:53
