title,url,press,summary,date
"'임원 임기 1년'인 농협에 제동 건 금감원, 우리은행장엔 '신중'",/news/news_read.nhn?article_id=0000522144&office_id=366&mode=search&query=신한지주&page=1,조선비즈,"지난해 종합검사가 부활한 이후 금감원은 KB금융지주·KB국민은행, 신한금융지주·신한은행에 종합검사를 실시한 바 있다. 올해는 신종 코로나 바이러...",2020-05-13 06:12
"신한생명, 보험금지급능력평가 13년 연속 최고등급 획득",/news/news_read.nhn?article_id=0002401201&office_id=119&mode=search&query=신한지주&page=1,데일리안,신한생명은 신한금융지주가 100% 지분을 보유하고 있는 신한금융그룹 계열 생명보험사로 생명보험업계 중상위권의 안정적인 사업기반과 보험 포트폴리오...,2020-05-13 08:01
"신한생명, 보험금지급능력 13년 연속 'AAA'",/news/news_read.nhn?article_id=0000541612&office_id=417&mode=search&query=신한지주&page=1,머니S,신한생명은 신한금융지주가 100% 지분을 보유하고 있는 신한금융그룹 계열 생명보험사로 생명보험업계 중상위권의 안정적인 사업기반과 보험 포트폴리오...,2020-05-13 08:47
"신한생명, 보험금 지급능력평가서 최고등급 획득",/news/news_read.nhn?article_id=0009859215&office_id=003&mode=search&query=신한지주&page=1,뉴시스,신한생명은 신한금융지주가 100% 지분을 보유하고 있는 신한금융그룹 계열 생명보험사로 생명보험업계 중상위권의 안정적인 사업기반과 보험 포트폴리오...,2020-05-13 09:27
"신한생명, 보험금지급능력평가 13년 연속 AAA 획득",/news/news_read.nhn?article_id=0004638792&office_id=018&mode=search&query=신한지주&page=1,이데일리,신한생명은 신한금융지주가 100% 지분을 보유하고 있는 신한금융그룹 계열 생명보험사로 생명보험업계 중상위권의 안정적인 사업기반과 보험 포트폴리오...,2020-05-13 09:34
"신한금융, 재난지원금 기부 동참… 선결제 캠페인도 확대",/news/news_read.nhn?article_id=0000522322&office_id=366&mode=search&query=신한지주&page=1,조선비즈,신한지주(055550)는 세 가지 방향의 차별화된 기부를 추진한다. 먼저 그룹의 본부장급 이상 임원 약 250여명은 긴급재난지원금 전액을 기부하...,2020-05-13 09:53
"신한금융, '재난지원금 자발적 기부' 동참…""매칭 기부도 병행""",/news/news_read.nhn?article_id=0004339513&office_id=015&mode=search&query=신한지주&page=1,한국경제,신한금융지주는 신종 코로나바이러스 감염증(코로나19)으로 어려움을 겪는 중소기업과 소상공인들에게 힘을 보태기 위해 그룹 차원의 긴급재난지원금 자...,2020-05-13 09:58
"[2020 금융포럼] 스키너 ""디지털 전환, 중간 관리자 두려움 없애는 게 중요""",/news/news_read.nhn?article_id=0000522365&office_id=366&mode=search&query=신한지주&page=1,조선비즈,"국내 최대 금융그룹인 신한지주(055550)시가총액(14조원)의 3배다. 스키너 대표는 ""스트라이프의 기업가치를 전통적인 금융기관과 비교하면 커...",2020-05-13 10:18
"신한생명, 보험금지급능력평가 13년 연속 'AAA'",/news/news_read.nhn?article_id=0004423626&office_id=014&mode=search&query=신한지주&page=1,파이낸셜뉴스,신한생명은 신한금융지주가 100% 지분을 보유하고 있는 신한금융그룹 계열 생명보험사로 생명보험업계 중상위권의 안정적인 사업기반과 보험 포트폴리오...,2020-05-13 10:20
"신한은행, 항소심 2차 공판…재판부, 변호인 요구 모두 기각",/news/news_read.nhn?article_id=0004339758&office_id=015&mode=search&query=신한지주&page=1,한국경제,채용비리 혐의로 재판을 받고 있는 조용병 신한금융지주 회장(사진)의 항소심 두 번째 공판이 13일 오전 11시 서울고등법원 서관 302호에서 열...,2020-05-13 14:36
"결국… 주요 금융지주사 임직원, 재난지원금 기부",/news/news_read.nhn?article_id=0000522750&office_id=366&mode=search&query=신한지주&page=1,조선비즈,"일부 직원 ""자발적이라며 안 하면 욕 먹는 분위기 형성"" 반발 신한지주(055550)와 KB금융(105560)지주, 우리금융지주가 긴급재난지원금...",2020-05-13 16:29
400억원 횡령한 아시아신탁 직원…증선위 제재 초읽기,/news/news_read.nhn?article_id=0000211395&office_id=374&mode=search&query=신한지주&page=1,SBS CNBC,"제재 결과에 따라 아시아신탁이 투자자들과 벌이고 있는 보관금 반환 관련 소송은 물론이고, 지난해 아시아신탁을 자회사로 편입한 신한금융지주에도 부...",2020-05-13 19:04
"신한생명, 13년 연속 보험금지급능력평가 최고등급 'AAA' 획득",/news/news_read.nhn?article_id=0000658124&office_id=468&mode=search&query=신한지주&page=1,스포츠서울,신한생명은 신한금융지주가 100% 지분을 보유하고 있는 신한금융그룹 계열 생명보험사로 생명보험업계 중상위권의 안정적인 사업기반과 보험 포트폴리오...,2020-05-13 23:55
