title,url,press,summary,date
관심 가는 인물·정책 없지만… 비례 당선권엔 中企 출신 많아,/news/news_read.nhn?article_id=0001311052&office_id=005&mode=search&query=카카오&page=5,국민일보,C씨는 “카카오뱅크 출신인 이용우 후보는 스타트업 기업 육성을 공약으로 내걸었는데 그의 경력을 보면 기대된다”고 했다. 주진형 후보와 최재성 후...,2020-04-14 04:05
대기업들 작년 실적부진에도 R&D에 54조원 '통 큰 투자',/news/news_read.nhn?article_id=0011546143&office_id=001&mode=search&query=카카오&page=5,연합뉴스,"이어 한미약품(18.8%), 엔씨소프트(18.2%), 한화시스템(16.7%), 카카오(15.2%), 대웅제약(14.0%), 종근당(12.8%),...",2020-04-14 05:31
중소벤처기업부는 어떻게 `과`에서 시작해 `부`가 됐나(상),/news/news_read.nhn?article_id=0004556535&office_id=009&mode=search&query=카카오&page=5,매일경제,"코스닥 시장 완전 초기에 상장한 대표적인 기업이 다음(현 카카오), 한글과컴퓨터, 다우기술, 비트컴퓨터, 원익, 터보테크 같은 회사들입니다. 코...",2020-04-14 06:02
코로나19 이후 어떤 주식 뜰까..`가치주 vs 성장주',/news/news_read.nhn?article_id=0009814105&office_id=003&mode=search&query=카카오&page=4,뉴시스,"◇성장주는 '삼성전자', '카카오' 등 거론 이익 시현 시기가 먼 미래에 위치하지만... 카카오도 코로나19 영향으로 인한 부정적 영향이 적고 ...",2020-04-14 06:19
유튜브도 길다…불붙은 '숏폼 동영상' 경쟁,/news/news_read.nhn?article_id=0009814122&office_id=003&mode=search&query=카카오&page=4,뉴시스,"네이버, 카카오 등이 잇따라 도전장을 내밀면서 경쟁이 치열해지고 있다. 숏폼... 카카오도 최근 자회사 카카오M을 통해 오윤환 제작총괄, 김민종...",2020-04-14 07:00
"R&D 투자 1위는 삼성전자, R&D 투자 비중 1위는?",/news/news_read.nhn?article_id=0003523435&office_id=023&mode=search&query=카카오&page=4,조선일보,"다음으로 한미약품(18.8%), 엔씨소프트(18.2%), 한화시스템(16.7%), 카카오(15.2%), 대웅제약(14.0%), 종근당(12.8%...",2020-04-14 07:01
[은행 2019년 경영실적] ⑩ 은행권 작년 채용 늘렸다…기업은행 539명 증원 ...,/news/news_read.nhn?article_id=0002222147&office_id=123&mode=search&query=카카오&page=4,조세일보,카카오뱅크는 지난해 277명의 인력을 증원해 691명의 인력을 포진해 놓고 있다. 케이뱅크도 41명을 늘려 340명이 근무하고 있다. 인터넷은행...,2020-04-14 07:09
"""연구만이 살 길""…대기업들 지난해 R&D에 54조원 쏟아 부어",/news/news_read.nhn?article_id=0004323786&office_id=015&mode=search&query=카카오&page=4,한국경제,"이어 한미약품(18.8%), 엔씨소프트(18.2%), 한화시스템(16.7%), 카카오(15.2%), 대웅제약(14.0%), 종근당(12.8%),...",2020-04-14 07:12
대기업 등기이사 연봉킹 ‘삼성전자’ 평균 30억이상,/news/news_read.nhn?article_id=0009814138&office_id=003&mode=search&query=카카오&page=4,뉴시스,반면 전년 대비 등기이사 평균연봉 증가폭이 가장 큰 기업은 ‘카카오’로 지난해 등기이사 1인평균보수액이 7억6900만원으로 전년(4억1400만원...,2020-04-14 07:48
"`동학개미운동` 투자 성격 변해..""변동성 키울 수도""",/news/news_read.nhn?article_id=0004619456&office_id=018&mode=search&query=카카오&page=4,이데일리,"3월초 개인투자자들의 순매수 상위 종목에는 삼성전자, 현대차(005380), 카카오(035720), SK하이닉스(000660) 등이 포진해있다....",2020-04-14 08:03
대기업들 작년 실적부진에도 R&D에 54조 원 '통 큰 투자',/news/news_read.nhn?article_id=0001443568&office_id=057&mode=search&query=카카오&page=4,MBN,"이어 한미약품(18.8%), 엔씨소프트(18.2%), 한화시스템(16.7%), 카카오(15.2%), 대웅제약(14.0%), 종근당(12.8%), SK하이닉스(11.8%) ...",2020-04-14 08:06
대기업 임원 '연봉킹'은 삼성전자…얼마나 받나,/news/news_read.nhn?article_id=0004619495&office_id=018&mode=search&query=카카오&page=4,이데일리,"반면 전년 대비 등기이사 평균 연봉 증가폭이 가장 큰 기업은 ‘카카오’로, 지난해 등기이사 1인 평균보수액이 7억6900만원으로 전년(4억140...",2020-04-14 08:30
SKT 통신요금 간편결제로 자동납부 가능해진다,/news/news_read.nhn?article_id=0004619506&office_id=018&mode=search&query=카카오&page=4,이데일리,"상반기 안에 SK페이 이외에도 카카오페이, 페이코(PAYCO), 핀크(Finnq), 네이버페이 등 국내 주요 간편결제서비스와 제휴해 핀테크 자동...",2020-04-14 08:36
