title,url,press,summary,date
"[클릭 e종목]""현대모비스, 코로나19로 상반기는 실적 부진…목표가↓""",/news/news_read.nhn?article_id=0004662398&office_id=277&mode=search&query=현대모비스&page=1,아시아경제,한화투자증권은 16일 현대모비스에 대해 신종 코로나바이러스감염증(코로나19)으로 상반기 실적이 부진할 것으로 전망하고 목표주가를 기존 32만원에서 22만원으로...,2020-04-16 08:49
"코스피, 코로나19발 실물 충격 확인…하락 출발",/news/news_read.nhn?article_id=0004621162&office_id=018&mode=search&query=현대모비스&page=1,이데일리,포스코(005490)는 3%대 SK텔레콤(017670)은 2%대 SK하이닉스(000660) 삼성물산(028260) 현대모비스(012330)는 1%대 내리고 있다. 삼성전자...,2020-04-16 09:18
"코스피, 기관·외인 매도세에 소폭 내리며 1830선… 코스닥 약보합",/news/news_read.nhn?article_id=0004662446&office_id=277&mode=search&query=현대모비스&page=1,아시아경제,"반면 POSCO, SK텔레콤, 현대모비스, 삼성물산, SK하이닉스 등은 하락하고 있다. 현재 코스피 시장에서는 상한가 종목 없이 246종목이 오...",2020-04-16 09:29
"코스피, 기관 매도에 하락 출발…1840선 후퇴",/news/news_read.nhn?article_id=0004557885&office_id=009&mode=search&query=현대모비스&page=1,매일경제,"시가총액 상위 종목 중에서는 POSCO, 현대모비스, SK텔레콤, 삼성물산, SK하이닉스, 현대차, LG생활건강, 셀트리온이 약세를 보이고 있다...",2020-04-16 09:32
여당 '압승' 선거 결과에..와이파이·바이오주 등 주목,/news/news_read.nhn?article_id=0009819898&office_id=003&mode=search&query=현대모비스&page=1,뉴시스,"현대차와 현대모비스, 만도 등 자동차 부품주와 삼성바이오로직스와 등 셀트리온 제약·바이오주도 탄력을 받을 것이란 전망이다. 현대차는 최근 싱가포...",2020-04-16 10:58
"코스피, 약보합 보이며 1850선… 코스닥 1% 상승",/news/news_read.nhn?article_id=0004662702&office_id=277&mode=search&query=현대모비스&page=1,아시아경제,"시가총액 상위 종목 중에서는 삼성SDI, LG화학 등이 5% 넘게 오르며 강세를 보이고 있는 반면 POSCO, 현대모비스, SK하이닉스, 삼성물...",2020-04-16 13:08
"[fn마감시황] 코스피, 외국인 매도세에 약세 마감",/news/news_read.nhn?article_id=0004409530&office_id=014&mode=search&query=현대모비스&page=1,파이낸셜뉴스,"포스코(-3.83%), SK하이닉스(-1.22%), 현대모비스(-1.13%) 등은 하락 마감했다. 반면 삼성SDI(7.75%), LG화학(5.05%), 카카오(3.76%)...",2020-04-16 15:54
"코스피, 외인 30일 연속 순매도에 약보합 마감… 코스닥 2% 상승",/news/news_read.nhn?article_id=0004662871&office_id=277&mode=search&query=현대모비스&page=1,아시아경제,"22%), 현대모비스(-1.13%) 등은 하락했다. 이날 코스피 시장에서는 상한가 종목 없이 452종목이 올랐고, 하한가 종목 없이 401종목은...",2020-04-16 15:57
"코스피, 외국인 매도 공세에 하락 마감",/news/news_read.nhn?article_id=0004558262&office_id=009&mode=search&query=현대모비스&page=1,매일경제,"시가총액 상위 종목 중에서는 POSCO, SK하이닉스, 현대모비스, 현대차, LG생활건강, 셀트리온, 삼성바이오로직스가 약세를 기록했다. 반면 삼성SDI, LG화학, 카카...",2020-04-16 16:04
[코스피 마감]`1850선` 제자리걸음..외인은 30일째 팔자,/news/news_read.nhn?article_id=0004621605&office_id=018&mode=search&query=현대모비스&page=1,이데일리,"포스코(005490) 신한지주(055550) KB금융(105560)은 3%대, SK하이닉스(000660) 현대모비스(012330)는 1%대 하락...",2020-04-16 16:05
반등場서 2조 쏜 연기금은 뭘 담았지?,/news/news_read.nhn?article_id=0004325566&office_id=015&mode=search&query=현대모비스&page=1,한국경제,연기금은 오히려 신종 코로나바이러스 감염증(코로나19) 확산에 따른 판매량 감소로 낙폭이 컸던 현대자동차(1270억원)와 현대모비스(838억원)...,2020-04-16 17:21
