title,url,press,summary,date
"[文정부 3년, 긴급 제언] 산업 맞춤형 규제 완화로 ‘코로나 경제위기’ 넘자",/news/news_read.nhn?article_id=0000494629&office_id=469&mode=search&query=현대차&page=1,한국일보,현대차 노조는 일자리를 지키자며 1987년 설립 이후 처음으로 자발적 임금동결... 현대차의 경우 현재 주간 2교대로 하루 약 16시간씩 생산시...,2020-05-09 04:33
[文정부 3년]日·中도 눈독 들이는 '수소'…강한 컨트롤타워 구축해야,/news/news_read.nhn?article_id=0004628025&office_id=421&mode=search&query=현대차&page=1,뉴스1,현대차의 수소차 생산체계 50만대 구축계획에 이어 효성그룹은 2022년 완공을 목표로 한 액화수소 플랜트 건립방침을 발표했다. 연간 생산량 1만...,2020-05-09 05:00
‘코로나 넉달’ 시총 톱20 흔들… 기아차 밀리고 카카오·엔씨 진입,/news/news_read.nhn?article_id=0000540286&office_id=417&mode=search&query=현대차&page=1,머니S,"이에 비해 제조업 중심의 현대차, 기아차, 포스코 등은 비중이 줄며 순위가... 현대차, 포스코, 기아차는 순위가 밀렸다. 현대차는 1월20일 ...",2020-05-09 06:30
"""한달만에 267억↑""…자사주 산 회장님들, 수익 1등 누구?",/news/news_read.nhn?article_id=0004405978&office_id=008&mode=search&query=현대차&page=1,머니투데이,정의선 현대차그룹 수석부회장은 현대차와 현대모비스 주식을 대거 매입해 270억원에 가까운 수익을 올렸다. 김남구 한국금융지주 회장도 자산이 41...,2020-05-09 07:00
멕시코·브라질 자동차 생산 99% 급감…공장 재가동 슬슬 시동(종합),/news/news_read.nhn?article_id=0011597357&office_id=001&mode=search&query=현대차&page=1,연합뉴스,메르세데스-벤츠는 11일부터 부분 가동을 시작할 예정으로 알려졌다. 현대차 브라질의 경우 오는 27일부터 조업에 들어간다고 밝힌 바 있다.,2020-05-09 07:34
클래식 입힌 전기차…레트로 감성에겐 훌륭한 대안,/news/news_read.nhn?article_id=0000869496&office_id=215&mode=search&query=현대차&page=1,한국경제TV,"우리나라의 경우 1970, 1980년대 현대차 '포니'에 향수를 지닌 운전자들이 과거 모습과 달리 완전히 새로운 디자인으로 바뀐 '포니 EV 컨...",2020-05-09 08:00
"GV80·G80 일냈다…제네시스, 月 1만대 내수 판매 신기록",/news/news_read.nhn?article_id=0004674848&office_id=277&mode=search&query=현대차&page=1,아시아경제,최근 현대차는 특근 등을 통해 GV80과 G80 라인의 생산을 최대한 늘리는 방향으로 물량 확보에 힘쓰고 있다. 제네시스 브랜드의 첫 번째 SU...,2020-05-09 08:00
현대차 슈퍼볼 광고 등 뉴욕페스티벌 5개 본상 수상,/news/news_read.nhn?article_id=0000494642&office_id=469&mode=search&query=현대차&page=1,한국일보,현대차 미국판매법인이 제작한 ‘스마트 파크' TV 광고는 촬영 기술 부문... 또 현대차 디지털 광고 ‘리어 뷰 모니터’와 기아차 독일판매법인의...,2020-05-09 08:24
"좌절의 역사 '용산' 개발, 미니신도시로 '승천'할까",/news/news_read.nhn?article_id=0004405994&office_id=008&mode=search&query=현대차&page=1,머니투데이,한편 집값 상승을 부추길 수 있는 삼성동 현대차 글로벌비즈니스센터(GBC) 착공하고 용산 정비창 부지 개발이 발표되면서 정부와 서울시가 집값 바...,2020-05-09 08:55
쌍용차 판매 부진 임영웅도 못 막았다,/news/news_read.nhn?article_id=0003088996&office_id=081&mode=search&query=현대차&page=1,서울신문,반면 경쟁 차종인 현대차 팰리세이드는 9배 정도 많은 5873대가 팔렸다. 기아차... 현대차도 0.5% 하락하는 데 그쳤다. 하지만 쌍용차는 ...,2020-05-09 09:01
